"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",14377.4202779829,-6.42722233617631,0.225167981593675,-28.5441219958817,1.16271993354333e-128,1.6101345639708e-124,"Pdgfra"
"ENSMUSG00000079584.3",382.806611038404,7.43262226729396,0.302012028793414,24.6103517697241,5.77069238922975e-101,3.99562741030268e-97,"Tm9sf5"
"ENSMUSG00000051379.13",332.63100684268,-6.67064592430351,0.333680791631173,-19.991099552643,4.5311288117939e-65,2.09156905952407e-61,"Flrt3"
"ENSMUSG00000024172.11",1465.79567755906,-8.60695780997587,0.464268385478056,-18.5387549081407,1.22730433388e-60,4.24892760389257e-57,"St6gal2"
"ENSMUSG00000064125.15",288.842358189391,-5.50437989202968,0.284289018212544,-19.3619153023858,7.68792317802545e-57,2.12924720338593e-53,"Prr36"
"ENSMUSG00000005338.15",1209.93834065521,-7.48774275030501,0.422677043950336,-17.7150447545593,1.79367247887159e-53,4.13979608123564e-50,"Cadm3"
"ENSMUSG00000054976.15",458.566417398043,-7.66563621240691,0.464784127093448,-16.4928958747889,6.0334204910826e-47,1.19358295657874e-43,"Nyap2"
"ENSMUSG00000022309.10",483.291193895205,-6.44204192088129,0.39057945559812,-16.4935503610044,1.98911042036858e-44,3.44315013765801e-41,"Angpt1"
"ENSMUSG00000061911.16",764.649429925491,-6.99911959516267,0.431130006056067,-16.2343596985742,2.57253598218847e-44,3.95827536459399e-41,"Myt1l"
"ENSMUSG00000053024.15",371.724148734736,-5.55219852628762,0.328846675912124,-16.8838517551909,7.01920400552062e-44,9.72019370684495e-41,"Cntn2"
"ENSMUSG00000025777.9",812.792824474229,-5.26324622135919,0.318229404167944,-16.5391574519039,3.15760388469543e-41,3.97513623593294e-38,"Gdap1"
"ENSMUSG00000031343.14",564.640537500696,-8.12053073477252,0.533762614302602,-15.2137495530341,6.74961940722528e-41,7.78906079593797e-38,"Gabra3"
"ENSMUSG00000037872.6",112.686135133214,-8.04236149691323,0.528592514165011,-15.2146715691147,8.52308239817075e-41,9.07904961922066e-38,"Ackr1"
