"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000070570.6",758.769195461245,-9.150499266097,0.393281559185693,-23.2670438070972,1.04494642536655e-95,1.4470418098476e-91,"Slc17a7"
"ENSMUSG00000030235.18",117.794267523047,-7.93827898169544,0.349987761959399,-22.681590171191,9.17731987013156e-88,6.35437627807909e-84,"Slco1c1"
"ENSMUSG00000027347.20",469.098825194405,-9.60851371980092,0.464295227104141,-20.6948363000202,4.81753897006049e-77,2.22377598857992e-73,"Rasgrp1"
"ENSMUSG00000024617.17",1808.03018323983,-8.78647828960428,0.453650258162758,-19.3683969787402,2.46721623418098e-66,8.54150260273454e-63,"Camk2a"
"ENSMUSG00000058297.17",1070.39705989551,-9.33909568735217,0.494000052413809,-18.9050499928472,3.11692419087785e-64,7.24851071519202e-61,"Spock2"
"ENSMUSG00000058624.14",222.690538527939,-9.19015130665879,0.485189570900872,-18.9413620115433,3.14060256290815e-64,7.24851071519202e-61,"Gda"
"ENSMUSG00000003469.10",452.584837806253,-7.46182859770523,0.383347066432002,-19.4649424792946,4.71235467407843e-64,9.32238393237686e-61,"Phyhip"
"ENSMUSG00000026458.14",174.54244152964,-5.61319060013987,0.274373530226885,-20.4582074498885,9.71077131621788e-64,1.68093451483732e-60,"Ppfia4"
"ENSMUSG00000028488.16",293.163898724572,-7.74944102557454,0.427679770686694,-18.1197277886954,2.08479418062317e-56,3.20780331258551e-53,"Sh3gl2"
"ENSMUSG00000053025.14",439.125942353018,-8.3094790480535,0.479221790871799,-17.3395267208883,7.88485742339557e-53,1.09189505599182e-49,"Sv2b"
"ENSMUSG00000044349.17",537.288525409857,-9.36844138181389,0.555976257050304,-16.8504342820637,1.6799287067364e-51,2.1148775209896e-48,"Snhg11"
"ENSMUSG00000037996.18",665.216622512828,-7.82073845412455,0.454347902133014,-17.2131056782892,3.05671829176055e-51,3.52745290869167e-48,"Slc24a2"
"ENSMUSG00000054942.14",150.972169438666,-5.6065721709775,0.307560916158625,-18.2291438099564,5.13124194060808e-51,5.46595679950313e-48,"Miga1"
"ENSMUSG00000058897.19",153.437585394121,-6.16991970173956,0.352110363143412,-17.5226870537366,4.16244050402535e-49,4.11724829283879e-46,"Col25a1"
"ENSMUSG00000017740.18",505.585408070273,-6.00659284905296,0.341864997395536,-17.570072674341,7.2563177973025e-49,6.69903259046967e-46,"Slc12a5"
"ENSMUSG00000019828.14",77.0207760930571,-7.75207116019203,0.463978734991785,-16.7078156293721,2.81352392876944e-48,2.43510496034995e-45,"Grm1"
"ENSMUSG00000026090.17",248.290460618343,-6.70810925541508,0.392734968653543,-17.0804990409009,3.67557213703596e-48,2.99407782080435e-45,"Cracdl"
"ENSMUSG00000040536.16",156.420887034476,-9.33585763963591,0.57499548429271,-16.23640166691,6.30438308622035e-48,4.85017205433219e-45,"Necab1"
"ENSMUSG00000026163.18",278.321464620577,-10.800366001885,0.683403381520246,-15.8037936216519,6.10605219815133e-47,4.45034793894735e-44,"Sphkap"
"ENSMUSG00000049176.17",108.508264333004,-7.74222021745933,0.470552434934929,-16.4534696723649,7.28127252551066e-47,5.04155309666358e-44,"Frmpd4"
"ENSMUSG00000035033.16",83.4346820356436,-7.19347213759176,0.432979329818828,-16.613892724629,1.02828375963869e-46,6.78079690641739e-44,"Tbr1"
"ENSMUSG00000036062.14",350.823911502846,-8.60033238696904,0.53204080201495,-16.1647985537909,1.35231323049613e-46,8.51219709814108e-44,"Phf24"
"ENSMUSG00000027221.6",250.365485146455,-6.50507157311175,0.395491881408987,-16.448053370746,2.40942591448636e-44,1.4506839158177e-41,"Chst1"
"ENSMUSG00000059213.8",748.405548282025,-7.65948246538135,0.480346467326177,-15.9457453866944,5.23995857988475e-44,3.0234561005935e-41,"Ddn"
"ENSMUSG00000020435.18",87.9611905111028,-7.61527568375263,0.480846518154188,-15.8372274649823,2.29369319595384e-43,1.27052253510275e-40,"Osbp2"
"ENSMUSG00000031066.11",192.0982647795,-5.4345886723135,0.324222082335416,-16.7619325407061,6.90637281914266e-43,3.6784404153649e-40,"Usp11"
"ENSMUSG00000070304.14",295.721991691628,-9.20832765078709,0.601424927951559,-15.3108513179699,1.03557991173039e-42,5.31137430283054e-40,"Scn2b"
"ENSMUSG00000028528.18",473.523029828059,-6.33572196962332,0.396869244723689,-15.9642553658559,1.65744202604359e-41,8.19723470594701e-39,"Dnajc6"
"ENSMUSG00000036564.18",2311.82603021888,-4.07352654124307,0.229129272458189,-17.7782895111597,2.50519555595657e-41,1.19627407099609e-38,"Ndrg4"
"ENSMUSG00000030302.18",768.884082085165,-8.5548092810575,0.564983820248797,-15.141688973129,4.42315190790664e-41,2.04172692068971e-38,"Atp2b2"
"ENSMUSG00000032936.14",295.251182892041,-7.01472429286173,0.450397378672276,-15.5745229102807,5.59311383771963e-41,2.49849807821746e-38,"Camkv"
"ENSMUSG00000019852.8",259.361681504113,-7.24264172243746,0.467699658170314,-15.4856681973457,6.12095028940639e-41,2.64884123774062e-38,"Arfgef3"
"ENSMUSG00000021057.16",164.315039773825,-5.57261994652814,0.343138989803131,-16.240124591278,8.18745297522595e-41,3.43575299396754e-38,"Akap5"
"ENSMUSG00000044835.16",73.4251039372319,-5.69501416377179,0.352653443644289,-16.1490388550301,9.67444902497881e-41,3.94034617935019e-38,"Ankrd45"
"ENSMUSG00000073755.5",80.0393668617666,-7.46093128780326,0.488739246030909,-15.2656684487568,3.38168635109092e-40,1.33798835971163e-37,"5730409E04Rik"
"ENSMUSG00000028785.14",470.085874252334,-6.0931316041577,0.389092248142495,-15.6598637810082,1.88350722021404e-39,7.24522444042335e-37,"Hpca"
"ENSMUSG00000032285.16",67.0996266952841,-6.76839434191198,0.44074988846647,-15.3565423815799,1.93623322261739e-39,7.24674531535287e-37,"Dnaja4"
"ENSMUSG00000046447.4",2457.37789016442,-4.61249857224234,0.276616995383966,-16.6746752701866,2.80223091723737e-39,1.0211919405764e-36,"Camk2n1"
"ENSMUSG00000046093.10",890.400382780584,-9.44687960775221,0.651777780682481,-14.4940191085684,1.03455194624217e-38,3.67345521834912e-36,"Hpcal4"
"ENSMUSG00000020396.9",78.7922435956616,-7.45741008249175,0.504344488622657,-14.7863419760125,7.82916451088798e-38,2.71045675366942e-35,"Nefh"
"ENSMUSG00000020154.11",191.020163673433,-5.07091054724013,0.322793222976457,-15.70947029334,9.12295021563805e-37,3.08133206307697e-34,"Ptprb"
"ENSMUSG00000022055.8",367.096038907317,-9.39942892029912,0.666834700762329,-14.0955905707271,1.11107679894813e-36,3.57818407251945e-34,"Nefl"
"ENSMUSG00000052160.8",173.067423994151,-6.94652896744677,0.472093314909401,-14.7143133530282,1.10939512034101e-36,3.57818407251945e-34,"Pld4"
"ENSMUSG00000056296.18",205.116998658092,-7.18796546627119,0.493746582136349,-14.5580055160488,2.47328038642174e-36,7.78408790708369e-34,"Synpr"
"ENSMUSG00000032181.8",412.793877542632,-10.7096514849271,0.775098795703066,-13.817143755478,2.65722147501324e-36,8.17715621910743e-34,"Scg3"
"ENSMUSG00000037754.14",239.153262860492,-6.297753977384,0.424237125900653,-14.8448912009148,4.35578353937967e-36,1.3112802272463e-33,"Ppp1r16b"
"ENSMUSG00000021313.18",201.369881417608,-5.67635277209885,0.374672314456054,-15.1501793783182,4.7287010551093e-36,1.39325643002454e-33,"Ryr2"
"ENSMUSG00000064065.16",91.6048590604514,-7.24270699364629,0.504874918172616,-14.3455472493288,2.02461520545914e-35,5.84101486774961e-33,"Ipcef1"
"ENSMUSG00000023800.16",104.449715237341,-5.83854655319515,0.391533902904094,-14.911982103949,2.20702311294615e-35,6.23731756491394e-33,"Tiam2"
"ENSMUSG00000047250.14",96.8352483088988,-6.69077803898377,0.465520625055507,-14.3726779843234,1.14931922733308e-34,3.1831545320217e-32,"Ptgs1"
"ENSMUSG00000027827.18",155.484387690872,-7.06018390223282,0.496094296777524,-14.2315361174148,1.28000791827799e-34,3.47559797104188e-32,"Kcnab1"
"ENSMUSG00000011751.18",147.230785243128,-4.72763765415915,0.305339609589331,-15.4832111710552,1.40571990557488e-34,3.74354024084634e-32,"Sptbn4"
"ENSMUSG00000058248.13",92.5550284171001,-7.32310826751485,0.518836791016644,-14.1144737503396,1.82107997152418e-34,4.75817272559753e-32,"Kcnh1"
"ENSMUSG00000027438.15",949.696184364023,-3.92869172571588,0.240701972004891,-16.3218094683331,2.32108267424082e-34,5.95228756905312e-32,"Napb"
"ENSMUSG00000026764.16",999.735606848131,-8.5741976075861,0.625957989077567,-13.6977205454656,5.26968320682826e-34,1.32681041905741e-31,"Kif5c"
"ENSMUSG00000007594.11",114.697834749324,-6.80786962351646,0.4819961097964,-14.1243248340576,9.74238928506676e-34,2.40915369320722e-31,"Hapln4"
"ENSMUSG00000030729.18",543.298345061717,-5.59020192676766,0.381120643267883,-14.6678014573942,1.04345418117808e-33,2.53504447385159e-31,"Pgm2l1"
"ENSMUSG00000045589.8",505.9358508252,-7.73409713120221,0.560700155557989,-13.7936418503496,1.57123157400794e-33,3.75145083394171e-31,"Frrs1l"
"ENSMUSG00000040147.15",42.662683789065,-6.29586186016287,0.441233901427358,-14.2687627577941,1.7258888762067e-33,4.05086595893397e-31,"Maob"
"ENSMUSG00000004933.18",98.5558481785711,-4.67425505636411,0.306412676967206,-15.2547704704279,1.97574420110807e-33,4.56001761615743e-31,"Matk"
"ENSMUSG00000022548.15",1021.73048592743,-7.26789108854539,0.524224255685729,-13.8640877634294,3.00171826740767e-33,6.81439255197728e-31,"Apod"
