"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000032011.6",2369.65806914379,8.76616636144768,0.50566457126123,17.3359314843496,1.5573350263113e-53,2.15815487946221e-49,"Thy1"
"ENSMUSG00000041836.11",1280.26950989852,-5.07753172531666,0.288237535110027,-17.6157894334561,9.82426858586971e-46,6.80723570314912e-42,"Ptpre"
"ENSMUSG00000040373.13",565.779048432217,-6.931128498031,0.463944537485438,-14.9395626804821,1.00546876340466e-37,4.6445953744206e-34,"Cacng5"
"ENSMUSG00000079584.3",382.806611038404,-7.03647153989184,0.480074153566543,-14.6570513901172,1.4667124959573e-36,5.08142544224405e-33,"Tm9sf5"
"ENSMUSG00000095180.11",1126.74185450217,-5.75173945772776,0.379460017426011,-15.1576956559047,2.81631848185455e-36,7.80570830430806e-33,"Rhox5"
"ENSMUSG00000014932.16",850.41267423654,-3.69845014681735,0.246493305388995,-15.0042620467147,3.42074873407858e-28,6.77210513669443e-25,"Yes1"
"ENSMUSG00000047497.11",863.869564650796,4.19551838476899,0.291898479644549,14.3732108158904,3.42054207622569e-28,6.77210513669443e-25,"Adamts12"
"ENSMUSG00000046186.9",3147.07830719052,-3.6966355295948,0.247348060340323,-14.9450758761102,5.62580754918056e-28,9.74530512706802e-25,"Cd109"
"ENSMUSG00000038059.8",177.190165882317,4.59287851464584,0.343557581329342,13.3685843778339,6.74306740189163e-26,1.03828253394905e-22,"Smim3"
"ENSMUSG00000063531.8",181.463184109561,-7.196895060669,0.596824494864944,-12.0586455860824,1.479848862669e-25,2.0507745538867e-22,"Sema3e"
"ENSMUSG00000018800.15",1438.65674231156,-4.39125107650283,0.332347911605901,-13.2128138109379,9.52151912321252e-25,1.19953829099526e-21,"Abca5"
"ENSMUSG00000041594.19",221.098074106704,-3.78051611792029,0.274072585618637,-13.7938499371869,1.74065388860194e-24,2.01016513235381e-21,"Tmtc4"
"ENSMUSG00000025964.16",1420.50557693564,-5.65435510462864,0.46152040618781,-12.251582007682,3.22381579807526e-24,3.19111709498049e-21,"Adam23"
"ENSMUSG00000026204.16",875.575558118748,-5.37970021254717,0.434127934087165,-12.3919697170812,3.1055275253871e-24,3.19111709498049e-21,"Ptprn"
"ENSMUSG00000068794.8",631.182878814181,5.46760235166239,0.444195221760092,12.3090075800397,4.24605061681456e-24,3.92278462985441e-21,"Col28a1"
"ENSMUSG00000055737.13",223.338942916236,4.42991110336224,0.352044331546559,12.5833899495024,9.89731230531597e-23,8.57230962044179e-20,"Ghr"
"ENSMUSG00000017756.10",482.355247000575,6.50995377022036,0.585459916393187,11.1193842446566,2.4495982323067e-21,1.99685484137096e-18,"Slc12a7"
"ENSMUSG00000021318.16",264.239967635072,6.33279045625159,0.568415651495317,11.1411261100782,3.24125380488217e-21,2.49540529044761e-18,"Gli3"
"ENSMUSG00000037428.15",660.142877140034,-6.22863259678112,0.55818503623584,-11.1587237070781,3.72399892133313e-21,2.71616721325445e-18,"Vgf"
"ENSMUSG00000024534.16",1023.0171855617,3.84726165112632,0.304813319989979,12.6216979338462,4.77136171681288e-21,3.30607653357964e-18,"Sncaip"
"ENSMUSG00000062393.15",178.305920391252,-6.45860359186892,0.587361086582374,-10.9959677946134,7.46920078319653e-21,4.92896116445417e-18,"Dgkk"
"ENSMUSG00000022790.15",292.263218867171,-5.57169907476359,0.494390702999564,-11.26982979445,1.15291943605422e-20,7.26234433856333e-18,"Igsf11"
"ENSMUSG00000029378.6",554.504047558669,-4.48806586240886,0.379363914371965,-11.8305028295557,1.88351196680579e-20,1.13485690591281e-17,"Areg"
