"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000024030.8",633.237999868008,-8.66312257494833,0.54279781243907,-15.9601280189772,1.47485002067253e-45,2.04384715864799e-41,"Abcg1"
"ENSMUSG00000069516.9",7139.39410654765,-9.20640781334829,0.591130050288539,-15.5742510617664,4.03937752954154e-44,2.79888469021934e-40,"Lyz2"
"ENSMUSG00000029304.15",6742.20219330122,-8.28489375782926,0.530543115579072,-15.615872705815,3.31012607396173e-43,1.52905757109872e-39,"Spp1"
"ENSMUSG00000046805.12",2275.93023497499,-10.3640024110018,0.686474708527183,-15.0974278910254,1.14658531842603e-42,3.97234483568697e-39,"Mpeg1"
"ENSMUSG00000015568.17",2585.03473169143,-10.3314391006916,0.685403191074353,-15.0735205718802,1.64135824271014e-42,4.54918850549541e-39,"Lpl"
"ENSMUSG00000030782.18",509.271874000173,-5.48544984476214,0.329960130359741,-16.6245838210259,2.17584153891038e-42,5.02546867437001e-39,"Tgfb1i1"
"ENSMUSG00000021822.4",408.869050268313,-10.0811273484159,0.677480527969267,-14.8803204405504,2.85436815089906e-41,5.65083340502274e-38,"Plau"
"ENSMUSG00000002944.16",933.445656955069,-11.3283498751895,0.781190429308851,-14.5013935785313,3.30574418645524e-40,5.72637536698709e-37,"Cd36"
"ENSMUSG00000112023.2",520.159518928875,-10.9325555587862,0.779696568740681,-14.0215514561566,1.79480318666235e-37,2.76359806230743e-34,"Lilrb4b"
"ENSMUSG00000040747.10",401.131143036133,-9.80405804267656,0.69233263259205,-14.1609070281301,2.39371193613194e-37,3.31720600109165e-34,"Cd53"
"ENSMUSG00000028108.17",417.79231309355,-5.15336964610127,0.327314258895886,-15.7444092520897,3.39198321160789e-37,4.27328212240564e-34,"Ecm1"
"ENSMUSG00000028581.18",1053.31478544149,-8.70657845235532,0.609126336950885,-14.2935511472677,5.46316591450684e-37,5.82373486486429e-34,"Laptm5"
"ENSMUSG00000029816.11",11391.1527225483,-7.31977859872261,0.499380685358763,-14.6577126695718,5.23327363853613e-37,5.82373486486429e-34,"Gpnmb"
"ENSMUSG00000040552.9",517.747048786165,-9.89918976241549,0.704597272405561,-14.0494295821196,7.19750897336647e-37,7.12450566806518e-34,"C3ar1"
"ENSMUSG00000018774.14",1355.23077369149,-6.67098182908332,0.450365519698576,-14.8123724781331,1.16906679212237e-36,1.08006184034879e-33,"Cd68"
"ENSMUSG00000021998.17",658.364457963329,-9.7455476224507,0.699621270989997,-13.9297474598797,3.7137044168065e-36,3.21653223800653e-33,"Lcp1"
"ENSMUSG00000020053.19",431.655703397837,-11.0565955980055,0.82857411164655,-13.3441238901777,3.35284418489634e-34,2.69935006311236e-31,"Igf1"
"ENSMUSG00000021281.16",183.454628143379,-8.90387218562808,0.651405255152625,-13.6687140842023,3.50615537133948e-34,2.69935006311236e-31,"Tnfaip2"
"ENSMUSG00000020120.16",972.021303355066,-5.65427296647726,0.384350580772779,-14.7112382531301,4.70633335369207e-34,3.43265092712972e-31,"Plek"
"ENSMUSG00000016256.11",1196.47440508548,-9.62936303957992,0.722625910578311,-13.3255158701321,3.58820778502086e-33,2.48626917424095e-30,"Ctsz"
"ENSMUSG00000070469.13",741.656693423783,-4.72418342831385,0.313523704468376,-15.0680263118362,7.65679693068604e-33,5.05275675549748e-30,"Adamtsl3"
"ENSMUSG00000038147.15",349.088500509003,-9.44645062009968,0.712420719083036,-13.2596517297508,1.00174999914401e-32,6.31011431278984e-30,"Cd84"
"ENSMUSG00000022488.10",406.279251062685,-8.43256521523662,0.630769335429196,-13.3686987327924,2.37869377639195e-32,1.43321471101042e-29,"Nckap1l"
"ENSMUSG00000020101.15",303.690551312515,-8.33537035085926,0.623249876540583,-13.3740425222796,2.80113982231662e-32,1.61742481906932e-29,"Vsir"
"ENSMUSG00000049723.15",1307.33237767146,-10.4555214837021,0.805341650122787,-12.9827154501546,3.92730689056897e-32,2.17698475558019e-29,"Mmp12"
"ENSMUSG00000015854.8",739.167463775501,-10.4188672780368,0.804189480488302,-12.9557368391719,5.51571731193311e-32,2.93987732726035e-29,"Cd5l"
"ENSMUSG00000030579.11",462.013330820152,-9.34508626676169,0.7202410679778,-12.9749422550975,2.41171882546385e-31,1.23783701789919e-28,"Tyrobp"
"ENSMUSG00000036887.6",1416.31251486442,-9.68695840964703,0.750471444566239,-12.9078307772868,2.74780715826984e-31,1.3599682714037e-28,"C1qa"
"ENSMUSG00000025044.17",427.266281113369,-12.3695574013048,0.983242842065603,-12.5803686252307,3.1606073687956e-31,1.51033437644033e-28,"Msr1"
"ENSMUSG00000038642.11",2385.28263175484,-9.03371861443353,0.695298257815346,-12.9925805406414,3.50886929615785e-31,1.62086369020518e-28,"Ctss"
"ENSMUSG00000026712.4",217.565581724868,-7.19958489969691,0.537291804741311,-13.3997668234737,4.21523274838376e-31,1.88434501377749e-28,"Mrc1"
"ENSMUSG00000037820.16",303.850835803253,-5.25551124025798,0.37120655549046,-14.1579160241771,1.00030734782993e-30,4.33195600819599e-28,"Tgm2"
"ENSMUSG00000026395.17",258.358137151141,-7.63048036252509,0.580039366484669,-13.155107745134,1.46212804900314e-30,6.14005166760168e-28,"Ptprc"
"ENSMUSG00000015340.11",466.909399616415,-10.9376378277877,0.871901976379057,-12.5445728121994,2.1476689843744e-30,8.50354193870299e-28,"Cybb"
"ENSMUSG00000024737.3",275.365374629818,-7.30265432934774,0.552973713767746,-13.206150939057,2.14540549311051e-30,8.50354193870299e-28,"Slc15a3"
"ENSMUSG00000033777.5",171.418509654137,-8.42414637723142,0.652448602128336,-12.9115862149926,2.66341553269446e-30,1.02526701255777e-27,"Tlr13"
"ENSMUSG00000024066.10",1106.83774369721,-6.18917731135035,0.456303903443796,-13.5637176553601,2.8761036610247e-30,1.07721741985082e-27,"Xdh"
"ENSMUSG00000028238.7",387.929770185254,-10.7396795068779,0.85710018089242,-12.5302499594571,3.17641564017813e-30,1.1583886300418e-27,"Atp6v0d2"
"ENSMUSG00000020399.15",135.150716896041,-6.94291737011863,0.523562852967357,-13.2609052203929,3.66953718104489e-30,1.30390887833128e-27,"Havcr2"
"ENSMUSG00000025161.17",92.1501832483506,-8.99710422836046,0.704843098430423,-12.7646908204048,3.88455091946459e-30,1.34580266604851e-27,"Slc16a3"
"ENSMUSG00000029994.18",247.860723160688,-8.45479211363479,0.658572795376454,-12.8380524871239,5.24643929555884e-30,1.77329648189889e-27,"Anxa4"
"ENSMUSG00000026358.14",146.218688903793,-10.9134402895114,0.877995410814821,-12.4299514041688,7.26921576238213e-30,2.36635320306112e-27,"Rgs1"
