"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000024617.17",1808.03018323983,-10.5134890807873,0.717210737326835,-14.6588562240059,1.85783147103077e-40,2.57458285255444e-36,"Camk2a"
"ENSMUSG00000045967.12",260.687449538311,-7.99020809300231,0.539245368634125,-14.8173884427436,9.92391741317156e-39,6.87628237558658e-35,"Gpr158"
"ENSMUSG00000059213.8",748.405548282025,-10.4042519873264,0.742621622088135,-14.0101657127506,4.70509638455266e-37,2.17344085657103e-33,"Ddn"
"ENSMUSG00000070570.6",758.769195461245,-8.79141927332504,0.626053449353552,-14.0426017657164,7.41685269849725e-36,2.56956861739437e-32,"Slc17a7"
"ENSMUSG00000071847.15",535.7605243842,-5.30792291705361,0.362085559284056,-14.6593057385355,6.09527614888794e-33,1.68936673742578e-29,"Apcdd1"
"ENSMUSG00000035864.15",2059.86029992672,-9.24321943016793,0.697960724458818,-13.2431798900073,1.72387439500984e-32,3.9815752276744e-29,"Syt1"
"ENSMUSG00000049176.17",108.508264333004,-8.60045282656594,0.650786459722643,-13.2154759799879,8.17234900017692e-32,1.61789160634931e-28,"Frmpd4"
"ENSMUSG00000028785.14",470.085874252334,-7.66859076316284,0.575467125062422,-13.3258537789296,2.36663134212881e-31,4.09959714240262e-28,"Hpca"
"ENSMUSG00000027350.9",616.835721513253,-7.06012948588302,0.527576314591572,-13.3821956949464,7.69077752931409e-31,1.18420883334705e-27,"Chgb"
"ENSMUSG00000030235.18",117.794267523047,-6.90485916305282,0.523673961053383,-13.1854162638973,8.63697557125581e-30,1.19691207466463e-26,"Slco1c1"
"ENSMUSG00000046093.10",890.400382780584,-12.8083001713001,1.04832226587867,-12.2179033949684,9.87930596023666e-30,1.24461292724509e-26,"Hpcal4"
"ENSMUSG00000027347.20",469.098825194405,-10.1332199802069,0.820141837697263,-12.3554481852288,4.18305499152043e-29,4.83073133937418e-26,"Rasgrp1"
"ENSMUSG00000046447.4",2457.37789016442,-5.31907203926028,0.389795542837146,-13.645800053395,7.81280303724304e-29,8.32844803770108e-26,"Camk2n1"
"ENSMUSG00000003469.10",452.584837806253,-8.24820747092571,0.656499229430653,-12.5639255937573,1.21573167530563e-28,1.20340068259896e-25,"Phyhip"
"ENSMUSG00000025738.9",1525.18820291302,-5.11285540221427,0.373422596117533,-13.6918747161326,1.63677085052862e-28,1.51215802977504e-25,"Fbxl16"
"ENSMUSG00000074657.6",3715.31255174985,-8.6796063431251,0.700284379215523,-12.394402332447,2.77145518226013e-28,2.40042661973505e-25,"Kif5a"
"ENSMUSG00000020154.11",191.020163673433,-6.19710809319607,0.476887317583343,-12.9949106732389,5.89226899123671e-28,4.80323904003285e-25,"Ptprb"
"ENSMUSG00000028528.18",473.523029828059,-7.45221968697,0.593558460761202,-12.5551570394818,7.97473668711357e-28,6.13966116722332e-25,"Dnajc6"
"ENSMUSG00000026259.15",374.063760929709,-5.95794933631563,0.456469033527154,-13.0522530526952,8.7895390909776e-28,6.41081224856671e-25,"Ngef"
"ENSMUSG00000030302.18",768.884082085165,-10.2873365578915,0.859735198050928,-11.9657036041022,1.67378671801214e-27,1.15976681691061e-24,"Atp2b2"
"ENSMUSG00000022212.16",143.616620892625,-9.2019758011308,0.774662921113828,-11.8786836833496,1.69738880826532e-26,1.12011495737813e-23,"Cpne6"
"ENSMUSG00000026163.18",278.321464620577,-10.3876394545682,0.902098067257456,-11.5149780623614,1.1584932391962e-25,7.29745423126405e-23,"Sphkap"
"ENSMUSG00000090071.5",319.884701495244,-5.58880509479003,0.446443319409908,-12.5185098573703,4.40056158383045e-25,2.65143401864011e-22,"Cdk5r2"
"ENSMUSG00000032936.14",295.251182892041,-8.04028906277843,0.699503396294258,-11.4942816652117,3.95656938866822e-24,2.28458910784017e-21,"Camkv"
"ENSMUSG00000027221.6",250.365485146455,-7.32184830046015,0.629709991863475,-11.6273338442557,5.11984674380515e-24,2.83803344702607e-21,"Chst1"
"ENSMUSG00000027273.14",2442.81922698114,-9.37134398989358,0.838021565272451,-11.1827002767486,8.47910079978636e-24,4.51936072628613e-21,"Snap25"
"ENSMUSG00000054459.9",465.229421653581,-10.0043838984815,0.907669750320113,-11.0220527840144,1.69814867920943e-23,8.7159053320312e-21,"Vsnl1"
"ENSMUSG00000061718.13",277.317515591318,-8.9545489760824,0.805278280379433,-11.1198193149617,2.59255217073181e-23,1.28312814221434e-20,"Ppp1r1b"
"ENSMUSG00000027834.16",724.353377301144,-7.05820840429493,0.613834685786656,-11.4985493125882,2.82377740503437e-23,1.34937611306781e-20,"Serpini1"
"ENSMUSG00000024403.17",500.630635283203,-4.75468342997859,0.382623038877108,-12.4265476640723,4.94860681053017e-23,2.28592643934424e-20,"Atp6v1g2"
"ENSMUSG00000039059.12",81.0405828447264,-9.47635010991216,0.864495828178446,-10.9617071604377,5.35928317795735e-23,2.39577246064945e-20,"Hrh3"
"ENSMUSG00000031144.16",1852.0895498166,-6.00718819746568,0.512683443694988,-11.7171488007706,7.82887937587987e-23,3.39039407471698e-20,"Syp"
"ENSMUSG00000023067.15",11720.2686348202,3.28935890120751,0.236015749261627,13.937031369721,1.50710925866472e-22,6.32894548684113e-20,"Cdkn1a"
"ENSMUSG00000032589.15",770.584180775333,-5.6796908113213,0.484128768844169,-11.7317771155828,2.09813676924689e-22,8.5517586318304e-20,"Bsn"
"ENSMUSG00000048385.11",222.082587713458,-7.98506592832703,0.724453727951267,-11.0221890235951,2.6612981436167e-22,1.05372199069258e-19,"Scrt1"
"ENSMUSG00000058248.13",92.5550284171001,-8.62943328511861,0.791943009687637,-10.8965331842783,2.87757923415278e-22,1.10770813963581e-19,"Kcnh1"
