"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",12587.4744683864,-6.60163705589018,0.183315164888153,-36.0124982563121,2.25378267818768e-205,3.0813716776182e-201,"Pdgfra"
"ENSMUSG00000079584.3",402.283215698964,7.37363897506532,0.270941811754389,27.2148433913537,1.15835920863346e-122,7.91854355021836e-119,"Tm9sf5"
"ENSMUSG00000051379.13",300.011830549449,-7.0397798118306,0.289573984042108,-24.3108158874069,6.51986293353828e-97,2.97131886757784e-93,"Flrt3"
"ENSMUSG00000064125.15",233.473878040283,-5.51977532564639,0.247624674287502,-22.2908938357157,9.87832879645804e-75,3.37641278262936e-71,"Prr36"
"ENSMUSG00000005338.15",949.091016320147,-7.33867876849215,0.366587351818791,-20.0189088141802,2.74730542177527e-67,7.5122319453023e-64,"Cadm3"
"ENSMUSG00000054976.15",378.848861212561,-7.7484691825524,0.390958056862267,-19.8191827653833,4.59572425478382e-67,1.04721236685674e-63,"Nyap2"
"ENSMUSG00000024172.11",1195.13053607335,-8.31500622746893,0.424643571896932,-19.5811423456261,8.44059675506671e-67,1.64856912621817e-63,"St6gal2"
"ENSMUSG00000022309.10",407.160645636898,-7.00678043757959,0.352399615506576,-19.8830535825282,1.8918397642455e-65,3.23315415709556e-62,"Angpt1"
"ENSMUSG00000025777.9",661.289771702107,-5.41242046140272,0.270785339715462,-19.9878636970895,5.36381037820686e-60,8.14822394342713e-57,"Gdap1"
"ENSMUSG00000061911.16",595.135272745769,-6.68834671504214,0.353029539011087,-18.9455724690281,1.03459156411293e-58,1.4144935864552e-55,"Myt1l"
"ENSMUSG00000057716.8",1025.03451734337,-4.76967884719119,0.236377220662835,-20.1782508222084,1.47733473876292e-57,1.83619277712425e-54,"Tmem178b"
"ENSMUSG00000031343.14",454.56800218024,-8.14303536039062,0.457291993747781,-17.8070805343728,2.64804564863007e-55,3.01700667567252e-52,"Gabra3"
"ENSMUSG00000037138.19",359.879292709351,-4.71602444943529,0.24130310015514,-19.5439861585004,8.20620411751658e-54,8.63040174574513e-51,"Aff3"
"ENSMUSG00000043068.7",74.6895254309277,-5.46853487724606,0.292566867107594,-18.6915727379169,5.73754629471658e-53,5.60312378152608e-50,"Fam89a"
"ENSMUSG00000051251.4",89.9213730044381,-6.11056694432056,0.33545333598711,-18.215847895325,1.03869299724004e-52,9.46734043884391e-50,"Nhlh1"
"ENSMUSG00000032289.16",73.2584916550102,-5.94878661914792,0.325213458248514,-18.2919447773964,1.36291364543e-52,1.16460971001994e-49,"Thsd4"
"ENSMUSG00000048834.17",397.438620670625,-7.87896457772247,0.45328188267945,-17.3820416804399,2.55327045792075e-52,2.05343021768779e-49,"Vstm2a"
"ENSMUSG00000037872.6",90.2412606077684,-7.51044570954693,0.437917474719833,-17.150367690515,2.7056873205912e-50,2.05511983595127e-47,"Ackr1"
"ENSMUSG00000020701.13",215.33096619582,-7.89284746463906,0.464528134465452,-16.9911074895853,4.13615854750489e-50,2.97629261376246e-47,"Tmem132e"
"ENSMUSG00000022311.16",185.205759336754,-6.24984900025877,0.353924893630851,-17.6586872320359,4.46652348995105e-50,3.05331545773054e-47,"Csmd3"
"ENSMUSG00000027350.9",506.263090657125,-4.24493157890636,0.223180605909008,-19.020163340882,3.40504071431832e-48,2.21684364981714e-45,"Chgb"
"ENSMUSG00000045573.10",314.295716343406,-6.2102506697862,0.362111593420243,-17.1501017438538,3.05436728354724e-47,1.89815043184808e-44,"Penk"
"ENSMUSG00000023236.8",321.928970004745,-5.75152938231804,0.33344990512368,-17.2485560617711,2.25412495626924e-46,1.33993027835274e-43,"Scg5"
"ENSMUSG00000046844.7",520.704946030429,-6.97809329097643,0.421539551089576,-16.5538281590417,5.95740611781223e-46,3.3937356851137e-43,"Vat1l"
"ENSMUSG00000027171.11",60.7180656928967,-5.05098960871106,0.286373508600412,-17.6377683585213,9.90890415575975e-46,5.41898150470189e-43,"Prrg4"
