"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000015568.17",1987.85332437207,-9.25547089881769,0.392211898405022,-23.5981390071444,1.18023971878496e-98,1.6136237435228e-94,"Lpl"
"ENSMUSG00000069516.9",5529.40593784562,-8.19265392363084,0.346870075372364,-23.6187970808264,8.22215827516349e-96,5.62066739690176e-92,"Lyz2"
"ENSMUSG00000050335.18",1132.81667436691,-8.78672544125434,0.383676237063746,-22.9014064266755,7.11162068684735e-92,3.24100260101923e-88,"Lgals3"
"ENSMUSG00000021822.4",315.405648676065,-8.77003918838775,0.400790533496644,-21.8818521282793,4.98928584623875e-84,1.70533790224441e-80,"Plau"
"ENSMUSG00000040552.9",401.156173878114,-9.41671579742238,0.435723910513564,-21.6116572219399,1.94639053143401e-83,5.32221026915317e-80,"C3ar1"
"ENSMUSG00000040747.10",310.980537279861,-9.50487572180502,0.447537462642791,-21.2381677852776,7.94403153293197e-81,1.8101799853041e-77,"Cd53"
"ENSMUSG00000002944.16",711.233439254425,-9.70377314484102,0.458331678378391,-21.1719451275409,1.02930622813588e-80,2.01038210729625e-77,"Cd36"
"ENSMUSG00000112023.2",377.911469453299,-10.4711389519,0.504269925775323,-20.7649483276252,5.31218854957575e-79,9.07853023122496e-76,"Lilrb4b"
"ENSMUSG00000016256.11",927.855464233835,-8.99867770619343,0.435754535034282,-20.6507953049427,1.48000803488943e-75,2.24829665033425e-72,"Ctsz"
"ENSMUSG00000020053.19",346.264395124219,-10.3303690913438,0.513486767368707,-20.1180823885303,4.41040571892514e-74,6.02990669891445e-71,"Igf1"
"ENSMUSG00000038642.11",1853.74236077026,-8.68767621394514,0.424307883394506,-20.4749347206157,1.14574586865499e-73,1.42405795602282e-70,"Ctss"
"ENSMUSG00000015340.11",360.135880765026,-9.6133956950934,0.481070168625129,-19.9833544502831,5.42319789191285e-72,5.70353550601789e-69,"Cybb"
"ENSMUSG00000030579.11",355.656483392569,-8.87349756310754,0.439644777115711,-20.1833344213074,5.03678067704628e-72,5.70353550601789e-69,"Tyrobp"
"ENSMUSG00000028581.18",757.809000489139,-7.69521099629551,0.374787247324183,-20.5322114112365,1.12401042610856e-71,1.09767646755402e-68,"Laptm5"
"ENSMUSG00000021998.17",492.607891958179,-7.73721129434713,0.379498132682353,-20.3880088675517,8.17671229288253e-71,7.45280069788599e-68,"Lcp1"
"ENSMUSG00000049723.15",997.096541885641,-9.60591300646316,0.48509746034295,-19.8020269981873,1.01900051914629e-70,8.70735943610506e-68,"Mmp12"
"ENSMUSG00000079293.13",469.727596109297,-8.11103687301707,0.405141505683819,-20.0202565257461,2.87194637415389e-69,2.30972063690776e-66,"Clec7a"
"ENSMUSG00000028238.7",303.767933593825,-9.68067639021825,0.49743491395608,-19.4611920446601,1.69488568561923e-68,1.28735983854367e-65,"Atp6v0d2"
"ENSMUSG00000026358.14",115.248945919019,-9.87388129176164,0.513336470435119,-19.2347161373363,2.96365296804061e-67,2.13258228310796e-64,"Rgs1"
"ENSMUSG00000112148.2",291.136210873832,-9.82246773122095,0.513635228417611,-19.1234307691115,1.99030467171708e-66,1.3605722735858e-63,"Lilrb4a"
"ENSMUSG00000020120.16",764.729537479798,-4.81554195388313,0.222541849869654,-21.6388151563567,3.40858445286517e-66,2.2191507923606e-63,"Plek"
"ENSMUSG00000025044.17",328.910142714573,-10.439248335121,0.55387869810277,-18.8475353373926,2.00100024884946e-65,1.24353070010317e-62,"Msr1"
"ENSMUSG00000024672.12",109.300467174059,-9.48146310235727,0.50932354379977,-18.6157958291532,1.4533535293015e-62,8.63923889243915e-60,"Ms4a7"
"ENSMUSG00000038147.15",278.865376820026,-7.91917314960351,0.416048320655038,-19.0342629844902,2.08856784379921e-62,1.1513734875295e-59,"Cd84"
"ENSMUSG00000071713.7",133.835421715274,-7.94959193602308,0.417889443991299,-19.0231939340124,2.10534941400216e-62,1.1513734875295e-59,"Csf2rb"
"ENSMUSG00000023992.15",268.199856561545,-9.19339468652766,0.493838548150524,-18.6161949506734,4.0317971475378e-62,2.12010502312065e-59,"Trem2"
"ENSMUSG00000026395.17",194.724117994106,-7.00557038962535,0.366703186809677,-19.104198277015,1.3913707734632e-60,7.04548933881069e-58,"Ptprc"
"ENSMUSG00000020101.15",219.750332139875,-7.41181117806259,0.3924739759591,-18.8848474856203,2.69594518002472e-60,1.3163915179035e-57,"Vsir"
"ENSMUSG00000095115.3",96.1566546820698,-8.88111039637841,0.485130452426238,-18.306643815003,1.20495712809542e-59,5.68074960528296e-57,"Itpripl2"
"ENSMUSG00000036905.9",994.552429824599,-8.82963322677712,0.484138314600174,-18.2378319593835,3.95406756584317e-59,1.80200039200693e-56,"C1qb"
"ENSMUSG00000006519.12",164.30296717433,-9.46006462253356,0.524335199641406,-18.0420170703842,7.259151471377e-59,3.13256806337684e-56,"Cyba"
"ENSMUSG00000022488.10",306.841225269901,-7.10408593034912,0.378331543277725,-18.7774084835801,7.33193227238582e-59,3.13256806337684e-56,"Nckap1l"
"ENSMUSG00000024030.8",496.925583957709,-7.07916506476184,0.378215750681472,-18.7172666712228,1.96393561109469e-58,8.13664474996565e-56,"Abcg1"
"ENSMUSG00000030144.5",80.1409261965618,-9.80278164824705,0.550826308773041,-17.7965022587295,8.660468048495e-58,3.48252703408893e-55,"Clec4d"
"ENSMUSG00000062593.18",255.501233624256,-10.7922309589233,0.613669970822798,-17.5863761827114,1.27676626390006e-57,4.98741381715475e-55,"Gm49339"
"ENSMUSG00000034116.18",82.84895280221,-8.91776445892494,0.497088309760469,-17.9400003657743,2.01632036050402e-57,7.65753665800305e-55,"Vav1"
"ENSMUSG00000044811.15",85.6924350383754,-9.31383591850895,0.522086949608189,-17.8396259962037,2.1511754129121e-57,7.94888385009034e-55,"Cd300c2"
"ENSMUSG00000015854.8",571.873618834543,-9.30236445215299,0.52918514884615,-17.5786574366951,8.99905543336725e-56,3.23776541802624e-53,"Cd5l"
"ENSMUSG00000000682.8",148.487931609263,-9.09441291674523,0.516220439562307,-17.61730497238,1.0338586474667e-55,3.62433728927301e-53,"Cd52"
"ENSMUSG00000024737.3",233.121884888993,-5.97288430985894,0.318719054665914,-18.7402799500639,3.48785637385538e-55,1.19214930858377e-52,"Slc15a3"
"ENSMUSG00000058715.12",210.373592028064,-6.16094612097811,0.332383298108571,-18.5356669725495,1.1373125785279e-54,3.79252135942279e-52,"Fcer1g"
"ENSMUSG00000062515.4",95.2297104040142,-7.21623758054702,0.402215095397651,-17.9412400556788,3.49013754416368e-54,1.13612286913823e-51,"Fabp4"
"ENSMUSG00000024300.18",139.250341441163,-8.57074352225591,0.489913638647687,-17.4943966571615,3.58830995742853e-54,1.14091566832472e-51,"Myo1f"
"ENSMUSG00000003882.6",60.2143193222375,-9.2293150659509,0.533761819671487,-17.2910738944034,6.23458584005823e-54,1.93725585466537e-51,"Il7r"
"ENSMUSG00000000275.17",101.346152642449,-7.97305401875948,0.453109622005559,-17.5963025977446,9.65085672470342e-54,2.93214473644767e-51,"Trim25"
"ENSMUSG00000059498.14",295.054050455489,-6.21051226718682,0.340018532324461,-18.2652169713516,2.63493607138988e-53,7.83148825392226e-51,"Fcgr3"
"ENSMUSG00000069833.14",401.291120469505,-4.42686914308875,0.224198394704856,-19.7453204288838,4.81424319804696e-53,1.40043261709996e-50,"Ahnak"
"ENSMUSG00000058818.14",76.7989709468034,-8.59268001185101,0.498113246241139,-17.250454744364,9.1799162418015e-53,2.61474614287313e-50,"Pirb"
"ENSMUSG00000018774.14",1065.54906559484,-5.05100904469493,0.267338227183736,-18.8937029242117,3.61250833936452e-52,1.00796355134269e-49,"Cd68"
"ENSMUSG00000038179.14",54.157660322393,-9.27497278824197,0.546487827181096,-16.9719659376208,4.27212480795622e-52,1.16816980748755e-49,"Slamf7"
"ENSMUSG00000004707.15",76.357335272805,-8.77629374688844,0.515067474551722,-17.0391146412937,8.39404453606342e-52,2.2502622920992e-49,"Ly9"
"ENSMUSG00000033777.5",134.518018213765,-6.41292631791726,0.359148253685721,-17.855930669592,1.24570023903683e-51,3.27523339771377e-49,"Tlr13"
"ENSMUSG00000034641.3",73.3602878450416,-9.10644987346746,0.539260534854216,-16.8869206717107,2.24754054376444e-51,5.79780647440516e-49,"Cd300ld"
"ENSMUSG00000073490.12",73.0586793342575,-7.27570357063989,0.418153190837589,-17.3996127019052,3.24694316178713e-51,8.22077905702844e-49,"Ifi207"
"ENSMUSG00000002603.16",159.130984419934,-6.12099334224026,0.341928081989468,-17.9014057769867,5.20441369116846e-51,1.293722617921e-48,"Tgfb1"
"ENSMUSG00000025161.17",67.8131733403946,-7.99966543916583,0.473011956704123,-16.912184408416,7.5369842763205e-50,1.84010087546168e-47,"Slc16a3"
"ENSMUSG00000046805.12",1767.76939038025,-7.70557974496813,0.453993841464072,-16.9728728480515,1.14017976818657e-49,2.73483119134155e-47,"Mpeg1"
"ENSMUSG00000035004.4",40.096784056873,-8.34193728212582,0.497468306434973,-16.7687813961596,1.35416205380311e-49,3.19208682751656e-47,"Igsf6"
"ENSMUSG00000018920.12",141.868854676228,-5.51326980804882,0.305830409707008,-18.0272125761812,1.37798898626865e-49,3.19319752885847e-47,"Cxcl16"
