"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000070570.6",598.438542275801,-8.78243727054364,0.376663665270972,-23.3163909352009,3.84664341636906e-95,5.25913087885978e-91,"Slc17a7"
"ENSMUSG00000027347.20",367.082270303802,-9.34625181246198,0.427426424100601,-21.866340697416,3.25205929512356e-85,2.22310773414646e-81,"Rasgrp1"
"ENSMUSG00000030235.18",94.5860357562306,-6.83076202332532,0.307360326318325,-22.2239548778032,1.4968217755379e-80,6.82151577171804e-77,"Slco1c1"
"ENSMUSG00000024617.17",1405.92453022212,-9.02476371359976,0.437476399680396,-20.6291441554171,1.86690251930231e-75,6.38107281097529e-72,"Camk2a"
"ENSMUSG00000003469.10",356.934987400063,-7.04050199597253,0.363527976660452,-19.3671531436179,2.65407604263748e-62,7.25730553098794e-59,"Phyhip"
"ENSMUSG00000032936.14",231.235820901487,-7.39889067455082,0.405524104973217,-18.2452549276682,2.15940783104032e-56,4.92057064433054e-53,"Camkv"
"ENSMUSG00000053025.14",361.710074682501,-7.80059419893358,0.436390140343263,-17.8752759922524,4.69420145769716e-55,9.16844604709079e-52,"Sv2b"
"ENSMUSG00000059213.8",576.10987940815,-8.14544211557383,0.478794886013793,-17.0123832846017,1.15363891866204e-50,1.97156891199342e-47,"Ddn"
"ENSMUSG00000026458.14",143.066324538633,-4.80539013256368,0.257722586357051,-18.6455917600728,1.22340637955373e-49,1.8584902245843e-46,"Ppfia4"
"ENSMUSG00000020154.11",163.839503207096,-5.17876864594227,0.289539154635639,-17.8862463436398,1.61618134153537e-47,2.20964313014716e-44,"Ptprb"
"ENSMUSG00000027221.6",197.73157368551,-6.98135646028029,0.41546273782017,-16.8038089213722,2.70764149115014e-47,3.36535222427316e-44,"Chst1"
"ENSMUSG00000026090.17",202.814917005973,-6.58666680111262,0.394923267060843,-16.6783457711492,9.85509133691373e-46,1.12282340631904e-42,"Cracdl"
"ENSMUSG00000061718.13",206.334993883704,-8.20869562073653,0.511756280645295,-16.0402440208176,2.3091042776765e-45,2.42846720649178e-42,"Ppp1r1b"
"ENSMUSG00000028655.12",61.4821951265304,-6.41156000522405,0.385757283216999,-16.6207101827223,5.22362977942201e-45,5.1012475960184e-42,"Mfsd2a"
