"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000046447.4",1977.09651674641,-7.17391687814266,0.326723367930583,-21.9571588147526,6.09767171817593e-80,8.33917584177741e-76,"Camk2n1"
"ENSMUSG00000024617.17",1405.92453022212,-11.4095182614135,0.664112890972384,-17.1800885308941,1.13317969114585e-55,7.74868272805531e-52,"Camk2a"
"ENSMUSG00000058297.17",809.2220933082,-10.4518876668634,0.623437232012124,-16.7649398049748,3.20776661992486e-52,1.46231387646975e-48,"Spock2"
"ENSMUSG00000003469.10",356.934987400063,-9.66033628368276,0.573359088606358,-16.8486668750011,7.55568000503544e-52,2.58328699372162e-48,"Phyhip"
"ENSMUSG00000074657.6",2893.73648390231,-11.0855540780511,0.668694805335876,-16.5778977039951,1.05645027129385e-51,2.88960278204294e-48,"Kif5a"
"ENSMUSG00000027221.6",197.73157368551,-9.6919450109427,0.585995234562728,-16.5392898086874,4.49574930638523e-50,1.02473112523541e-46,"Chst1"
"ENSMUSG00000059213.8",576.10987940815,-11.2100683924339,0.699044419865053,-16.0362747686306,1.29061997685985e-48,2.52150268621933e-45,"Ddn"
"ENSMUSG00000025738.9",1296.1202684911,-5.35531009918008,0.300353040937496,-17.8300512039581,6.00163284320151e-48,1.0259791345453e-44,"Fbxl16"
"ENSMUSG00000037754.14",187.743450820539,-8.89032297492943,0.544450944568694,-16.3289696961996,6.78062998054516e-48,1.0303543957104e-44,"Ppp1r16b"
"ENSMUSG00000049176.17",92.7117897707924,-8.45917188366909,0.518531429683704,-16.313710991114,3.2052031391828e-47,4.3834358131464e-44,"Frmpd4"
"ENSMUSG00000028528.18",359.887030338726,-8.49481565262806,0.526858381222494,-16.1235276032188,3.18310253533628e-46,3.95746457029627e-43,"Dnajc6"
"ENSMUSG00000070570.6",598.438542275801,-8.79036465989362,0.552045104403284,-15.9232725546861,1.60575778424625e-45,1.83002862144598e-42,"Slc17a7"
"ENSMUSG00000026090.17",202.814917005973,-7.8738588554624,0.500621984594701,-15.7281523739654,3.32728269221469e-43,3.50030139220985e-40,"Cracdl"
"ENSMUSG00000030134.12",224.19728810642,-9.42096238324423,0.615941849691085,-15.2952139686062,7.49428318064314e-43,7.3208440556054e-40,"Rasgef1a"
"ENSMUSG00000024403.17",414.571279392465,-5.62685977321161,0.33953923522717,-16.5720458475055,1.38593224942581e-42,1.26360062954316e-39,"Atp6v1g2"
