"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",5902.65346161174,-6.75066993593361,0.235005077109093,-28.7256344372503,1.52615476422071e-132,2.00292551256325e-128,"Pdgfra"
"ENSMUSG00000079584.3",353.990473756286,6.98175239934926,0.393415294866259,17.7465200017775,1.64625899738497e-52,1.08027515408402e-48,"Tm9sf5"
"ENSMUSG00000033460.15",347.182039220595,-5.63662446280435,0.337697995121072,-16.691317521099,3.35242697370366e-43,1.46657505342956e-39,"Armcx1"
"ENSMUSG00000064125.15",63.4913729336968,-5.62839886913359,0.346130592433571,-16.2609113212487,4.41711549189605e-41,1.44925559289109e-37,"Prr36"
"ENSMUSG00000020218.12",136.698144160814,-6.79640527621829,0.441353096799979,-15.399020252708,1.0615689645205e-39,2.7864062180734e-36,"Wif1"
"ENSMUSG00000025777.9",177.065959323177,-4.79417555868065,0.294048673282901,-16.3040203689959,2.15829673823225e-38,4.72091439876002e-35,"Gdap1"
"ENSMUSG00000032011.6",956.779883046591,-6.17275031404102,0.410704995676752,-15.0296450713234,1.12754872172963e-36,2.11399277485424e-33,"Thy1"
"ENSMUSG00000051379.13",150.173934205223,-6.94349459153343,0.492825639609265,-14.0891504691975,8.5854691251012e-34,1.40844620997285e-30,"Flrt3"
"ENSMUSG00000027350.9",127.754448717177,-3.63303334597934,0.222533138066013,-16.3258082708636,1.33203358568916e-32,1.94240097539828e-29,"Chgb"
"ENSMUSG00000057716.8",368.597926850589,-5.4210326738752,0.384009128389694,-14.1169370025337,5.68412201477884e-31,7.45984173219575e-28,"Tmem178b"
"ENSMUSG00000054976.15",271.372277325219,-8.46157157284753,0.663670426141463,-12.749658926408,1.25518061119368e-29,1.49754457648235e-26,"Nyap2"
"ENSMUSG00000028270.13",330.989563579903,-4.66025566179486,0.327495687531201,-14.2299756583844,2.65723105521178e-29,2.90612503071662e-26,"Gbp2"
"ENSMUSG00000036913.16",496.204248631546,-4.73442298401015,0.340606310216146,-13.8999861188882,2.84489632884162e-28,2.87203226305519e-25,"Trim67"
