"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",5902.65346161174,-6.63919795277136,0.230863612921498,-28.7580960410116,4.46900799953599e-132,5.86512609859103e-128,"Pdgfra"
"ENSMUSG00000028270.13",330.989563579903,-5.35214063951904,0.326552886421125,-16.3898126829505,8.00647529621226e-41,5.25384908937449e-37,"Gbp2"
"ENSMUSG00000064125.15",63.4913729336968,-5.08148641434879,0.33347678262934,-15.2379016442559,9.59667479500057e-35,4.19822533365292e-31,"Prr36"
"ENSMUSG00000020122.17",17743.9222645709,2.99514927870081,0.166719296795678,17.9652226003059,2.64164348712903e-33,8.66723228127036e-30,"Egfr"
"ENSMUSG00000054072.13",670.444445889837,-5.91664802864047,0.420317617364703,-14.0766120291044,6.56637419412471e-32,1.72354189847385e-28,"Iigp1"
"ENSMUSG00000079363.8",441.505151989311,-5.36701763750474,0.374955113406174,-14.3137603558719,1.19154592600371e-31,2.60630812214545e-28,"Gbp4"
"ENSMUSG00000027514.15",77.4387318655718,-7.41785316923482,0.588442061306224,-12.605919353842,5.36444725531137e-28,1.00575722541009e-24,"Zbp1"
"ENSMUSG00000078922.10",124.409544879063,-9.31917732190962,0.768650946855473,-12.1240692671154,1.33802101939896e-27,2.195023482324e-24,"Tgtp1"
"ENSMUSG00000020027.19",824.468300163455,-3.93688565151635,0.277554405115172,-14.1841944460681,1.81942455910229e-26,2.65312532373983e-23,"Socs2"
"ENSMUSG00000078921.4",394.386536115818,-6.01491393201108,0.51217762408648,-11.743804588768,6.1319418016946e-23,8.04756042054399e-20,"Tgtp2"
"ENSMUSG00000060586.12",89.6893631374255,-6.3037652360361,0.552622624793767,-11.4069981090416,4.09753284402038e-22,4.88872918590213e-19,"H2-Eb1"
"ENSMUSG00000104713.5",523.792592696344,-4.13567718584383,0.350541007214602,-11.7979839754154,1.85553230108092e-19,2.0293338266155e-16,"Gbp6"
"ENSMUSG00000090942.2",59.0515570202292,-4.6905100999126,0.417818998308941,-11.2261771697714,5.10454223675279e-19,5.15323171654951e-16,"F830016B08Rik"
"ENSMUSG00000069892.10",60.3798591492213,-5.71623796679077,0.534521401758086,-10.6941236552729,5.5571927342705e-19,5.20947124604043e-16,"9930111J21Rik2"
"ENSMUSG00000023236.8",42.6006417673817,-4.96206698365157,0.451503888242057,-10.9900869358435,8.52497404620043e-19,7.4587839588223e-16,"Scg5"
"ENSMUSG00000027350.9",127.754448717177,-2.87863148609688,0.214347375865721,-13.4297491372146,9.38662282877873e-19,7.69937737530575e-16,"Chgb"
"ENSMUSG00000051379.13",150.173934205223,-4.95145283959167,0.453818684913773,-10.9106411970068,1.5584928156761e-18,1.15773194218827e-15,"Flrt3"
"ENSMUSG00000054976.15",271.372277325219,-6.33555145981436,0.612929487764917,-10.3365094783045,1.5878676439644e-18,1.15773194218827e-15,"Nyap2"
"ENSMUSG00000040253.16",409.574147787088,-3.91140948339865,0.340367705161925,-11.4917174105512,5.95927617627492e-18,4.11629160723326e-15,"Gbp7"
"ENSMUSG00000021613.10",85.4877919024912,-4.52228514951933,0.422374324079184,-10.7068183166161,3.73815493874913e-17,2.45297727080718e-14,"Hapln1"
"ENSMUSG00000027834.16",98.8700069648527,-2.95491500622031,0.234874387441693,-12.5808311344883,4.27968178352924e-17,2.67459732033513e-14,"Serpini1"
"ENSMUSG00000036594.16",123.017642875037,-7.56713680677456,0.795458032435867,-9.51293028445804,7.54485176626175e-17,4.50084702638269e-14,"H2-Aa"
"ENSMUSG00000037169.16",116.919479144578,-3.59461085371297,0.316632880652467,-11.352613936701,1.25941715889759e-16,7.18634382320518e-14,"Mycn"
"ENSMUSG00000028268.15",264.725964438231,-3.66778606647738,0.330792465751106,-11.0878766786578,3.66679569356048e-16,2.00512611176199e-13,"Gbp3"
"ENSMUSG00000025777.9",177.065959323177,-3.23071494446018,0.278675107242038,-11.5931235352651,5.98716032971278e-16,3.14301968668602e-13,"Gdap1"
"ENSMUSG00000024338.16",347.685251256977,-4.51268281795292,0.443881148891649,-10.166421415329,1.25059458789353e-15,6.31261668135181e-13,"Psmb8"
"ENSMUSG00000075044.15",19.394267026898,-5.46613842657892,0.58877345853479,-9.28394163721619,1.65609395219432e-14,8.0498433439253e-12,"Slc22a29"
"ENSMUSG00000045573.10",53.805476605521,-4.796305443379,0.501196013604981,-9.56971985646962,1.80267117861991e-14,8.44937733864562e-12,"Penk"
"ENSMUSG00000103037.2",97.5905481865392,-4.51291758281654,0.46438355886937,-9.7180821685507,1.9439559814425e-14,8.79740631050047e-12,"Pcdhgb1"
"ENSMUSG00000105096.2",40.2855129132415,-6.03739381685243,0.666711665279711,-9.05547949925176,2.08497525062624e-14,9.12107172973959e-12,"Gbp10"
"ENSMUSG00000024610.17",46.3592576147131,-5.86817506361583,0.65018309115558,-9.02541936792947,3.5128067928101e-14,1.48716375318838e-11,"Cd74"
"ENSMUSG00000027580.18",364.765635755799,-2.11991520391276,0.152534757761815,-13.8979156948807,1.05186862063335e-13,4.31397618037254e-11,"Helz2"
"ENSMUSG00000063434.7",83.9409831358303,-5.24723226600222,0.581707192094527,-9.02040122128926,1.4247557891795e-13,5.66621059914901e-11,"Sorcs3"
"ENSMUSG00000027581.13",573.435852212072,-3.53991574881824,0.348790193155538,-10.1491263753499,1.64364197613311e-13,6.25913937313985e-11,"Stmn3"
"ENSMUSG00000046844.7",77.3236474664566,-5.38714271703744,0.602630364718439,-8.93938147234652,1.669231012343e-13,6.25913937313985e-11,"Vat1l"
"ENSMUSG00000046338.5",102.921246731746,-4.43789188230975,0.476495048688315,-9.31361594317985,2.69752633593799e-13,9.83398212023616e-11,"Gpat2"
"ENSMUSG00000073555.2",127.768275252711,-3.80894031743254,0.393009006484476,-9.69173798713695,4.42612856914814e-13,1.56995976598649e-10,"Iigp1c"
"ENSMUSG00000030683.12",82.324533863045,-2.85491441041953,0.267533916865172,-10.671224209147,2.05450687896102e-12,7.09561796828536e-10,"Sez6l2"
"ENSMUSG00000027612.8",29.4408443841929,-3.79632235137134,0.40504361972352,-9.3726259753522,2.53226165636744e-12,8.52138512260675e-10,"Mmp24"
"ENSMUSG00000032024.11",45.6502717014068,-3.72907043094325,0.396111848104335,-9.41418553570004,2.79656871438614e-12,9.17554195190093e-10,"Clmp"
"ENSMUSG00000074896.4",159.546730656251,-3.5944820413886,0.377426014584085,-9.52367325646493,3.11808595991184e-12,9.98091710680074e-10,"Ifit3"
"ENSMUSG00000021194.7",177.68004375206,-3.87850021389786,0.422039657858137,-9.18989517141909,4.53780134486528e-12,1.41795487738124e-09,"Chga"
"ENSMUSG00000075224.11",27.5898144237581,-3.48346400518181,0.366337334793799,-9.50889705834257,6.04330514969669e-12,1.84447294847952e-09,"Lrrc55"
"ENSMUSG00000021730.9",22.7458313427333,-4.00821510735193,0.445441572766227,-8.99829596609181,7.2243582974159e-12,2.10947221263768e-09,"Hcn1"
"ENSMUSG00000090129.11",257.289697075376,4.34966132823229,0.496014009430857,8.76923079899141,7.23302724540502e-12,2.10947221263768e-09,"Or10ad1"
"ENSMUSG00000021457.15",107.817660161382,-5.05579157704196,0.602215277226274,-8.3953226831579,8.20851661648142e-12,2.34192547988483e-09,"Syk"
"ENSMUSG00000068373.16",90.1013099682201,-3.49696406324409,0.373147912430757,-9.3715225162703,1.10356640429872e-11,3.0815330829822e-09,"D430041D05Rik"
"ENSMUSG00000029561.18",240.273914110418,-3.9409883280503,0.439727157294534,-8.96234918101858,1.12957069455978e-11,3.08843454070887e-09,"Oasl2"
"ENSMUSG00000073411.13",3045.79074021807,-3.21916066278296,0.332517121548733,-9.68118768678555,1.24611453497537e-11,3.33755248102382e-09,"H2-D1"
"ENSMUSG00000020218.12",136.698144160814,-3.60371668930286,0.39062254648892,-9.22557267032991,1.31832093345314e-11,3.39247920208607e-09,"Wif1"
"ENSMUSG00000036815.18",120.508161115295,-4.64768120317201,0.547088588926376,-8.49529911105031,1.30150514142002e-11,3.39247920208607e-09,"Dpp10"
"ENSMUSG00000057346.13",59.3416399894633,-5.30618724090452,0.648726050498731,-8.17939596664139,1.59077511227517e-11,4.01487164874987e-09,"Apol9a"
"ENSMUSG00000036949.17",36.1149580581622,3.59285944860454,0.391762847377076,9.17100606313077,1.8150287391904e-11,4.49442210813863e-09,"Slc39a12"
"ENSMUSG00000090744.8",20.9781428641764,-3.25362850506989,0.340940218328309,-9.54310559494274,1.92108004375755e-11,4.66893601745817e-09,"Gm6871"
"ENSMUSG00000068606.7",51.4461123483361,-4.39286625412481,0.516815326344657,-8.49987612634241,2.60253389406769e-11,6.21011905922624e-09,"Gm4841"
"ENSMUSG00000044550.12",59.7277709731785,-6.20793920636067,0.794295664010515,-7.81565289556773,2.75102132354896e-11,6.4472149732601e-09,"Tceal3"
"ENSMUSG00000062488.10",57.3751580745799,-3.74797242194287,0.420835887254388,-8.90601903367924,3.29297033335257e-11,7.58191976402089e-09,"Ifit3b"
"ENSMUSG00000045215.19",59.0208660392245,-4.38360547295913,0.518794580464593,-8.44959765970088,3.46758727309852e-11,7.84631299519741e-09,"Asxl3"
"ENSMUSG00000037428.15",70.1009884765276,-3.9902056242784,0.45877091771613,-8.69759932504569,3.56582296906023e-11,7.93184078744855e-09,"Vgf"
"ENSMUSG00000017314.13",337.092126065525,-3.46549388603514,0.381837171104914,-9.07584213450752,5.34259919924883e-11,1.16860453151569e-08,"Mpp2"
"ENSMUSG00000048782.17",15.8112203992608,-4.3422480637932,0.518037430517115,-8.38211258105169,5.52828834591727e-11,1.18939764347243e-08,"Insc"
"ENSMUSG00000078853.9",690.390178464191,-3.07418696710215,0.322172886057466,-9.54204124599675,6.0482084770914e-11,1.28026916215077e-08,"Igtp"
"ENSMUSG00000015599.10",252.265193504351,-3.19653929417085,0.343430354622189,-9.30767840160022,7.98127303130713e-11,1.66263852798214e-08,"Ttbk1"
"ENSMUSG00000034855.14",72.631400324329,-3.15787496150504,0.341068890568742,-9.25875988349214,1.25147988668414e-10,2.56631594263166e-08,"Cxcl10"
"ENSMUSG00000078452.11",325.16166413892,-3.97317452620448,0.4768893089738,-8.33143971030553,2.2658699117149e-10,4.5749656494379e-08,"Raet1d"
"ENSMUSG00000020774.10",40.328879543113,3.82074174840516,0.454156834347563,8.41282451225028,2.63339592363115e-10,5.23646789420231e-08,"Aspa"
"ENSMUSG00000068246.7",43.1261927266036,-4.47715578731814,0.560817413189568,-7.98326814043624,2.82035028562456e-10,5.52451897739354e-08,"Apol9b"
"ENSMUSG00000032011.6",956.779883046591,-3.45735292780397,0.400005842936864,-8.64325606451122,4.04140995101165e-10,7.79992120545249e-08,"Thy1"
"ENSMUSG00000057716.8",368.597926850589,-3.26020499960564,0.371301272386137,-8.78048431844631,5.74319846938131e-10,1.09237299582841e-07,"Tmem178b"
"ENSMUSG00000079009.9",178.380792885782,-2.13412214036987,0.187065036040479,-11.4084501601254,6.69210437287048e-10,1.25467396842217e-07,"Zfp1004"
"ENSMUSG00000034459.9",179.26653398402,-3.58097253806525,0.427685799435583,-8.37290492878431,7.96094890865726e-10,1.47154216165096e-07,"Ifit1"
"ENSMUSG00000074151.15",246.777928388844,-3.68128239162135,0.449293004459071,-8.1935003551935,1.20250711305834e-09,2.19190324330244e-07,"Nlrc5"
"ENSMUSG00000007944.9",25.5189357461596,-2.84304712445277,0.309937152812143,-9.17297942068913,1.36952494972784e-09,2.46214321099017e-07,"Ttc9b"
"ENSMUSG00000043670.5",20.6543422330771,-2.82432370785478,0.307631601840249,-9.18086337996392,1.5126264399925e-09,2.68266343222453e-07,"Diras1"
"ENSMUSG00000020062.8",129.984956202555,-3.22518189610725,0.376040976436991,-8.57667674056703,1.6354316743164e-09,2.86178737249713e-07,"Slc5a8"
"ENSMUSG00000060257.3",12.4094350805474,-4.07112077137592,0.521101133226659,-7.81253486471529,1.89025357125527e-09,3.26416945646766e-07,"Scrt2"
"ENSMUSG00000031099.17",194.033550184548,-4.3556196267722,0.570669126594286,-7.63247812750313,2.04948379153172e-09,3.4931721142938e-07,"Smarca1"
"ENSMUSG00000053024.15",50.803333883158,-3.52716294087137,0.430678950930567,-8.18977322492831,2.20730496325303e-09,3.71393209458113e-07,"Cntn2"
"ENSMUSG00000027525.19",101.259020721966,-3.64117845455071,0.452020484851969,-8.05533947370361,2.56267580823924e-09,4.25728573510528e-07,"Phactr3"
"ENSMUSG00000031146.7",136.33169657402,-7.19269564345852,1.06218585538998,-6.77159802774606,2.76899765651071e-09,4.54254065550582e-07,"Plp2"
"ENSMUSG00000023885.10",683.92104067464,2.76312827078545,0.302745242110781,9.1269089863165,2.87619042538207e-09,4.65089682335741e-07,"Thbs2"
"ENSMUSG00000053129.6",15.4817639875399,-4.49033628407046,0.599499521489021,-7.4901415649465,2.90592456198802e-09,4.65089682335741e-07,"Gsx1"
"ENSMUSG00000031343.14",116.143303685092,-5.5105953790448,0.775100259911492,-7.10952590787939,2.95348819034516e-09,4.67006976025179e-07,"Gabra3"
"ENSMUSG00000041073.11",82.7773374468319,-4.53427842931426,0.610257280935459,-7.43010951440628,3.48893392173771e-09,5.45104390343877e-07,"Nacad"
"ENSMUSG00000057060.9",273.306943530826,2.05157093144383,0.18179292034019,11.2852080686349,3.63763193213337e-09,5.61650370321393e-07,"Slc35f3"
"ENSMUSG00000016206.7",120.005991067158,-2.66496353667662,0.29102027441776,-9.15731229381998,5.29103209988563e-09,8.07436107894174e-07,"H2-M3"
"ENSMUSG00000070034.14",17.9768705602128,-3.76480554612087,0.486492705445015,-7.73866802931206,6.61224462248054e-09,9.97460901441777e-07,"Sp110"
"ENSMUSG00000027533.11",15826.7032057368,1.83833577958353,0.147914561609276,12.4283624247867,7.23623427060981e-09,1.07918566553958e-06,"Fabp5"
"ENSMUSG00000016087.14",21.1513176614854,-3.73355136291896,0.483177438405238,-7.72708132904926,7.68200514291808e-09,1.13279365725457e-06,"Fli1"
"ENSMUSG00000052584.11",24.1157494036052,-3.11563831069219,0.375302176930064,-8.30167929261114,8.64388839738212e-09,1.26047101474714e-06,"Serp2"
"ENSMUSG00000060988.13",20.3465221605378,-4.63677961250367,0.64641449027983,-7.17307498861362,9.2175456448235e-09,1.32935240706224e-06,"Galnt13"
"ENSMUSG00000010154.8",23.9448190692973,-2.80853519946368,0.322915860660211,-8.69742103630817,1.06781469481607e-08,1.52326087551806e-06,"Spire2"
"ENSMUSG00000034295.12",158.829813554655,-2.23838774975801,0.221526957402582,-10.1043582957273,1.1338125753485e-08,1.60001679987889e-06,"Fhod3"
"ENSMUSG00000061911.16",77.8514999064443,-3.4555187757236,0.444415321361303,-7.77542674527712,1.64480932612752e-08,2.2964337868189e-06,"Myt1l"
"ENSMUSG00000026204.16",187.298941616657,-2.84654736889117,0.33433243133813,-8.51412277743494,1.66546598230108e-08,2.30079742649677e-06,"Ptprn"
"ENSMUSG00000022594.15",103.263168639265,-2.84679595298023,0.334884624970927,-8.5008260777197,1.74664829429621e-08,2.38781377232745e-06,"Lynx1"
"ENSMUSG00000051251.4",20.1175536027046,-3.31694040770769,0.421034983124626,-7.8780636779673,1.86729217900681e-08,2.52642706776138e-06,"Nhlh1"
"ENSMUSG00000095620.8",17.7026915763763,-3.23137333736764,0.406696629217299,-7.94541460445966,2.04895667312369e-08,2.7439293242934e-06,"Csta2"
"ENSMUSG00000002190.14",81.4365540032877,-2.48092003697417,0.270709077744119,-9.16452472760887,2.24355665389229e-08,2.97418560865479e-06,"Clgn"
"ENSMUSG00000030376.9",165.198256484754,-2.72755809493745,0.317493141796434,-8.5909197266575,2.64546859107559e-08,3.4719129789276e-06,"Slc8a2"
"ENSMUSG00000024172.11",185.550137829973,-4.87845307297756,0.71320863142807,-6.84014867179796,2.69357874431814e-08,3.50005222182488e-06,"St6gal2"
"ENSMUSG00000036036.16",63.3441497289655,-5.1069371124907,0.75910298876175,-6.72759452682586,3.14683749932972e-08,4.04893091580424e-06,"Zfp57"
"ENSMUSG00000038453.18",37.4673245723598,-3.13181661664252,0.394483573218876,-7.93902922519124,3.25728553373682e-08,4.15035100434583e-06,"Srcin1"
"ENSMUSG00000073421.7",139.540142845346,-3.09597294140725,0.388262849564005,-7.97390980075441,3.36310879956332e-08,4.24398460437202e-06,"H2-Ab1"
"ENSMUSG00000043556.11",95.575613825099,-2.4327401075063,0.265575013366503,-9.16027481903591,3.4288435363322e-08,4.28572786388798e-06,"Fbxl7"
"ENSMUSG00000022587.16",473.928931543056,-3.36236191698987,0.438089854758827,-7.67505086106339,3.47586641978814e-08,4.3035161220094e-06,"Ly6e"
"ENSMUSG00000063446.5",152.90118958404,-3.29801344005514,0.426343205210962,-7.73558344485219,3.5218008801091e-08,4.31963689257494e-06,"Plppr1"
"ENSMUSG00000022309.10",170.419881426448,-4.10248349093001,0.578618583020554,-7.0901343498404,4.11800913778419e-08,5.00414369669257e-06,"Angpt1"
"ENSMUSG00000034898.18",73.1711536560154,-3.37494754570056,0.443874691546554,-7.60337908417696,4.38579557411149e-08,5.23265282860357e-06,"Filip1"
"ENSMUSG00000039838.12",20.0715258390315,-3.49789022203177,0.466709479334673,-7.49479146431363,4.34622417420681e-08,5.23265282860357e-06,"Slc45a1"
"ENSMUSG00000045648.16",136.860052599314,-3.41904488523708,0.455008549222755,-7.51424317428209,5.28962624180882e-08,6.25414908085577e-06,"Vwc2l"
"ENSMUSG00000043843.18",31.8883158796567,-2.24690935643914,0.234832795325795,-9.56812421928502,5.48802616017112e-08,6.43079065411481e-06,"Tmem145"
"ENSMUSG00000030862.14",44.4689405908415,-3.47883974479658,0.468101946310683,-7.43179935955158,5.93415117536454e-08,6.83156140574423e-06,"Cpxm2"
"ENSMUSG00000050967.6",347.230103034533,-2.18136697965622,0.223032529114847,-9.78048802259226,5.89128521755102e-08,6.83156140574423e-06,"Creg2"
"ENSMUSG00000020135.14",334.276877497932,-2.53066447564698,0.290340100806872,-8.71620719499001,6.74833507125868e-08,7.63492667889646e-06,"Apc2"
"ENSMUSG00000026222.17",45.7970514446304,-3.62119087824474,0.497151581065625,-7.28387682179922,6.73190482841472e-08,7.63492667889646e-06,"Sp100"
"ENSMUSG00000036913.16",496.204248631546,-2.74087167071658,0.330867344455623,-8.2838990206971,7.14270146664701e-08,8.01203538874149e-06,"Trim67"
