"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000015568.17",2585.03473169143,-9.23002395237756,0.393917558476399,-23.4313595669043,3.11578405954705e-97,4.31473776566076e-93,"Lpl"
"ENSMUSG00000112023.2",520.159518928875,-10.5695554640576,0.465106380448464,-22.7250278825809,2.29949876309582e-94,1.59217294356755e-90,"Lilrb4b"
"ENSMUSG00000050335.18",1386.72208949409,-8.90648885371069,0.388813062813154,-22.9068663209773,3.15607499730925e-92,1.45684421875795e-88,"Lgals3"
"ENSMUSG00000040552.9",517.747048786165,-9.50291791466164,0.425291611973514,-22.3444752897065,3.15909653255193e-89,9.35585590502631e-86,"C3ar1"
"ENSMUSG00000069516.9",7139.39410654765,-8.1005208569276,0.355207132942275,-22.8050624710963,3.37805311417761e-89,9.35585590502631e-86,"Lyz2"
"ENSMUSG00000040747.10",401.131143036133,-9.43527569796941,0.424534133761298,-22.225010776812,3.73810550371985e-88,8.62754750258541e-85,"Cd53"
"ENSMUSG00000021822.4",408.869050268313,-8.79433886185759,0.395218104707709,-22.251862344114,7.03338063784064e-87,1.39140364389739e-83,"Plau"
"ENSMUSG00000020053.19",431.655703397837,-10.4284643170046,0.483786179903549,-21.555936796466,6.81800592836474e-85,1.18019682619994e-81,"Igf1"
"ENSMUSG00000038642.11",2385.28263175484,-8.84463470300668,0.411011020107603,-21.5192154718653,1.64448124395782e-81,2.53030847403643e-78,"Ctss"
"ENSMUSG00000002944.16",933.445656955069,-9.82791096215145,0.464328158042121,-21.1658732987283,6.75506781649363e-81,9.35441791228037e-78,"Cd36"
"ENSMUSG00000016256.11",1196.47440508548,-9.0022623378297,0.421041600810947,-21.3809331916155,7.62468450164321e-81,9.59878463443229e-78,"Ctsz"
"ENSMUSG00000028581.18",1053.31478544149,-7.72882902358612,0.358265679668565,-21.5728981652279,5.3332316348968e-79,6.15454930667091e-76,"Laptm5"
"ENSMUSG00000015340.11",466.909399616415,-9.77283419249603,0.475258698921993,-20.5631884585454,2.20428470122487e-76,2.34807188788939e-73,"Cybb"
"ENSMUSG00000030579.11",462.013330820152,-8.99582100735072,0.433331203485598,-20.7596889746014,2.51320680679482e-76,2.4859205614639e-73,"Tyrobp"
"ENSMUSG00000112148.2",392.733607906155,-9.91337132782628,0.486169679112079,-20.3907642819924,2.22078189711184e-75,2.05022584741365e-72,"Lilrb4a"
"ENSMUSG00000049723.15",1307.33237767146,-9.81300899597826,0.485135569827547,-20.227354179506,4.79062118003317e-74,4.14628263131871e-71,"Mmp12"
"ENSMUSG00000028238.7",387.929770185254,-9.71524072093398,0.483191410508876,-20.1064019550809,5.00637177013598e-73,4.07813154546135e-70,"Atp6v0d2"
"ENSMUSG00000026358.14",146.218688903793,-9.92750694081024,0.50085162301672,-19.8212534103715,2.27447755812744e-71,1.74983140138604e-68,"Rgs1"
"ENSMUSG00000025044.17",427.266281113369,-10.4007836435954,0.529214980205659,-19.6532298453713,6.7590149498269e-71,4.92625468553699e-68,"Msr1"
"ENSMUSG00000062593.18",331.421905060006,-10.8146207465376,0.558579067945996,-19.3609488202002,2.0655139749074e-69,1.43016187622588e-66,"Gm49339"
"ENSMUSG00000079293.13",585.490339106647,-8.17694118280027,0.41437737830642,-19.7330781333185,1.66702430859375e-67,1.09928345835268e-64,"Clec7a"
"ENSMUSG00000020101.15",303.690551312515,-7.41378191057231,0.374158372665591,-19.8145556860182,3.61311454338957e-66,2.27429137258449e-63,"Vsir"
"ENSMUSG00000038147.15",349.088500509003,-7.93675714182345,0.404990455153223,-19.5973930763891,4.57208580736297e-66,2.75279322871141e-63,"Cd84"
"ENSMUSG00000015854.8",739.167463775501,-9.37745836758113,0.493124220308562,-19.0164221942159,4.99255418251386e-65,2.8807037633105e-62,"Cd5l"
