"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000070570.6",758.769195461245,-8.73229825750138,0.393721895705015,-22.1788484530812,3.59099056364383e-86,4.97280373253398e-82,"Slc17a7"
"ENSMUSG00000027347.20",469.098825194405,-9.28227469741206,0.464661161664586,-19.9764375919854,2.28762517972345e-71,1.58395167444052e-67,"Rasgrp1"
"ENSMUSG00000024617.17",1808.03018323983,-8.96403869299317,0.456813697542708,-19.6229638936234,2.28176354955501e-68,1.05326205447459e-64,"Camk2a"
"ENSMUSG00000030235.18",117.794267523047,-6.93883056752428,0.340973763954445,-20.350042440366,3.05123916008968e-68,1.05633899722305e-64,"Slco1c1"
"ENSMUSG00000003469.10",452.584837806253,-7.06688455573991,0.386430298933856,-18.2876047122525,7.58407883584036e-56,2.10048647437434e-52,"Phyhip"
"ENSMUSG00000059213.8",748.405548282025,-8.56558796790239,0.483933406779032,-17.6999311225759,2.15141470799571e-55,4.96546514605409e-52,"Ddn"
"ENSMUSG00000027221.6",250.365485146455,-6.88934598265182,0.399336983355182,-17.2519607995442,1.58905499954292e-49,3.14360480481006e-46,"Chst1"
"ENSMUSG00000046093.10",890.400382780584,-10.8184034936937,0.675816503336862,-16.0079007249416,4.01461123624755e-48,6.94929204994452e-45,"Hpcal4"
"ENSMUSG00000053025.14",439.125942353018,-7.83871112169862,0.477308493499977,-16.4227354602878,7.35011563439528e-47,1.13093779227895e-43,"Sv2b"
"ENSMUSG00000026090.17",248.290460618343,-6.61937342945566,0.394863296248222,-16.763709092107,2.93386109769874e-46,3.88951920996013e-43,"Cracdl"
"ENSMUSG00000061718.13",277.317515591318,-8.10995013642569,0.49973046374391,-16.2286486912707,3.08959498191518e-46,3.88951920996013e-43,"Ppp1r1b"
"ENSMUSG00000032936.14",295.251182892041,-7.44319876867669,0.455250054095895,-16.3496933206489,8.93534664377672e-46,1.03113900269183e-42,"Camkv"
"ENSMUSG00000030302.18",768.884082085165,-8.96742598275738,0.569608947045854,-15.7431269808258,9.28673247235971e-45,9.8925131751721e-42,"Atp2b2"
"ENSMUSG00000026458.14",174.54244152964,-4.8220306265258,0.273372457676121,-17.6390506472993,1.01749578292665e-44,1.00644868585488e-41,"Ppfia4"
