"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000079584.3",402.283215698964,-6.11102590496603,0.268245294978017,-22.7814840348526,3.06953617811372e-81,4.19666986271708e-77,"Tm9sf5"
"ENSMUSG00000040013.12",191.769724889523,-5.43228066354557,0.317733787004832,-17.0969562751064,1.58037871492605e-44,1.08034688952345e-40,"Fkbp6"
"ENSMUSG00000038059.8",150.427282922122,4.01060806068114,0.251433531226164,15.9509674032841,2.43798548314244e-33,1.11107125085078e-29,"Smim3"
"ENSMUSG00000020098.8",87.8197425034875,-4.48642954723148,0.320458792393235,-14.0000201390205,7.21809487928539e-28,2.46714482973975e-24,"Pcbd1"
"ENSMUSG00000040373.13",671.668624562266,-3.97031021250609,0.276905044910711,-14.338164961156,3.80868018372808e-27,1.04144550943861e-23,"Cacng5"
"ENSMUSG00000017756.10",446.719645945526,4.74188535115127,0.361009660418806,13.1350649887048,1.78774460848204e-25,4.07367404786108e-22,"Slc12a7"
"ENSMUSG00000032011.6",2106.59353445063,5.23436234056169,0.409947835510999,12.7683619405797,2.60430635396555e-25,5.08658235305957e-22,"Thy1"
"ENSMUSG00000024266.9",80.6019072117771,4.58452220477348,0.358143144092955,12.8008096214836,6.98366586214045e-24,1.06089644074649e-20,"Adad2"
"ENSMUSG00000046637.4",17.5079153106212,5.58028027290718,0.457425010109922,12.1993335510146,6.66952881681047e-24,1.06089644074649e-20,"Ttc34"
"ENSMUSG00000033910.14",731.715009347265,3.78896494968849,0.285295759014118,13.2808316631899,7.15840951851206e-23,9.78697749370968e-20,"Gucy1a1"
"ENSMUSG00000031851.15",232.995195833005,3.33738932304369,0.2639451984623,12.6442509372656,4.16227688601611e-19,5.12417729678681e-16,"Ntpcr"
"ENSMUSG00000038156.17",3319.99757138285,2.8374414182649,0.207692274394726,13.661757167107,4.49752249571692e-19,5.12417729678681e-16,"Spon1"
"ENSMUSG00000000957.12",533.751972253657,-4.63571310041451,0.425033034608883,-10.9067124739617,5.94710719029593e-18,6.25452688505585e-15,"Mmp14"
"ENSMUSG00000044393.16",42.8668316763276,-3.70112302263766,0.316590753732011,-11.6905594336169,7.19770771928575e-18,7.02907570986249e-15,"Dsg2"
"ENSMUSG00000040152.9",3154.86903395345,-3.5191638343855,0.300252835426185,-11.7206681142255,2.42778290384357e-17,2.21284319075662e-14,"Thbs1"
"ENSMUSG00000049511.6",37.625184944805,-4.20879874816592,0.388702141743185,-10.8278249491784,7.5848825334256e-17,6.48128212481217e-14,"Htr1b"
"ENSMUSG00000004668.15",208.713003502473,2.62137953186538,0.19686334414246,13.3157320032541,8.89827531375345e-17,7.1563070640963e-14,"Abca13"
"ENSMUSG00000051678.5",632.402615090077,2.36202186563772,0.166611770146016,14.1768007360325,1.48149268136451e-16,1.12527599664531e-13,"Pcdhb6"
"ENSMUSG00000038578.16",72.7387628070207,2.68725832915842,0.209311697069534,12.8385482836428,3.78412378050744e-16,2.72297580668936e-13,"Susd1"
"ENSMUSG00000028132.16",443.524428031613,-2.92815025859147,0.244247215735129,-11.9884693456112,1.46025069339174e-15,9.80641859422473e-13,"Tlcd4"
"ENSMUSG00000031595.10",33.3640235232284,3.19880646864561,0.278669020432627,11.4788736246302,1.50625212462492e-15,9.80641859422473e-13,"Pdgfrl"
"ENSMUSG00000026204.16",725.083383209547,-2.95736696375711,0.250236294525858,-11.8182974590503,2.59798995477597e-15,1.61453266644077e-12,"Ptprn"
"ENSMUSG00000004098.8",1009.58686792355,-2.2836876808971,0.167029438055306,-13.6723664252582,7.62611426409029e-15,4.53322757472358e-12,"Col5a3"
