"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",12587.4744683864,-6.25982624693825,0.187844687265463,-33.3244785256654,7.91442506617437e-173,1.08206019504736e-168,"Pdgfra"
"ENSMUSG00000020122.17",35370.995335394,5.13980347497825,0.244314400311059,21.0376607700336,1.05528398460943e-64,7.21392131879005e-61,"Egfr"
"ENSMUSG00000054976.15",378.848861212561,-6.83147583914502,0.389806462164722,-17.5253016617724,6.70875481960418e-51,2.29305239734071e-47,"Nyap2"
"ENSMUSG00000064125.15",233.473878040283,-4.72978646915308,0.249106331677141,-18.9870182636836,5.53928350844145e-51,2.29305239734071e-47,"Prr36"
"ENSMUSG00000036815.18",646.917397967967,-6.63461416817304,0.388585593355046,-17.0737522996924,6.02961095884861e-48,1.64873682058756e-44,"Dpp10"
"ENSMUSG00000037169.16",109.956811449552,-3.89736053489855,0.202534320764396,-19.2429634651021,1.01048062474065e-46,2.30254851690903e-43,"Mycn"
"ENSMUSG00000027514.15",142.850322908096,-6.3734291217928,0.377707851427566,-16.8739651497953,3.14097721218323e-46,6.13477720642416e-43,"Zbp1"
"ENSMUSG00000051379.13",300.011830549449,-4.98450884724372,0.281359190493179,-17.7158202598843,7.91234942740183e-46,1.35222051714297e-42,"Flrt3"
"ENSMUSG00000078922.10",275.783491536467,-8.00786509365331,0.501519661194872,-15.9672007166669,1.13495351770308e-44,1.72412049933739e-41,"Tgtp1"
"ENSMUSG00000048834.17",397.438620670625,-7.17772144424206,0.452850290047136,-15.8500979286001,1.12860369519108e-42,1.54302697206525e-39,"Vstm2a"
"ENSMUSG00000046338.5",207.272543582382,-4.53054396957559,0.266711045323204,-16.9867129577833,2.67046242144988e-40,3.31914202055116e-37,"Gpat2"
"ENSMUSG00000072923.7",225.563093132216,-6.9950259462885,0.453500345185455,-15.4245217683968,3.38779891436586e-40,3.8598322297675e-37,"Gm10439"
"ENSMUSG00000078921.4",1503.76630701187,-5.48681948688744,0.34377516409098,-15.960488307513,3.11091102548428e-39,3.27172119541701e-36,"Tgtp2"
"ENSMUSG00000045215.19",190.791035499093,-4.89496649879513,0.298944888830751,-16.3741434681843,4.18238553335194e-39,4.08439821514198e-36,"Asxl3"
"ENSMUSG00000051251.4",89.9213730044381,-5.2478301831798,0.327779942609859,-16.010223631731,1.03938500301526e-38,9.47364784081646e-36,"Nhlh1"
"ENSMUSG00000023236.8",321.928970004745,-5.32736541496325,0.334866746651156,-15.9089114348908,1.67696286041255e-38,1.43296476422252e-35,"Scg5"
"ENSMUSG00000025592.18",224.035349217062,-4.53751713165262,0.275911898348746,-16.4455290214317,6.23904469647628e-38,5.01765994648374e-35,"Dach2"
"ENSMUSG00000030111.10",2730.33209598953,4.92224672591875,0.311266914866166,15.8135879235194,1.04359719653279e-36,7.92670048388687e-34,"A2m"
"ENSMUSG00000045573.10",314.295716343406,-5.49689061730446,0.3587626863443,-15.3218013648977,2.41872628776571e-36,1.74046451612278e-33,"Penk"
"ENSMUSG00000025777.9",661.289771702107,-4.45106954236188,0.275711922088551,-16.1439139397545,3.01580409315124e-36,2.06160367807819e-33,"Gdap1"
"ENSMUSG00000027350.9",506.263090657125,-3.82418459249968,0.227803107133218,-16.78723631396,1.34834863682151e-35,8.77839169648746e-33,"Chgb"
"ENSMUSG00000028270.13",1006.63022753288,-4.58993388356929,0.289952938393147,-15.8299271219863,1.65406277497015e-35,1.02792482997236e-32,"Gbp2"
"ENSMUSG00000075478.4",313.818108329688,-5.69457607363217,0.379993007945551,-14.9860022541471,2.30664091895211e-35,1.37114759321362e-32,"Slitrk1"
"ENSMUSG00000036594.16",423.696884138047,-7.12575372659671,0.500974548851281,-14.2237839086553,1.10590146737645e-34,6.29995202582119e-32,"H2-Aa"
"ENSMUSG00000037872.6",90.2412606077684,-5.99040332412988,0.408290395088615,-14.6719183115481,1.17598790367156e-34,6.43124264759901e-32,"Ackr1"
"ENSMUSG00000079363.8",663.039900571959,-4.66469168589428,0.301655069374989,-15.4636608479985,2.91723473443142e-34,1.53401666496717e-31,"Gbp4"
"ENSMUSG00000027834.16",573.601668190256,-4.04490249079041,0.252941848122117,-15.9914325004757,1.12225904839488e-33,5.68278729987216e-31,"Serpini1"
"ENSMUSG00000061911.16",595.135272745769,-5.26950148860382,0.355295320160249,-14.8313281644889,1.45048645953169e-33,7.08251816954189e-31,"Myt1l"
"ENSMUSG00000060586.12",324.272375550933,-6.00062819041344,0.417672192790589,-14.3668367058901,2.47227541452698e-33,1.16554998163493e-30,"H2-Eb1"
"ENSMUSG00000048852.14",63.2887834927668,-5.80247467939345,0.40311870625058,-14.3939603630961,5.04507256402112e-33,2.29920773650989e-30,"Gm12185"
"ENSMUSG00000095620.8",33.0780536268892,-4.13310731649423,0.264281350019591,-15.6390426951726,1.01124697689397e-32,4.45992537680463e-30,"Csta2"
"ENSMUSG00000005338.15",949.091016320147,-5.35254631565341,0.36733454454094,-14.571312159989,1.08889487547104e-32,4.65230335545004e-30,"Cadm3"
"ENSMUSG00000028399.19",1446.12426785188,-4.82870430444988,0.324509948008064,-14.8799885306749,1.98856945580343e-32,7.9963887058072e-30,"Ptprd"
"ENSMUSG00000054072.13",1226.84606423455,-4.78757773962555,0.321003957477088,-14.9143885242202,1.97108502970052e-32,7.9963887058072e-30,"Iigp1"
"ENSMUSG00000027525.19",850.737827060516,-4.40848990270669,0.292476922915926,-15.0729495467714,1.09626721631046e-31,4.28233296611333e-29,"Phactr3"
"ENSMUSG00000028137.10",267.037377305793,-5.06024198567977,0.348997240082615,-14.4993753660685,1.38370015885227e-31,5.25498571439672e-29,"Celf3"
"ENSMUSG00000032024.11",176.366204758602,-4.36595468548939,0.293786992094996,-14.8609530134597,1.08291028788566e-30,4.00149985296559e-28,"Clmp"
"ENSMUSG00000105504.5",157.789564629371,-5.76083057807319,0.417905587452359,-13.7850049174801,2.2885803787888e-30,8.23407129968434e-28,"Gbp5"
"ENSMUSG00000026163.18",223.704640403602,-5.5956097648954,0.405368706114148,-13.8037536704171,4.30889132356886e-30,1.51054261989317e-27,"Sphkap"
"ENSMUSG00000021730.9",143.961343882358,-4.67976780088636,0.328033598830945,-14.2661234018839,1.67004654540321e-29,5.70821909218818e-27,"Hcn1"
"ENSMUSG00000062773.7",1122.58009502633,-4.84323801808815,0.342833131862452,-14.1271002361326,1.8162556900334e-29,6.05654824247237e-27,"Tex101"
"ENSMUSG00000045930.4",393.920248013976,5.28299149563152,0.38318289085913,13.7871278223998,2.63020072551661e-29,8.56192959982453e-27,"Clec14a"
"ENSMUSG00000075044.15",30.3543385072152,-5.19627199522813,0.379998011057968,-13.6744715604194,1.18652996506036e-28,3.7726134144896e-26,"Slc22a29"
"ENSMUSG00000022311.16",185.205759336754,-4.82604061063201,0.346746398768404,-13.9180698855805,1.3080309675456e-28,4.0644089518826e-26,"Csmd3"
"ENSMUSG00000037138.19",359.879292709351,-3.67011261991778,0.24481178522667,-14.9915683859731,5.34789519284042e-28,1.62480940170032e-25,"Aff3"
"ENSMUSG00000028268.15",810.3509219427,-3.48654150339742,0.229371358824038,-15.2004222378615,1.10411757785509e-27,3.28162946183365e-25,"Gbp3"
"ENSMUSG00000102312.2",250.153910096065,-7.0854251219806,0.563378729253346,-12.576664247461,1.69019237443742e-27,4.91666173261881e-25,"Pcdha3"
"ENSMUSG00000057716.8",1025.03451734337,-3.59668885649695,0.240936567764329,-14.9279492518339,2.19886110610417e-27,6.26308938388672e-25,"Tmem178b"
"ENSMUSG00000090744.8",16.3513397468898,-3.54585668033749,0.236446231466912,-14.9964609642497,2.45945381950257e-27,6.86237808576309e-25,"Gm6871"
"ENSMUSG00000050505.8",167.541417472785,-5.16924610735025,0.389684532124486,-13.2652073182595,5.14251554333367e-27,1.40616945016916e-24,"Pcdh20"
"ENSMUSG00000092021.10",43.8329186323454,-5.440725674713,0.41529847859234,-13.1007599477716,5.4967981514703e-27,1.47357302601769e-24,"Gbp11"
"ENSMUSG00000048304.9",480.995508378344,-4.98967514274074,0.373689673181356,-13.3524565992467,6.56040448834265e-27,1.72488173393501e-24,"Slitrk3"
"ENSMUSG00000048015.5",30.9569382857387,-5.70382354371176,0.441046163001575,-12.9324864882486,7.40797890717315e-27,1.91097901167682e-24,"Neurod4"
"ENSMUSG00000103800.2",255.451047231027,-4.45597792781164,0.32499268570334,-13.711009889863,1.03499376652441e-26,2.62045088442995e-24,"Pcdha8"
"ENSMUSG00000049612.11",1105.51769080488,-3.18235677310997,0.205572536494343,-15.4804568128561,1.25553971710343e-26,3.12104345677055e-24,"Omg"
"ENSMUSG00000039860.20",85.526562092909,-4.64709635242177,0.344027250055899,-13.5079309899628,1.47114863064435e-26,3.59170429967312e-24,"Srrm3"
"ENSMUSG00000046844.7",520.704946030429,-5.44661288329301,0.420877032009837,-12.9411026714466,2.16226611774122e-26,5.18640392311544e-24,"Vat1l"
"ENSMUSG00000031343.14",454.56800218024,-5.70834853362927,0.445920857031147,-12.8012593347491,2.314928578297e-26,5.45684543490975e-24,"Gabra3"
"ENSMUSG00000060257.3",48.1597978531428,-4.35434226554749,0.318005780969295,-13.69265128538,2.59299279342439e-26,6.00871143588107e-24,"Scrt2"
"ENSMUSG00000039913.13",259.870548732695,-4.781946404826,0.361623140065833,-13.2235630827039,6.7154339717536e-26,1.53022355436359e-23,"Pak5"
"ENSMUSG00000043441.6",380.407979301178,-5.52388854374956,0.438666295868619,-12.5924617317852,3.08309628062446e-25,6.91017907355699e-23,"Gpr149"
"ENSMUSG00000040710.11",250.811816661382,-4.16838502516242,0.307962253422459,-13.535376426293,3.98152691920292e-25,8.77990903860359e-23,"St8sia4"
"ENSMUSG00000042845.8",50.4634035061428,-5.98300809513233,0.487100286259201,-12.2829081893592,7.28026328972185e-25,1.5799326936044e-22,"Wfdc12"
"ENSMUSG00000053825.16",272.149124335574,-4.88182367990915,0.382937950932533,-12.748341260042,1.89366009334869e-24,4.04533137441615e-22,"Ppfia2"
"ENSMUSG00000020135.14",1181.37073366613,-2.99712063449923,0.197219580287831,-15.196871579004,2.10989351946122e-24,4.43791756893443e-22,"Apc2"
"ENSMUSG00000052117.6",114.282048737879,4.25590668686864,0.32325595748143,13.1657486532576,3.66504331106083e-24,7.59219274982177e-22,"D630039A03Rik"
"ENSMUSG00000031099.17",601.702626644899,-4.32320254766132,0.330035167028164,-13.0992178396928,3.77807226739729e-24,7.70952299102326e-22,"Smarca1"
"ENSMUSG00000038112.16",310.637578121058,-5.86361342622466,0.485178112007754,-12.0854863010204,5.95478287805681e-24,1.19726163983519e-21,"AW551984"
"ENSMUSG00000024610.17",647.847176847198,-5.60891651868333,0.461805329928548,-12.1456296737657,9.30315097974233e-24,1.84337217673967e-21,"Cd74"
"ENSMUSG00000032735.16",84.7322812190237,-4.37756066821117,0.343607636685537,-12.7399981864123,4.19332918088915e-23,8.19017093730235e-21,"Ablim3"
"ENSMUSG00000041073.11",309.587296645297,-4.34417935934093,0.341851870319373,-12.7077829215397,6.69052390723909e-23,1.28834989943342e-20,"Nacad"
"ENSMUSG00000041670.20",293.364613635817,-4.17130348333171,0.324621570711287,-12.8497421603618,7.63021199053917e-23,1.44889247687016e-20,"Rims1"
"ENSMUSG00000026058.12",255.458598091429,-4.46539318932938,0.355001680344094,-12.5785128256328,8.22491991260183e-23,1.54042609650811e-20,"Khdrbs2"
"ENSMUSG00000021700.11",821.747702099412,-3.85631561832768,0.292706064699749,-13.1747035111261,8.49844810136424e-23,1.57014570867367e-20,"Rab3c"
"ENSMUSG00000010154.8",54.7420140527861,-3.11912144996403,0.218120628375853,-14.2999837896549,1.29659531200595e-22,2.36360681409938e-20,"Spire2"
"ENSMUSG00000001985.10",914.385653496932,-4.54456202334078,0.365499717185417,-12.4338318462647,1.53956845813459e-22,2.76960262626528e-20,"Grik3"
"ENSMUSG00000007944.9",134.988455574438,-3.29421164067258,0.236974934744032,-13.901097363866,1.81144228674443e-22,3.19242142230298e-20,"Ttc9b"
"ENSMUSG00000027581.13",1458.84659719502,-3.31369200130474,0.239000814399176,-13.8647728445404,1.82130537550931e-22,3.19242142230298e-20,"Stmn3"
"ENSMUSG00000057000.13",1687.64588446376,-4.23093826022855,0.33476084437521,-12.6386891756265,2.42252023350643e-22,4.19249324462025e-20,"Nxf3"
"ENSMUSG00000090942.2",117.484021071512,-4.02726889799446,0.314570604701861,-12.8024323881482,3.18155267350121e-22,5.43727351901357e-20,"F830016B08Rik"
"ENSMUSG00000068606.7",56.3172960514626,-4.71823403557193,0.386661679593848,-12.2024867851606,3.41386340349507e-22,5.76226425340551e-20,"Gm4841"
"ENSMUSG00000068373.16",248.436776949398,-3.48949764387466,0.259150210504518,-13.4651545799683,3.75690807683826e-22,6.26395697884544e-20,"D430041D05Rik"
"ENSMUSG00000031210.12",179.250169613843,-4.27220894280819,0.341580203513073,-12.5071912800259,4.87007762757788e-22,8.02213268966805e-20,"Gpr165"
"ENSMUSG00000090129.11",146.411738787487,4.88186898846558,0.40535649586827,12.0433964626832,5.02276241568599e-22,8.17514377943558e-20,"Or10ad1"
"ENSMUSG00000015599.10",736.938959379787,-3.16714513626895,0.22636545744658,-13.9912916572811,5.15950682712447e-22,8.29891498122892e-20,"Ttbk1"
"ENSMUSG00000040253.16",1016.78590080401,-3.11796320818516,0.221861209013174,-14.0536654517195,6.7177651139237e-22,1.0679684260182e-19,"Gbp7"
"ENSMUSG00000095082.2",190.175079141975,-4.61476954798753,0.378845033963554,-12.1811535965164,7.03553397822222e-22,1.10563012126729e-19,"Gm15091"
"ENSMUSG00000105096.2",123.952228340778,-4.86635590213173,0.405442742171174,-12.002572486739,7.41288706655895e-22,1.15169309061357e-19,"Gbp10"
"ENSMUSG00000041605.17",295.707779149263,-4.69278261053083,0.390577195231907,-12.0149938803889,1.62004901568027e-21,2.48868653285176e-19,"Inava"
"ENSMUSG00000061601.16",727.078275409297,-3.62482773144685,0.278212612240843,-13.0289842083396,1.96224133686892e-21,2.9808626175191e-19,"Pclo"
"ENSMUSG00000038453.18",497.095133921269,-3.79689273072755,0.297140338692335,-12.7781126838484,2.41777451098403e-21,3.63250693562349e-19,"Srcin1"
"ENSMUSG00000027273.14",1918.2483345258,-4.06937986085012,0.327109697184576,-12.4404134022169,3.19591607401343e-21,4.74940919172952e-19,"Snap25"
"ENSMUSG00000022309.10",407.160645636898,-4.2634588809091,0.349542516431075,-12.1972540692336,4.98459176900932e-21,7.24992964530803e-19,"Angpt1"
"ENSMUSG00000069892.10",249.944103688213,-4.01782788017425,0.323218537107179,-12.4306851832633,4.96432787880593e-21,7.24992964530803e-19,"9930111J21Rik2"
"ENSMUSG00000041272.12",168.04021478845,-5.12399033312416,0.442282482472869,-11.5853341160499,5.58405009905728e-21,8.03632978466433e-19,"Tox"
"ENSMUSG00000031465.7",1646.67142802794,3.22431322605105,0.23898062436427,13.4919441047921,6.54355109496068e-21,9.31910735107316e-19,"Angpt2"
"ENSMUSG00000063446.5",691.508323675901,-3.48044444725357,0.26662659822988,-13.0536280714679,6.82274257645613e-21,9.61655015518641e-19,"Plppr1"
"ENSMUSG00000052726.17",128.306783474405,-4.52349674124567,0.380323218052784,-11.8938222189156,9.80153420950801e-21,1.36741403788157e-18,"Kcnt2"
