"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000016179.12",1104.88950179694,-4.06751439363294,0.206315224736301,-19.7150471994095,2.65514182170409e-50,3.63010989863383e-46,"Camk1g"
"ENSMUSG00000041351.17",2193.63431362118,3.10328606428603,0.159233594063101,19.488890409999,3.90250042173552e-40,2.6677492882984e-36,"Rap1gap"
"ENSMUSG00000006522.18",328.822762395834,5.6205731001852,0.352983990508165,15.9230255516509,1.87715227210313e-39,8.55480862139802e-36,"Itih3"
"ENSMUSG00000031980.11",1582.97426206768,4.56229922129984,0.288496590501042,15.814049009648,2.50297713151431e-35,8.5551758355159e-32,"Agt"
"ENSMUSG00000025321.15",4630.68163146987,2.75604962545735,0.149634084832716,18.418595125158,4.1852455276338e-32,1.14441353707619e-28,"Itgb8"
"ENSMUSG00000030307.9",1063.79846597404,5.42783299060975,0.379378532309438,14.3071695637817,8.93571817738173e-32,2.03615231535272e-28,"Slc6a11"
"ENSMUSG00000020099.9",2364.03789839803,-3.06517740286467,0.181531452189348,-16.8851037431657,2.74028833893304e-30,5.35217459569893e-27,"Unc5b"
"ENSMUSG00000040152.9",3154.86903395345,-5.11816295775739,0.366901951165712,-13.9496749512944,1.55176163038563e-29,2.65196062632904e-26,"Thbs1"
"ENSMUSG00000048126.17",712.650318586172,-5.71122275793146,0.428675707798633,-13.3229447202879,2.13040136459233e-28,3.23631638407849e-25,"Col6a3"
"ENSMUSG00000030895.10",18.0719202371572,-3.6083822413148,0.239744054266445,-15.050976977742,7.18901845175191e-28,9.82882602723521e-25,"Hpx"
"ENSMUSG00000024235.12",123.096736027737,-3.05981172092935,0.194689151778528,-15.7163955617316,1.84474106385629e-26,2.14538617431172e-23,"Map3k8"
"ENSMUSG00000052229.6",3933.00300936551,6.03761926752811,0.476231997034776,12.6778950283074,1.88301887739473e-26,2.14538617431172e-23,"Gpr17"
"ENSMUSG00000024411.12",3128.40451503846,4.07593135560998,0.297527711579138,13.6993335309065,2.36420415870799e-25,2.48641532752735e-22,"Aqp4"
"ENSMUSG00000056856.15",133.758512937387,-3.76720734278142,0.270727679016712,-13.9151170521758,7.95395840698134e-25,7.76760852430349e-22,"Jakmip3"
"ENSMUSG00000030701.18",1473.90795752067,3.40954283822811,0.242204992598172,14.0770956108435,1.28184587723505e-23,1.16835978890384e-20,"Plekhb1"
"ENSMUSG00000049709.5",73.5763468444093,-3.58896544752216,0.26253566460789,-13.6703919937219,3.05994437642954e-23,2.61472246965904e-20,"Nlrp10"
