"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000070570.6",598.438542275801,-9.17195524251322,0.37826907956122,-24.2471714927173,8.31632555300859e-104,1.13700802960733e-99,"Slc17a7"
"ENSMUSG00000030235.18",94.5860357562306,-7.83645857022411,0.318636879744216,-24.5936960483507,2.03617044165431e-102,1.39192611391489e-98,"Slco1c1"
"ENSMUSG00000027347.20",367.082270303802,-9.65927828117269,0.429639405984535,-22.4822913043511,1.22225364646881e-90,5.57021728484054e-87,"Rasgrp1"
"ENSMUSG00000024617.17",1405.92453022212,-8.78888649236904,0.436198986812224,-20.1488007952492,1.29170509916883e-71,4.41504802895906e-68,"Camk2a"
"ENSMUSG00000026458.14",143.066324538633,-5.6242769415249,0.259942854909308,-21.6365898708282,4.25497665687962e-71,1.16348081705716e-67,"Ppfia4"
"ENSMUSG00000003469.10",356.934987400063,-7.42378523743023,0.361826202246189,-20.5175445872741,8.05573537927834e-71,1.83563356842489e-67,"Phyhip"
"ENSMUSG00000053025.14",361.710074682501,-8.3440978590575,0.440181282630256,-18.9560487651775,8.53070589600965e-63,1.66616872871777e-59,"Sv2b"
"ENSMUSG00000058297.17",809.2220933082,-9.23996566819673,0.499533873044142,-18.4971754005163,1.98262565589524e-61,3.38830724592496e-58,"Spock2"
"ENSMUSG00000019828.14",66.547517603501,-7.95469069770526,0.435419781914303,-18.2690153918428,9.95201094242375e-58,1.51182104005353e-54,"Grm1"
"ENSMUSG00000017740.18",416.899528007262,-6.07594094548913,0.32106345282204,-18.9244241039696,1.33208332507942e-56,1.82122432204859e-53,"Slc12a5"
"ENSMUSG00000037996.18",523.585399695611,-8.12327240381526,0.451239373334184,-18.0021356376613,1.94169809249505e-56,2.41335421096294e-53,"Slc24a2"
"ENSMUSG00000054942.14",121.683687825906,-5.66575510810978,0.302158470729809,-18.7509391824269,4.30925277451092e-54,4.90967532775945e-51,"Miga1"
"ENSMUSG00000040536.16",127.468869241198,-9.7806501830833,0.570027907606216,-17.1581953314467,7.70500859557629e-54,8.10329827067069e-51,"Necab1"
"ENSMUSG00000049176.17",92.7117897707924,-7.70544747756294,0.441135409170634,-17.4673066758566,1.75656329095404e-52,1.71540952242312e-49,"Frmpd4"
"ENSMUSG00000028488.16",263.831694579702,-7.73226969804657,0.443142507343759,-17.4487203775476,1.99435527968764e-52,1.81778835892596e-49,"Sh3gl2"
"ENSMUSG00000044349.17",409.397694845162,-9.3427248544739,0.55791129989412,-16.7458964467057,7.38904952794337e-51,6.31394282162761e-48,"Snhg11"
"ENSMUSG00000035033.16",68.6005011810349,-7.17226822432162,0.413198197740732,-17.3579368533983,9.35375593985758e-51,7.52262065939605e-48,"Tbr1"
"ENSMUSG00000032936.14",231.235820901487,-6.98298378286447,0.402619003268478,-17.3439001293439,2.98900397321876e-50,2.27031457343594e-47,"Camkv"
"ENSMUSG00000031066.11",154.900736672262,-5.46703594704767,0.303787729026671,-17.9962369268961,3.01731012594575e-49,2.17119284431212e-46,"Usp11"
"ENSMUSG00000021057.16",135.796734905763,-5.57936225720375,0.313329467515769,-17.8066949828871,1.12402496289488e-48,7.6838346463494e-46,"Akap5"
"ENSMUSG00000026163.18",223.704640403602,-10.8457608755896,0.676681113497371,-16.0278758476562,2.91695758905559e-48,1.89907829321752e-45,"Sphkap"
"ENSMUSG00000036564.18",1940.35771621717,-4.11507355726766,0.215214712752287,-19.1207817748228,8.81068723331555e-48,5.47544162972228e-45,"Ndrg4"
"ENSMUSG00000058897.19",167.424131714484,-6.27628341548337,0.366755863113291,-17.1129736337566,3.1511518447224e-47,1.87315426178455e-44,"Col25a1"
"ENSMUSG00000026090.17",202.814917005973,-6.62674911795219,0.394532089030215,-16.7964768955579,1.89203131494127e-46,1.07782717241154e-43,"Cracdl"
"ENSMUSG00000020154.11",163.839503207096,-5.12313119826293,0.289515732934681,-17.6955191565316,2.53231732940298e-46,1.3848737011039e-43,"Ptprb"
"ENSMUSG00000028528.18",359.887030338726,-6.35717577705982,0.376361981155213,-16.8911210360488,2.81396089554158e-46,1.47971051399402e-43,"Dnajc6"
"ENSMUSG00000032285.16",56.9090810279196,-6.72465442782736,0.404378284822448,-16.6296131128307,8.49136711315658e-46,4.29977671003988e-43,"Dnaja4"
"ENSMUSG00000044835.16",60.9118505620714,-5.72870661344169,0.336607426062969,-17.0189549305131,3.95446736205337e-45,1.93090992049977e-42,"Ankrd45"
"ENSMUSG00000036062.14",275.680134701346,-8.69947579316641,0.550857871420633,-15.7925959571585,1.07317545239822e-44,5.05946716730636e-42,"Phf24"
"ENSMUSG00000019852.8",214.684547502031,-7.23000833753571,0.446665152402576,-16.1866407053384,1.62168372156685e-44,7.39055328042067e-42,"Arfgef3"
"ENSMUSG00000020396.9",62.9092949329114,-7.41621185754968,0.46018785550101,-16.1156183695365,1.74513389047465e-44,7.6966034034095e-42,"Nefh"
"ENSMUSG00000027438.15",781.594453162312,-3.95813973602057,0.213185577310901,-18.5666393850283,4.43423715939893e-44,1.89452782635319e-41,"Napb"
"ENSMUSG00000011751.18",127.297201423004,-4.8092123531552,0.278422752472305,-17.2730580042433,6.55738279955139e-43,2.71674356471111e-40,"Sptbn4"
"ENSMUSG00000027221.6",197.73157368551,-6.6475671851563,0.413182785138221,-16.088683808384,7.83514838621418e-43,3.15065143342119e-40,"Chst1"
"ENSMUSG00000037754.14",187.743450820539,-6.42550218928508,0.408499502360973,-15.7295226852129,1.48120574637474e-40,5.78601284698155e-38,"Ppp1r16b"
"ENSMUSG00000023800.16",80.0485867664976,-5.80383525615373,0.364099773489143,-15.9402330864861,4.76721097756279e-40,1.81048079125662e-37,"Tiam2"
"ENSMUSG00000021313.18",173.487330671005,-5.62051833729126,0.353188384211082,-15.91365568221,2.07819785145882e-39,7.67922189868782e-37,"Ryr2"
"ENSMUSG00000030683.12",483.923193192305,-5.82915033275853,0.369202257872418,-15.7885013118551,2.14336154644155e-39,7.71158922709182e-37,"Sez6l2"
"ENSMUSG00000052160.8",134.36434008814,-6.92275098316345,0.454480861345072,-15.2322167377412,4.02857968458376e-39,1.41227542173408e-36,"Pld4"
"ENSMUSG00000004933.18",80.6822927652311,-4.68009729753823,0.28294369569953,-16.5407371454858,5.62117237428823e-39,1.92131671753172e-36,"Matk"
"ENSMUSG00000022548.15",803.018315879011,-7.38008172291684,0.490744872508145,-15.0385304795912,6.05257238894575e-39,2.0183114561382e-36,"Apod"
"ENSMUSG00000059213.8",576.10987940815,-7.16988482664716,0.476987439726126,-15.0316008965853,1.4260796740337e-38,4.64222888175924e-36,"Ddn"
"ENSMUSG00000064065.16",76.3423130389409,-7.39555143195087,0.495640090496924,-14.9212131418509,2.14719651568152e-38,6.82708622381342e-36,"Ipcef1"
"ENSMUSG00000028785.14",386.482080312754,-6.04087943278165,0.394072967545446,-15.3293423560828,9.11710645545978e-38,2.83293362406923e-35,"Hpca"
"ENSMUSG00000046447.4",1977.09651674641,-4.53726710913304,0.27662038997334,-16.4025042028548,9.63569208538789e-38,2.92753738203163e-35,"Camk2n1"
"ENSMUSG00000020599.14",65.7239239613923,-5.97792703543731,0.393997083310284,-15.1725159618238,6.81927890203647e-37,2.02680828584006e-34,"Rgs9"
"ENSMUSG00000027827.18",112.339892445672,-7.33748970365193,0.502321934068593,-14.6071457485868,8.57517233878696e-37,2.49446289821054e-34,"Kcnab1"
"ENSMUSG00000032181.8",329.430761624853,-10.517327773129,0.760464446371049,-13.8301373894833,3.08450224974048e-36,8.78569057467747e-34,"Scg3"
"ENSMUSG00000045573.10",314.295716343406,-8.58716988059629,0.607795170672789,-14.128394391635,4.61585787043874e-36,1.28791854703344e-33,"Penk"
"ENSMUSG00000027849.20",81.7560639918897,-5.98007913423137,0.399041635036098,-14.9861032262721,4.79336537368744e-36,1.31069782778109e-33,"Syt6"
"ENSMUSG00000017978.20",98.143185745648,-6.59717686271735,0.450147381200622,-14.6555931195724,8.53276335690317e-36,2.28744981599177e-33,"Cadps2"
"ENSMUSG00000027419.10",428.446899419737,-5.23761962411637,0.341503746048042,-15.33693168736,1.17205108826037e-35,3.08159278436457e-33,"Pcsk2"
"ENSMUSG00000022658.11",150.710924190886,-5.45198464222926,0.361579775144952,-15.0782345059086,3.87463667758705e-35,9.99510050112645e-33,"Tagln3"
"ENSMUSG00000014846.13",66.2403727422605,-4.82159497998511,0.311008151412522,-15.5031144942235,5.26898872441109e-35,1.33402988592867e-32,"Tppp3"
"ENSMUSG00000026764.16",729.027421893894,-8.63979355602226,0.6256140414736,-13.8101017292894,1.34648480248212e-34,3.34711640355192e-32,"Kif5c"
"ENSMUSG00000030554.17",186.51241891359,-4.36543442181989,0.27586376521737,-15.8246024749937,1.56129794235544e-34,3.80296979707854e-32,"Synm"
"ENSMUSG00000040147.15",35.0971371806303,-6.23756664911086,0.429366029417711,-14.5273874078254,1.58549794056083e-34,3.80296979707854e-32,"Maob"
"ENSMUSG00000027350.9",506.263090657125,-5.79002633840767,0.392858086647542,-14.7382134546775,1.69848274328144e-34,4.00373380450756e-32,"Chgb"
"ENSMUSG00000029330.9",91.6314130309695,-6.17353860521678,0.424494591276004,-14.5432679993861,1.81127603773897e-34,4.19724847253682e-32,"Cds1"
"ENSMUSG00000030729.18",434.224995268352,-5.56582967091773,0.377194853223961,-14.755847338174,4.98680648807781e-34,1.13632697175e-31,"Pgm2l1"
"ENSMUSG00000070304.14",235.4811929666,-9.06638702849827,0.667080485907596,-13.5911441273282,5.81559947181265e-34,1.30345698325611e-31,"Scn2b"
"ENSMUSG00000040797.17",157.855451855679,-7.28336306689511,0.523200278656242,-13.9207935546236,1.58416273436803e-33,3.49333433939995e-31,"Iqsec3"
"ENSMUSG00000046093.10",690.307201075478,-9.16649262413516,0.680834616506587,-13.4636112822364,1.89106006650868e-33,4.10390051258835e-31,"Hpcal4"
"ENSMUSG00000038068.16",70.7390200634206,-3.99095244080099,0.250179843390794,-15.9523340757989,3.04897989984205e-33,6.51338331103759e-31,"Rnf144b"
"ENSMUSG00000007594.11",98.0122006346552,-6.78917133691967,0.48703907678181,-13.9396850490524,6.95893749327433e-33,1.46373220627764e-30,"Hapln4"
"ENSMUSG00000036353.14",133.823341739899,-6.61186617701989,0.472222841349292,-14.001580605732,7.1724771884658e-33,1.48578951698037e-30,"P2ry12"
"ENSMUSG00000030302.18",593.85346237982,-8.46438930414758,0.628907523123398,-13.4588774866457,8.59388097619857e-33,1.75366478666548e-30,"Atp2b2"
"ENSMUSG00000035493.11",201.289701369919,-6.26265540642631,0.443607445487823,-14.1175615290664,9.17790745490901e-33,1.84463474209923e-30,"Tgfbi"
"ENSMUSG00000074657.6",2893.73648390231,-7.46346605732853,0.544882678243896,-13.6973817581843,9.30952290848793e-33,1.84463474209923e-30,"Kif5a"
"ENSMUSG00000033192.6",124.732491876059,-5.01553265887854,0.339851219652814,-14.7580245967701,1.62189094790844e-32,3.16778471997202e-30,"Lpcat2"
"ENSMUSG00000045349.16",98.6529030585068,-4.71004914510999,0.315052691723401,-14.9500361966282,2.59600749786477e-32,4.99895979025453e-30,"Sh2d5"
"ENSMUSG00000004267.17",845.131914745967,-4.28575329471966,0.279872429909857,-15.3132385926689,3.96577393157264e-32,7.53056405450849e-30,"Eno2"
"ENSMUSG00000063430.10",48.5133349412005,-7.62175123569351,0.564145816934698,-13.5102503765897,4.08585628825464e-32,7.65230509219418e-30,"Wscd2"
"ENSMUSG00000005125.14",184.029659066509,-5.24723567982469,0.362236749031008,-14.4856525293504,4.74353658863057e-32,8.76400435672394e-30,"Ndrg1"
"ENSMUSG00000037872.6",90.2412606077684,-8.88557425198664,0.672814380206456,-13.206576008765,5.01687344115215e-32,9.14542582499096e-30,"Ackr1"
"ENSMUSG00000003410.9",194.031305055301,-7.9159861936732,0.590191451268855,-13.4125734567225,5.1412006986055e-32,9.24874946728084e-30,"Elavl3"
"ENSMUSG00000056296.18",169.050218507843,-6.90545814861358,0.504617717380137,-13.684533679208,6.16322856021441e-32,1.09433325812015e-29,"Synpr"
"ENSMUSG00000037362.9",89.5205064074888,-7.99898289570829,0.598371242762912,-13.3679266716995,6.62351845818256e-32,1.16098390205477e-29,"Ccn3"
"ENSMUSG00000021536.8",158.753206220819,-6.92936059705701,0.509256824429951,-13.6068095009106,1.24309446145468e-31,2.15134018696309e-29,"Adcy2"
