"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000020122.17",35370.995335394,9.03213669035616,0.262576926393598,34.3980593207841,8.40201222810838e-206,1.1490591923161e-201,"Egfr"
"ENSMUSG00000035413.9",987.974096483615,7.77980044381037,0.230549872191929,33.7445445961202,2.22870317805572e-190,1.5239872331545e-186,"Tmem98"
"ENSMUSG00000001761.8",3471.52222700335,5.68498665258087,0.168318846480006,33.7751046390171,8.41326283195165e-171,3.83532608299236e-167,"Smo"
"ENSMUSG00000029070.10",8045.13236330197,7.54518585482168,0.259617915544885,29.0626547824554,1.52332328053557e-140,5.2082422961511e-137,"Mxra8"
"ENSMUSG00000062312.6",612.171882925005,7.10061741927713,0.271503445913949,26.1529550587274,4.10161524626613e-112,1.12187380215871e-108,"Erbb2"
"ENSMUSG00000037347.8",3348.35814321933,6.13317434364548,0.242864897733849,25.2534409083964,1.85914291204388e-99,4.23760641085203e-96,"Chst7"
"ENSMUSG00000020019.5",1305.52985304779,8.22855594929339,0.343604307766804,23.9477671359054,1.49011213013613e-98,2.91125335596311e-95,"Ntn4"
"ENSMUSG00000030847.9",1715.88619752825,3.60023408328694,0.137763122607199,26.1335110234993,9.21279687711275e-80,1.57492762614242e-76,"Bag3"
"ENSMUSG00000029710.16",1011.5089744262,6.87698008766753,0.311918723533724,22.0473462117256,1.72905838802787e-79,2.62740027940768e-76,"Ephb4"
"ENSMUSG00000049521.3",2667.38766476484,3.60350674644569,0.139824981091857,25.7715518236215,1.11116364445668e-77,1.51962740015895e-74,"Cdc42ep1"
"ENSMUSG00000028885.9",459.971461473597,4.74314741909957,0.205125648063003,23.1231319139708,1.07172327495161e-74,1.33244431893075e-71,"Smpdl3b"
"ENSMUSG00000051236.14",742.842322704057,5.46928297928264,0.247669378275894,22.0830003989838,4.2902132561395e-73,4.88941304091365e-70,"Msrb3"
"ENSMUSG00000000555.9",3695.41366384324,5.87534975104341,0.273354171096983,21.4935434402386,1.88060977227221e-71,1.97840148043036e-68,"Itga5"
"ENSMUSG00000004044.10",2699.32926373103,4.58679720441893,0.201624328653964,22.7492249325278,4.26139749488623e-71,4.16277658143314e-68,"Cavin1"
"ENSMUSG00000024538.9",4911.15128499811,3.37783994005595,0.134181890092073,25.1735903983625,1.44315908614174e-70,1.31577624413829e-67,"Ppic"
"ENSMUSG00000053110.14",3537.77660272038,4.28923482033982,0.186212057152192,23.0341412147883,3.9760345681798e-70,3.39851554715168e-67,"Yap1"
"ENSMUSG00000032402.13",961.308901384911,5.85342933432593,0.275755022513472,21.2269183022404,1.22055661778864e-69,9.8190190028691e-67,"Smad3"
"ENSMUSG00000063605.6",301.389699852748,6.03907339542885,0.287854280281744,20.9796199296324,6.48801955025567e-69,4.92945307607203e-66,"Ccdc102a"
"ENSMUSG00000039323.19",51018.94377338,5.33004164329088,0.249781158704472,21.3388458558522,1.27275719577711e-67,9.16117232076201e-65,"Igfbp2"
"ENSMUSG00000050103.19",501.042583707641,5.57520382963846,0.270055134089168,20.6446874207457,1.10738133811711e-64,7.57227359004481e-62,"Agmo"
"ENSMUSG00000090523.3",260.554343410107,4.55190583627631,0.213915383791566,21.279001797793,3.24599360891135e-62,2.11391469502246e-59,"Gypc"
"ENSMUSG00000047497.11",1005.52393830403,5.81585117311992,0.291720750720626,19.9363643441656,1.59542156728836e-61,9.91772061556165e-59,"Adamts12"
"ENSMUSG00000029311.17",866.790942726672,3.76061770956415,0.168241035952152,22.3525591618068,8.28496365250894e-61,4.92631143094401e-58,"Hsd17b11"
"ENSMUSG00000052056.15",1111.83280215804,5.11012329429009,0.251761776275187,20.2974548793479,3.25317126876319e-60,1.85376542798356e-57,"Zfp217"
"ENSMUSG00000017453.5",1317.6211914412,4.21500702113236,0.198544129210593,21.229572679339,2.82944106659257e-59,1.5478174410688e-56,"Pipox"
"ENSMUSG00000030796.18",3491.92292135943,4.94968047103641,0.245341496972449,20.1746566810597,1.30249152772934e-58,6.8511054358563e-56,"Tead2"
"ENSMUSG00000033065.15",4032.58362180643,3.04164564700488,0.127706205282099,23.8175242955969,7.86513045709856e-58,3.98383422708444e-55,"Pfkm"
"ENSMUSG00000030539.14",2956.72311207696,4.58487242408911,0.227925589346441,20.1156545749684,4.8419569928624e-56,2.36495013694236e-53,"Sema4b"
"ENSMUSG00000001555.11",3505.8292805364,4.68606792337054,0.234765571276951,19.960626670605,7.43699211245912e-56,3.50718290103417e-53,"Fkbp10"
"ENSMUSG00000072941.6",851.662685991448,5.43900833442366,0.284903735861175,19.0906880107529,4.9211737056328e-55,2.24339905327447e-52,"Sod3"
"ENSMUSG00000033377.15",389.766365197526,5.8948916704519,0.314535622774461,18.7415708861659,6.56671019356525e-55,2.89697834216769e-52,"Palmd"
"ENSMUSG00000051486.6",1152.21263790936,3.89154985387251,0.186484787563575,20.8679212107091,1.59081477961901e-54,6.79874466439675e-52,"Pcdhb11"
"ENSMUSG00000041836.11",1100.92369344165,-5.71207817349472,0.306904020343419,-18.6119366149164,1.67561020109979e-53,6.94413488189113e-51,"Ptpre"
"ENSMUSG00000064373.14",7238.0029234964,5.98133051379427,0.326290934667186,18.3312800887195,6.38969065455962e-53,2.57015909975757e-50,"Selenop"
"ENSMUSG00000000732.10",245.837529118116,5.63612202961111,0.304330546253076,18.5197381564327,1.05422305381764e-52,4.11930128114572e-50,"Icosl"
"ENSMUSG00000035407.9",328.72401907874,5.99444094348138,0.329391436286653,18.1985330616329,3.12568409469357e-52,1.18741265775081e-49,"Kank4"
"ENSMUSG00000032648.15",3310.64471264208,6.47444779433146,0.362171109078769,17.876764965599,6.38628780388167e-52,2.36051005421313e-49,"Pygm"
"ENSMUSG00000030560.18",4456.17027076182,5.1955041335817,0.277935269528323,18.6932163823572,8.70051918771036e-52,3.13127106345071e-49,"Ctsc"
"ENSMUSG00000019960.9",15312.4842334463,3.51653259549876,0.167792781712461,20.9575916175279,3.79126166991344e-51,1.32946909224965e-48,"Dusp6"
"ENSMUSG00000060591.10",3747.40034868531,3.95991624068591,0.198054696722515,19.9940536943386,8.40168907254902e-51,2.87253749390451e-48,"Ifitm2"
"ENSMUSG00000032714.7",2141.34352277351,2.6455262856049,0.110196871729746,24.0072721128868,1.01105806199694e-50,3.37249513557808e-48,"Syde1"
"ENSMUSG00000070436.13",16699.3914780633,6.95213491234998,0.405957800370627,17.1252650053845,5.64865311180174e-49,1.83930904659525e-46,"Serpinh1"
"ENSMUSG00000029231.16",12587.4744683864,-6.03267895922903,0.344246049765018,-17.5243229758103,1.05589694778685e-48,3.35824340882162e-46,"Pdgfra"
"ENSMUSG00000031465.7",1646.67142802794,6.47785769700306,0.37577911681199,17.2384717702236,1.95754858607503e-48,6.08441692344595e-46,"Angpt2"
"ENSMUSG00000039031.17",3961.73994380459,3.71384760329048,0.18657946564621,19.904910706158,3.12944143295385e-48,9.51072023046153e-46,"Arhgap18"
"ENSMUSG00000071856.11",770.548288281214,4.52974529434926,0.244185378871369,18.5504362107423,1.16248886518825e-47,3.4561299391988e-45,"Mcc"
"ENSMUSG00000051041.9",406.734118539843,5.51797867441611,0.314349408994753,17.5536473634923,3.85148693884257e-47,1.12070075267257e-44,"Olfml1"
"ENSMUSG00000038526.15",279.152119592173,7.63711790983476,0.462003290659595,16.5304405060219,4.23167536231189e-47,1.20567483864536e-44,"Car14"
"ENSMUSG00000091387.3",399.66890261622,6.51047673382059,0.383994785491998,16.9545967283878,5.29663149304558e-47,1.47830065916105e-44,"Gcnt4"
"ENSMUSG00000032766.10",1151.16538112307,4.01127155186852,0.210047227172874,19.0969983553611,6.50235789309939e-47,1.77852493092054e-44,"Gng11"
"ENSMUSG00000034485.11",1511.80451105771,4.11810582507449,0.219237089228282,18.7838008594726,3.32045284918701e-46,8.9040221893101e-44,"Uaca"
"ENSMUSG00000052911.10",4038.94086089419,5.00168293587896,0.284083792406864,17.6063649865514,2.30623129757218e-45,6.06538831261482e-43,"Lamb2"
"ENSMUSG00000059901.13",596.717135825279,5.06301661556545,0.28848897323928,17.5501217904992,2.38903595356778e-45,6.16461428320622e-43,"Adamts14"
"ENSMUSG00000021070.7",968.073643007453,6.89720258769302,0.422970097143363,16.306596221045,1.75076416309971e-44,4.43397235084289e-42,"Bdkrb2"
"ENSMUSG00000052560.16",1820.32031868694,3.88049586121682,0.206743412488463,18.7696227633534,2.00428155039871e-44,4.98373717877324e-42,"Cpne8"
"ENSMUSG00000048285.10",824.425512700807,4.96288341492762,0.284806413674072,17.4254622671773,2.59306588025479e-44,6.33263731756508e-42,"Frmd6"
"ENSMUSG00000006589.9",398.832053183507,4.52749660667911,0.253859555828538,17.8346511003,3.37418462034927e-44,8.09567523998187e-42,"Aprt"
