"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",5902.65346161174,-6.63919795277138,0.230863612923155,-28.7580960408052,4.46900801870584e-132,5.86512612374954e-128,"Pdgfra"
"ENSMUSG00000028270.13",330.989563579903,-5.35214063951926,0.32655288642332,-16.389812682841,8.00647530575353e-41,5.25384909563546e-37,"Gbp2"
"ENSMUSG00000064125.15",63.4913729336968,-5.08148641434877,0.333476782630136,-15.2379016442195,9.59667479846019e-35,4.19822533516638e-31,"Prr36"
"ENSMUSG00000020122.17",17743.9222645709,2.99514927870081,0.166719296796475,17.9652226002199,2.6416434889523e-33,8.66723228725251e-30,"Egfr"
"ENSMUSG00000054072.13",670.444445889837,-5.91664802864048,0.420317617364703,-14.0766120291044,6.56637419412526e-32,1.723541898474e-28,"Iigp1"
"ENSMUSG00000079363.8",441.505151989311,-5.36701763750484,0.374955113409189,-14.3137603557571,1.19154592730894e-31,2.60630812500043e-28,"Gbp4"
"ENSMUSG00000027514.15",77.4387318655718,-7.41785316923341,0.588442061309906,-12.6059193537607,5.36444725947812e-28,1.0057572261913e-24,"Zbp1"
"ENSMUSG00000078922.10",124.409544879063,-9.31917732190962,0.768650946855473,-12.1240692671154,1.33802101939894e-27,2.19502348232395e-24,"Tgtp1"
"ENSMUSG00000020027.19",824.468300163455,-3.93688565151632,0.277554405117251,-14.1841944459617,1.81942456064427e-26,2.65312532598837e-23,"Socs2"
"ENSMUSG00000078921.4",394.386536115818,-6.01491393201108,0.51217762408648,-11.743804588768,6.13194180169439e-23,8.04756042054371e-20,"Tgtp2"
"ENSMUSG00000060586.12",89.6893631374255,-6.30376523603625,0.55262262479754,-11.406998108964,4.09753284661392e-22,4.88872918899646e-19,"H2-Eb1"
"ENSMUSG00000104713.5",523.792592696344,-4.13567718584387,0.350541007217415,-11.7979839753208,1.85553230228525e-19,2.02933382793263e-16,"Gbp6"
"ENSMUSG00000090942.2",59.0515570202292,-4.69051009991288,0.417818998310458,-11.2261771697313,5.10454223818716e-19,5.15323171799756e-16,"F830016B08Rik"
"ENSMUSG00000069892.10",60.3798591492213,-5.716237966792,0.534521401761364,-10.6941236552096,5.55719273684286e-19,5.20947124845184e-16,"9930111J21Rik2"
