"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",5902.65346161174,-6.75066993593362,0.23500507711078,-28.7256344370441,1.52615477079151e-132,2.00292552118677e-128,"Pdgfra"
"ENSMUSG00000079584.3",353.990473756286,6.98175239934874,0.393415294869463,17.7465200016317,1.64625900053096e-52,1.08027515614842e-48,"Tm9sf5"
"ENSMUSG00000033460.15",347.182039220595,-5.63662446280512,0.337697995123796,-16.6913175209666,3.35242697872395e-43,1.46657505562577e-39,"Armcx1"
"ENSMUSG00000064125.15",63.4913729336968,-5.62839886913403,0.346130592434367,-16.2609113212126,4.41711549364725e-41,1.44925559346566e-37,"Prr36"
"ENSMUSG00000020218.12",136.698144160814,-6.79640527622001,0.441353096803087,-15.3990202526035,1.06156896576254e-39,2.78640622133352e-36,"Wif1"
"ENSMUSG00000025777.9",177.065959323177,-4.79417555868075,0.294048673284254,-16.3040203689212,2.15829673988649e-38,4.72091440237838e-35,"Gdap1"
"ENSMUSG00000032011.6",956.779883046591,-6.17275031404102,0.410704995676752,-15.0296450713235,1.12754872172945e-36,2.11399277485391e-33,"Thy1"
"ENSMUSG00000051379.13",150.173934205223,-6.94349459153485,0.492825639612914,-14.0891504690961,8.58546913410989e-34,1.40844621145073e-30,"Flrt3"
"ENSMUSG00000027350.9",127.754448717177,-3.63303334597936,0.222533138066251,-16.3258082708462,1.33203358588826e-32,1.94240097568862e-29,"Chgb"
"ENSMUSG00000057716.8",368.597926850589,-5.42103267387555,0.384009128392779,-14.1169370024212,5.68412202081526e-31,7.45984174011794e-28,"Tmem178b"
"ENSMUSG00000054976.15",271.372277325219,-8.46157157284753,0.663670426141462,-12.749658926408,1.25518061119358e-29,1.49754457648223e-26,"Nyap2"
"ENSMUSG00000028270.13",330.989563579903,-4.66025566179508,0.327495687533464,-14.2299756582868,2.65723105750377e-29,2.90612503322329e-26,"Gbp2"
"ENSMUSG00000036913.16",496.204248631546,-4.73442298401034,0.340606310218802,-13.8999861187804,2.84489633151317e-28,2.87203226575222e-25,"Trim67"
"ENSMUSG00000020122.17",17743.9222645709,2.83926989854283,0.169696223704891,16.7314854541515,1.12947780875644e-27,1.05880476872283e-24,"Egfr"
