"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000079584.3",402.660085275602,-6.12464673372639,0.268140428787597,-22.841190943936,1.78785988351094e-115,3.09335517045064e-111,"Tm9sf5"
"ENSMUSG00000021748.10",3806.77134496297,-0.739631934040317,0.0341360426085069,-21.6671845217347,4.18580080667321e-104,3.62113627785299e-100,"Pdhb"
"ENSMUSG00000015971.6",1368.33473376253,-0.701983964638185,0.0331070310268417,-21.2034707693676,8.87070878498239e-100,5.11603344659218e-96,"Actr8"
"ENSMUSG00000021843.18",8158.66707840006,-0.627561243103773,0.0361538786021478,-17.3580613579449,1.71414423292065e-67,7.41453087949827e-64,"Ktn1"
"ENSMUSG00000040013.12",191.320619731492,-5.44559949176668,0.317090321847716,-17.1736540555216,4.18241651541399e-66,1.44728341099386e-62,"Fkbp6"
"ENSMUSG00000021832.9",7141.24634085088,-0.784063375945553,0.0480228960823092,-16.3268657225858,6.35672463631463e-60,1.83306749429193e-56,"Psmc6"
"ENSMUSG00000038059.8",149.444323398128,4.003070791882,0.24936988866792,16.0527432292067,5.46923099332162e-58,1.35183763780644e-54,"Smim3"
"ENSMUSG00000021917.17",3051.06018319709,-0.702179950162281,0.0438472457931531,-16.0142316230026,1.01654731187918e-57,2.1985376987667e-54,"Spcs1"
"ENSMUSG00000021890.7",3631.77290791675,-0.994567836829679,0.0622178810316524,-15.985241225488,1.61938858083335e-57,3.11318458061984e-54,"Eaf1"
"ENSMUSG00000021893.15",3097.70509623337,-0.672073721852218,0.0425301388859054,-15.802293137466,3.00002104975921e-56,5.19063642029339e-53,"Capn7"
"ENSMUSG00000021891.9",1219.56007626225,-0.729492415077794,0.0462870648065442,-15.7601787481382,5.84673885687476e-56,9.19638870014974e-53,"Mettl6"
"ENSMUSG00000025280.9",1304.57828103994,-0.684724121851335,0.0446522283741235,-15.3346013577262,4.4902081548851e-53,6.47413179131849e-50,"Polr3a"
"ENSMUSG00000021810.4",2235.01255228295,-0.613593251125749,0.0412550890940367,-14.8731529757972,4.92387198574946e-50,6.55329485364901e-47,"Ecd"
"ENSMUSG00000021771.15",11584.7404483717,-0.810250955534946,0.0556199524585726,-14.5676312136089,4.51269066824483e-48,5.57704099585514e-45,"Vdac2"
"ENSMUSG00000022031.7",3649.55765522421,-0.632951075048378,0.0434878259570912,-14.5546727415829,5.45463435706951e-48,6.29173890973445e-45,"Elp3"
"ENSMUSG00000040373.13",676.203170088238,-3.9867593124991,0.277677004505484,-14.3575422084343,9.55562386393154e-47,1.0333212755859e-43,"Cacng5"
"ENSMUSG00000020098.8",87.9462069017398,-4.50318290404796,0.318913146817541,-14.1204053485583,2.84351018943205e-45,2.89402431162078e-42,"Pcbd1"
