"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000030235.18",95.5229949428131,-7.8474532847524,0.316366987894955,-24.8049056476083,7.93631485226933e-136,1.37314119573964e-131,"Slco1c1"
"ENSMUSG00000070570.6",602.521299609322,-9.18168720528007,0.377940711635809,-24.293988243658,2.26918830679582e-130,1.96307480420906e-126,"Slc17a7"
"ENSMUSG00000027347.20",370.249413250906,-9.67315426672756,0.429177642408747,-22.538812162808,1.72895033692766e-112,9.97143290984076e-109,"Rasgrp1"
"ENSMUSG00000026458.14",143.996255564052,-5.63289199096544,0.257701858562512,-21.8581737143314,6.49928605338398e-106,2.81126618239124e-102,"Ppfia4"
"ENSMUSG00000003469.10",360.397546704271,-7.43781304745278,0.36145480332783,-20.5774359033953,4.37204210942371e-94,1.51290145154498e-90,"Phyhip"
"ENSMUSG00000024617.17",1419.96813973961,-8.80244154364886,0.437797619653701,-20.1061886782564,6.51410107412207e-90,1.87844961307433e-86,"Camk2a"
"ENSMUSG00000036564.18",1950.17163048805,-4.12597462729818,0.215490018673091,-19.1469407850277,1.02642115115353e-81,2.53701982246548e-78,"Ndrg4"
"ENSMUSG00000017740.18",420.09017212057,-6.08657202034496,0.320070647469729,-19.0163392627892,1.24906038192041e-80,2.70140534099837e-77,"Slc12a5"
"ENSMUSG00000053025.14",363.794149777921,-8.34548162281106,0.440324675171288,-18.9530182917063,4.16967038611391e-80,7.94404487860516e-77,"Sv2b"
"ENSMUSG00000054942.14",122.363315404665,-5.67614191272979,0.29956499149421,-18.9479481044083,4.591402657846e-80,7.94404487860516e-77,"Miga1"
"ENSMUSG00000027438.15",783.677287304859,-3.96741146204295,0.211837075066452,-18.7285981965074,2.894371871699e-78,4.55258382946692e-75,"Napb"
"ENSMUSG00000058297.17",816.2813677145,-9.25314954185435,0.500232912344247,-18.4976824065638,2.15545435290096e-76,3.10780593449104e-73,"Spock2"
"ENSMUSG00000019828.14",67.1824513024556,-7.96939398382473,0.432231167973237,-18.4378049856835,6.53404325419165e-76,8.69630895261722e-73,"Grm1"
"ENSMUSG00000031066.11",155.857983500649,-5.47812086035321,0.301699419618648,-18.1575452391576,1.11918334058094e-73,1.38315072562367e-70,"Usp11"
"ENSMUSG00000037996.18",527.420618385069,-8.12517300103744,0.452255981254064,-17.9658718465306,3.60568321308971e-72,4.15903539685854e-69,"Slc24a2"
"ENSMUSG00000021057.16",136.930294262975,-5.59219207236742,0.3131946907471,-17.8553220650954,2.62760606821766e-71,2.84142751201887e-68,"Akap5"
"ENSMUSG00000020154.11",164.889470176679,-5.1262152473122,0.289767440569061,-17.6907910607384,4.93773453766101e-70,5.0254519394477e-67,"Ptprb"
"ENSMUSG00000028488.16",265.649707495541,-7.73625873650339,0.441660242183676,-17.5163123088767,1.07576372698834e-68,9.79624421281702e-66,"Sh3gl2"
"ENSMUSG00000049176.17",93.5623641880453,-7.71305776537712,0.440259391231236,-17.5193486362816,1.01986347280014e-68,9.79624421281702e-66,"Frmpd4"
"ENSMUSG00000035033.16",69.1522883061869,-7.17936505335582,0.410341521484847,-17.4960726064884,1.53495290378462e-68,1.32788775706407e-65,"Tbr1"
"ENSMUSG00000011751.18",128.090586423968,-4.82243530271752,0.276332054753373,-17.4515957152403,3.34748881919255e-68,2.75801197855569e-65,"Sptbn4"
"ENSMUSG00000032936.14",233.650266958501,-6.99908182885042,0.401862634042891,-17.4166026794703,6.17356632458115e-68,4.85522929763196e-65,"Camkv"
"ENSMUSG00000040536.16",128.313095705243,-9.77939321517203,0.566762686757228,-17.2548289498829,1.0292606054001e-66,7.74272478027501e-64,"Necab1"
"ENSMUSG00000044835.16",61.3266678316651,-5.7379674423346,0.333082979973836,-17.2268407193466,1.67028416590197e-66,1.20413569326816e-63,"Ankrd45"
"ENSMUSG00000058897.19",168.057012995124,-6.27643352395353,0.365014756344562,-17.1950131189458,2.89392370004046e-66,2.002826714324e-63,"Col25a1"
"ENSMUSG00000026090.17",204.609261191575,-6.64092356992707,0.391816117141472,-16.9490821826741,1.9548163588448e-64,1.30085510156665e-61,"Cracdl"
"ENSMUSG00000028528.18",362.466565119828,-6.36235460925683,0.376516524776039,-16.8979425618605,4.65880663841135e-64,2.9854323132516e-61,"Dnajc6"
"ENSMUSG00000044349.17",413.257266537949,-9.35742667668154,0.556763206397938,-16.8068338014302,2.17481436080885e-63,1.34387993109695e-60,"Snhg11"
"ENSMUSG00000004933.18",81.1099024875742,-4.69239142200412,0.279248200577346,-16.8036585815149,2.29444569972777e-63,1.36891377574793e-60,"Matk"
"ENSMUSG00000032285.16",57.2463256581223,-6.73456446033367,0.401133074469804,-16.7888535973631,2.94478231925793e-63,1.69835412292669e-60,"Dnaja4"
"ENSMUSG00000046447.4",1987.45928007797,-4.55241568299216,0.275210265730938,-16.5415911027202,1.84094953521372e-61,1.02748738252477e-58,"Camk2n1"
"ENSMUSG00000028833.14",2686.86522980599,-2.62228788999965,0.159819802689968,-16.4077782969523,1.68250503398912e-60,9.09709440564994e-58,"Ncdn"
"ENSMUSG00000020396.9",63.358126924902,-7.42230756266256,0.456041014354196,-16.2755263869706,1.47247828071865e-59,7.72024824636185e-57,"Nefh"
"ENSMUSG00000027221.6",199.405489417296,-6.65193032471806,0.410311445833726,-16.2119053520473,4.15485039199809e-59,2.11433004359856e-56,"Chst1"
"ENSMUSG00000019852.8",216.275810588963,-7.23984622803376,0.44711568327495,-16.1923334359571,5.7120723678161e-59,2.82372217451298e-56,"Arfgef3"
"ENSMUSG00000038068.16",70.9380275637901,-4.00431886756436,0.247834213917407,-16.1572480420272,1.00969527121964e-58,4.85270766184506e-56,"Rnf144b"
"ENSMUSG00000020717.20",98.4815835193787,-3.44682331380293,0.213644653201429,-16.1334405619465,1.48511469757075e-58,6.94471743172138e-56,"Pecam1"
"ENSMUSG00000023800.16",80.6391814045192,-5.81777679882304,0.360837132371926,-16.1229992062637,1.75862982807793e-58,8.00731928563274e-56,"Tiam2"
"ENSMUSG00000026163.18",224.56947407877,-10.8459220062367,0.675196578429627,-16.0633545144173,4.60934472392195e-58,2.04489442085378e-55,"Sphkap"
"ENSMUSG00000021313.18",174.68233308578,-5.63613911833968,0.353208086016962,-15.9569934592862,2.54709150627245e-57,1.10174443103815e-54,"Ryr2"
"ENSMUSG00000030554.17",187.087187707304,-4.37242815595435,0.275641443473538,-15.8627385666485,1.14777829058134e-56,4.84362438625324e-54,"Synm"
"ENSMUSG00000030683.12",484.637511840631,-5.83600684726059,0.368548112176104,-15.835128859572,1.78093947962904e-56,7.33662258965278e-54,"Sez6l2"
"ENSMUSG00000036062.14",278.170855741713,-8.70844792980836,0.550303812663733,-15.8248002819666,2.09863976448792e-56,8.44434074538836e-54,"Phf24"
"ENSMUSG00000037754.14",189.154696477158,-6.43905417754963,0.406966050718183,-15.8220917105652,2.19091260302931e-56,8.61526587673025e-54,"Ppp1r16b"
"ENSMUSG00000014846.13",66.5986558109879,-4.83136781396034,0.306677529829548,-15.7539022068086,6.45709126499978e-56,2.48267984593391e-53,"Tppp3"
"ENSMUSG00000028978.13",42.9649192094336,-3.27021532207872,0.20978484382467,-15.5884250857122,8.72583388748319e-55,3.28205169393987e-52,"Nos3"
"ENSMUSG00000024403.17",416.319480048997,-3.61467710139738,0.232251057324341,-15.5636626288828,1.28528565590033e-54,4.73149200391224e-52,"Atp6v1g2"
"ENSMUSG00000018470.9",102.096707145772,-3.57083516154452,0.230727863388729,-15.4763933107134,5.00771904746679e-54,1.80507406165147e-51,"Kcnab3"
"ENSMUSG00000027419.10",431.438252773096,-5.24521541276418,0.340432899878865,-15.4074868046848,1.45771656018515e-53,5.14722692333133e-51,"Pcsk2"
"ENSMUSG00000028785.14",389.529711499462,-6.0501454209105,0.392968327345498,-15.3960128587951,1.74077232531154e-53,6.02376855450806e-51,"Hpca"
"ENSMUSG00000004187.12",333.120853828018,-3.79986654923353,0.247440525721954,-15.3566863719947,3.19492334700519e-53,1.08389340686047e-50,"Kifc2"
"ENSMUSG00000052160.8",135.037914627555,-6.93345986242187,0.451816223045767,-15.345752340813,3.78149768787021e-53,1.25822063452943e-50,"Pld4"
"ENSMUSG00000004267.17",848.684069807211,-4.29984368000785,0.280758513140302,-15.315096350646,6.0621983642353e-53,1.9790218131698e-50,"Eno2"
"ENSMUSG00000020599.14",66.2345036532323,-5.99101115743356,0.391383105672263,-15.3072809495521,6.83626653130774e-53,2.19039043564234e-50,"Rgs9"
"ENSMUSG00000043419.12",360.258671019702,-2.57803216354461,0.169202680553221,-15.2363553290973,2.02876059849259e-52,6.38211197729433e-50,"Rnf227"
"ENSMUSG00000022658.11",151.612158826776,-5.45370118491736,0.359700204807119,-15.1617961625621,6.33138759119576e-52,1.95617264469409e-49,"Tagln3"
"ENSMUSG00000045349.16",98.8749844416561,-4.719185428074,0.312157004754443,-15.1179866419667,1.23253700119233e-51,3.74129038502276e-49,"Sh2d5"
"ENSMUSG00000027849.20",82.3387646866354,-5.98778358134625,0.397836256104932,-15.0508745481632,3.40700361298782e-51,1.01634442261923e-48,"Syt6"
