"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000015568.17",1956.37945534642,-9.21603091858021,0.385692065266788,-23.8947900372422,3.46956986399609e-126,3.19715234338703e-122,"Lpl"
"ENSMUSG00000069516.9",5453.04931210124,-8.15930521375271,0.341505662097491,-23.8921520763057,3.6957026278893e-126,3.19715234338703e-122,"Lyz2"
"ENSMUSG00000050335.18",1115.71038481597,-8.76215627961811,0.377566280507385,-23.2069353964641,3.87524945680913e-119,2.23498553672372e-115,"Lgals3"
"ENSMUSG00000021822.4",310.496041315076,-8.73410665534182,0.399542760947443,-21.8602550441171,6.20962978460169e-106,2.68597536332946e-102,"Plau"
"ENSMUSG00000040552.9",397.149237755807,-9.38738511872655,0.435459697011966,-21.5574143442914,4.51116953722751e-103,1.56104510666221e-99,"C3ar1"
"ENSMUSG00000020120.16",758.236389983999,-4.78464950896426,0.2225904856029,-21.4953010952141,1.72274077755969e-102,4.96781015555628e-99,"Plek"
"ENSMUSG00000040747.10",308.050510626985,-9.47123067956777,0.446243524241013,-21.2243543380865,5.69023984749639e-100,1.40646471201975e-96,"Cd53"
"ENSMUSG00000002944.16",700.970085358293,-9.67126323131484,0.45833831594175,-21.1007085703565,7.83531939474887e-99,1.69458370209931e-95,"Cd36"
"ENSMUSG00000016256.11",920.976541362937,-8.96530297815094,0.435343203352683,-20.5936440700279,3.12924779801589e-94,6.01580504458566e-91,"Ctsz"
"ENSMUSG00000028581.18",754.08778745379,-7.66511130498819,0.375229416266153,-20.427799561299,9.46732071977682e-93,1.63803583093579e-89,"Laptm5"
"ENSMUSG00000038642.11",1848.60863321754,-8.65308658995429,0.423811582049939,-20.4172961675565,1.17383806716332e-92,1.84634056709635e-89,"Ctss"
"ENSMUSG00000112023.2",371.414469439908,-10.4431499588782,0.513944244821112,-20.3196165033683,8.62474633897397e-92,1.24354467630773e-88,"Lilrb4b"
"ENSMUSG00000021998.17",489.44863160488,-7.70010846235746,0.379647706182542,-20.2822467697332,1.84508035668145e-91,2.4556600254848e-88,"Lcp1"
"ENSMUSG00000030579.11",352.732369120582,-8.84107620904571,0.438786866437131,-20.1489080127526,2.75115733440152e-90,3.40003744284393e-87,"Tyrobp"
"ENSMUSG00000015340.11",356.862335594501,-9.57867704302745,0.480417932196299,-19.9382171253208,1.89706418079821e-88,2.18820029707804e-85,"Cybb"
"ENSMUSG00000079293.13",466.611760990118,-8.07418576209246,0.405033559803594,-19.9346092852349,2.03890924673592e-88,2.20482548668906e-85,"Clec7a"
"ENSMUSG00000020053.19",341.549080569896,-10.2985195716225,0.521303520625348,-19.7553232697692,7.21919826538284e-87,6.93925379931411e-84,"Igf1"
"ENSMUSG00000049723.15",981.754692682277,-9.57505534551014,0.484660030226861,-19.7562306531203,7.09061545213084e-87,6.93925379931411e-84,"Mmp12"
"ENSMUSG00000069833.14",398.908364273478,-4.39947300322242,0.223642086401454,-19.6719368613162,3.7517260630709e-86,3.41644022859224e-83,"Ahnak"
"ENSMUSG00000025950.17",5427.62262817714,1.52860294620075,0.0787870382141006,19.4017059258762,7.46525730323776e-84,6.45819409303099e-81,"Idh1"
"ENSMUSG00000026358.14",113.6089734856,-9.84430743275622,0.510035776405219,-19.301209617372,5.2466550006544e-83,4.32274403911059e-80,"Rgs1"
"ENSMUSG00000026395.17",193.754899236495,-6.97212072357953,0.365216746509897,-19.0903642568608,3.03644791586518e-81,2.38802826546815e-78,"Ptprc"
"ENSMUSG00000028238.7",298.672203976569,-9.65764730307099,0.506371323820086,-19.0722634730049,4.29314083306684e-81,3.22956185624881e-78,"Atp6v0d2"
"ENSMUSG00000071713.7",132.608748706817,-7.91560849692259,0.415915917901736,-19.0317517464978,9.30882741261565e-81,6.71088882887817e-78,"Csf2rb"
"ENSMUSG00000038147.15",276.525584888623,-7.88423664128951,0.415275152963898,-18.9855727823305,2.24475071655864e-80,1.55354707591591e-77,"Cd84"
"ENSMUSG00000020101.15",219.132981876893,-7.38168860197122,0.391531123731575,-18.8533890527486,2.75606821217028e-79,1.83405739257578e-76,"Vsir"
"ENSMUSG00000025044.17",323.981261451206,-10.4032087543159,0.553265437064582,-18.8032869168756,7.09784519269005e-79,4.5484043527379e-76,"Msr1"
