"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000026458.14",143.996255564052,-6.60794347125904,0.255164192366153,-25.8968290573344,7.23057588327691e-148,1.25103423932457e-143,"Ppfia4"
"ENSMUSG00000003469.10",360.397546704271,-8.9348260150598,0.359657831412341,-24.8425732312671,3.11081964994474e-136,2.6911700791672e-132,"Phyhip"
"ENSMUSG00000024617.17",1419.96813973961,-10.1455457841273,0.431939627654953,-23.4883422000629,5.36647724403685e-122,3.09502630921085e-118,"Camk2a"
"ENSMUSG00000027438.15",783.677287304859,-4.7359095293799,0.207715494626342,-22.7999819556037,4.5870242487749e-115,1.98411733880758e-111,"Napb"
"ENSMUSG00000070570.6",602.521299609322,-8.29752031241903,0.364682155452191,-22.7527456124922,1.3479494934841e-114,4.66444442725239e-111,"Slc17a7"
"ENSMUSG00000030235.18",95.5229949428131,-6.50783788903747,0.291860249444828,-22.2977877303147,3.88223605799665e-110,1.11950747125763e-106,"Slco1c1"
"ENSMUSG00000004187.12",333.120853828018,-5.31058007066531,0.243378445375522,-21.8202563603006,1.49021661472639e-105,3.683389695428e-102,"Kifc2"
"ENSMUSG00000024403.17",416.319480048997,-4.92477028974335,0.228262243668421,-21.575054247242,3.08118942684288e-103,6.66384243290444e-100,"Atp6v1g2"
"ENSMUSG00000046447.4",1987.45928007797,-5.81721575760612,0.269832590942903,-21.5586106084459,4.39607505128048e-103,8.45121005969498e-100,"Camk2n1"
"ENSMUSG00000036564.18",1950.17163048805,-4.53151410889219,0.211107361532254,-21.465448082917,3.27577409433732e-102,5.66774433802243e-99,"Ndrg4"
"ENSMUSG00000004267.17",848.684069807211,-5.88540197973722,0.275706742141813,-21.3466015884007,4.19346842792063e-101,6.59594461271662e-98,"Eno2"
"ENSMUSG00000027347.20",370.249413250906,-8.68139913979017,0.407960284537912,-21.2800105030405,1.73903446401476e-100,2.50739785803195e-97,"Rasgrp1"
"ENSMUSG00000059213.8",581.623026498964,-10.1321245627782,0.479384622672858,-21.1356895560927,3.73690275521535e-99,4.97353011313354e-96,"Ddn"
"ENSMUSG00000027221.6",199.405489417296,-8.73439446828229,0.413820775607381,-21.1067084668779,6.90149828012952e-99,8.52926594591435e-96,"Chst1"
"ENSMUSG00000028528.18",362.466565119828,-7.83666110540561,0.372024472870973,-21.0649074909745,1.66951704892268e-98,1.92573226536402e-95,"Dnajc6"
"ENSMUSG00000058297.17",816.2813677145,-10.3935302969288,0.496617294238785,-20.9286515340953,2.93687434711065e-97,3.17586249710678e-94,"Spock2"
"ENSMUSG00000030806.7",1163.60365723957,-3.99622348053861,0.191435086967112,-20.8750837887161,9.02107057133377e-97,9.18132723677746e-94,"Stx1b"
"ENSMUSG00000030134.12",225.394851781945,-8.43458947510113,0.408188628314705,-20.6634601995777,7.387603246781e-95,7.10112840976694e-92,"Rasgef1a"
"ENSMUSG00000054942.14",122.363315404665,-6.07811997615998,0.295053729216971,-20.6000445826949,2.74190514856123e-94,2.49686541475823e-91,"Miga1"
"ENSMUSG00000032936.14",233.650266958501,-8.03230938302932,0.396504739259346,-20.2577890948626,3.0327843628835e-91,2.62366175233052e-88,"Camkv"
"ENSMUSG00000020717.20",98.4815835193787,-4.22060022346017,0.210658096992307,-20.0353097446536,2.71147175221025e-89,2.23399448841627e-86,"Pecam1"
"ENSMUSG00000038068.16",70.9380275637901,-4.88145493449109,0.245362609657811,-19.8948606770155,4.50858780832046e-88,3.54579937543457e-85,"Rnf144b"
"ENSMUSG00000026678.11",342.166567268507,-8.96668932874648,0.450917633149343,-19.8854262276692,5.4417923926918e-88,4.09364747731972e-85,"Rgs5"
"ENSMUSG00000022658.11",151.612158826776,-7.09540944128212,0.356858242122193,-19.8829916301963,5.71240635132568e-88,4.11816894544321e-85,"Tagln3"
"ENSMUSG00000026259.15",301.237546943806,-5.70794500718388,0.292210055808939,-19.5337049280604,5.67676872483486e-85,3.84814731512372e-82,"Ngef"
"ENSMUSG00000095115.3",95.919601767534,-11.1459270085748,0.570627314340009,-19.5327611007654,5.78267426847861e-85,3.84814731512372e-82,"Itpripl2"
"ENSMUSG00000037820.16",241.185505156627,-6.54839457467975,0.337744140584587,-19.3886252574076,9.62758600273673e-84,6.16949974145744e-81,"Tgm2"
"ENSMUSG00000037754.14",189.154696477158,-7.8290583150923,0.404567271262412,-19.3516848030304,1.97286500534015e-83,1.21908965437126e-80,"Ppp1r16b"
"ENSMUSG00000049422.8",121.794036474235,-10.0019168074656,0.518020148961327,-19.307968671721,4.603245927602e-83,2.74639175997827e-80,"Chchd10"
"ENSMUSG00000004933.18",81.1099024875742,-5.30415928506006,0.276010767186114,-19.2172187307586,2.65632075279496e-82,1.53198872216195e-79,"Matk"
"ENSMUSG00000021866.16",64.1955112755211,-8.34833292141699,0.435072367935904,-19.1883776968499,4.62864618603307e-82,2.58338181647562e-79,"Anxa11"
"ENSMUSG00000027419.10",431.438252773096,-6.40100247239697,0.334277844152982,-19.1487488158729,9.91401510928309e-82,5.3603840444005e-79,"Pcsk2"
"ENSMUSG00000015981.13",161.6439058551,-5.05181347928483,0.263987798563093,-19.1365415628383,1.25317171506569e-81,6.57041727698985e-79,"Stk32c"
"ENSMUSG00000074657.6",2917.8426164699,-10.1016792638111,0.529018098338265,-19.0951487208891,2.77067380836612e-81,1.40994700683384e-78,"Kif5a"
"ENSMUSG00000040907.16",2988.64945190464,-5.57281537773841,0.292109361022076,-19.077839060821,3.85886561503715e-81,1.90760265346779e-78,"Atp1a3"
"ENSMUSG00000011382.9",46.6963020455109,-7.54648219202528,0.397227400968236,-18.9978893037863,1.77542075464936e-80,8.53286941581758e-78,"Dhdh"
"ENSMUSG00000097431.5",64.970660107998,-6.6350052519857,0.349948346774514,-18.9599559853355,3.65449792720554e-80,1.70892224693271e-77,"Gm26782"
"ENSMUSG00000034116.18",82.4963157811884,-11.1532292807379,0.591120807413884,-18.8679355232522,2.09317500071235e-79,9.53055627955924e-77,"Vav1"
