"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000020122.17",35252.0265919481,9.01483347314373,0.266883245677591,33.7781918466104,4.12336576080757e-250,7.13713379538183e-246,"Egfr"
"ENSMUSG00000035413.9",990.161209144053,7.76210826851786,0.23112637411198,33.5838274551788,2.88944387944946e-247,2.50066920546953e-243,"Tmem98"
"ENSMUSG00000001761.8",3479.39251910323,5.66788882810754,0.170670817882039,33.2094783305309,7.85645630082832e-242,4.53291340370125e-238,"Smo"
"ENSMUSG00000029070.10",8033.75090646212,7.52697257193944,0.260832266758972,28.8575208330911,4.07739561644916e-183,1.76439101812796e-179,"Mxra8"
"ENSMUSG00000121482.2",1540.44747498698,6.54847715704991,0.231697351130574,28.2630644031813,9.83528564494683e-176,3.40477918456769e-172,"ENSMUSG00000121482"
"ENSMUSG00000062312.6",613.685310111853,7.08272629601605,0.271217486564757,26.1145635767292,2.49129596375129e-150,7.18697363942851e-147,"Erbb2"
"ENSMUSG00000030847.9",1718.82219068377,3.58299489814464,0.140177889810088,25.5603426688678,4.21368062488055e-144,1.04192282765796e-140,"Bag3"
"ENSMUSG00000049521.3",2671.09710270362,3.58583426634248,0.141518837289311,25.3382117534775,1.21209973318104e-141,2.62252928520382e-138,"Cdc42ep1"
"ENSMUSG00000024538.9",4905.78946458001,3.36044787249741,0.13278336166891,25.3077481264298,2.62474374221308e-141,5.04796549266292e-138,"Ppic"
"ENSMUSG00000037347.8",3353.63318897677,6.11567272766598,0.245086382692298,24.9531314652602,1.97463285315051e-137,3.41789200551821e-134,"Chst7"
"ENSMUSG00000020019.5",1306.96887306076,8.20937880409257,0.344165984999612,23.8529638659725,9.43408659620045e-126,1.48449640812394e-122,"Ntn4"
"ENSMUSG00000032714.7",2142.44445514996,2.62762676021128,0.111980645330388,23.4650081936814,9.29026357234311e-122,1.34004310144739e-118,"Syde1"
"ENSMUSG00000033065.15",4036.99218101654,3.02392458656206,0.129068032454489,23.4289198421641,2.16859113445266e-121,2.8873956881724e-118,"Pfkm"
"ENSMUSG00000028885.9",461.114526281696,4.72584824041359,0.206504951467677,22.8849148982914,6.56686230011845e-116,8.11898711091074e-113,"Smpdl3b"
"ENSMUSG00000029311.17",865.5673072327,3.74284843744497,0.165787819462745,22.576136471148,7.43731024728544e-113,8.04577519189148e-110,"Hsd17b11"
"ENSMUSG00000053110.14",3546.12323056821,4.27391774917461,0.189291651413275,22.5784799132187,7.05331169632716e-113,8.04577519189148e-110,"Yap1"
"ENSMUSG00000004044.10",2704.30157120494,4.56910157907293,0.203049141749259,22.5024422152703,3.92826230875614e-112,3.99966425307412e-109,"Cavin1"
"ENSMUSG00000021009.16",754.526757785939,1.86574560536118,0.0840942518227931,22.1863630975963,4.65122615530201e-109,4.47267075122903e-106,"Ptpn21"
"ENSMUSG00000029710.16",1016.09548144034,6.86132973856712,0.313105869901278,21.9137691054163,1.9201502912952e-106,1.74925691536993e-103,"Ephb4"
"ENSMUSG00000051236.14",745.089865074817,5.45077611875991,0.249226354511127,21.8707854129309,4.93015132703021e-106,4.26679946597829e-103,"Msrb3"
"ENSMUSG00000039323.19",50959.4602727014,5.31398895115721,0.248649500171419,21.3714041150042,2.46604279027959e-101,1.94021521167952e-98,"Igfbp2"
"ENSMUSG00000090523.3",260.858055983538,4.53497330706486,0.212185056180794,21.3727271311737,2.39714281029235e-101,1.94021521167952e-98,"Gypc"
"ENSMUSG00000000555.9",3693.81403301121,5.85957112268302,0.275774071834178,21.2477231224492,3.46044220689739e-100,2.60420844170378e-97,"Itga5"
"ENSMUSG00000017453.5",1317.77119227998,4.19715096127878,0.197617093706255,21.2388052195403,4.18396646883025e-100,3.01751148370762e-97,"Pipox"
"ENSMUSG00000032402.13",961.266283864567,5.83696260032299,0.276785736230684,21.0883793356253,1.01685853610808e-98,7.04032176059789e-96,"Smad3"
"ENSMUSG00000034487.5",2055.88248307744,2.24321795444295,0.106421990980959,21.0785189580254,1.25241586772282e-98,8.33771779015937e-96,"Poglut3"
"ENSMUSG00000063605.6",302.355859072428,6.02187773208935,0.287487583716841,20.9465662976964,2.01657754156123e-97,1.29277558025494e-94,"Ccdc102a"
"ENSMUSG00000019960.9",15313.0756150012,3.49811295275719,0.169526251702388,20.6346386924092,1.34144085292663e-94,8.29249990118107e-92,"Dusp6"
"ENSMUSG00000051486.6",1153.84193056338,3.87477717733074,0.187860116871078,20.6258637643128,1.60833042510193e-94,9.5995142510653e-92,"Pcdhb11"
"ENSMUSG00000050103.19",502.013893688591,5.55954049324035,0.269874103087289,20.600496415331,2.71644294263903e-94,1.56729702980463e-91,"Agmo"
"ENSMUSG00000052056.15",1112.16972231706,5.09344542126242,0.252592196803643,20.1646982199608,1.9996297032032e-90,1.1165029204111e-87,"Zfp217"
"ENSMUSG00000060591.10",3740.11204520502,3.94141821579512,0.19558723256767,20.1517152426166,2.59949313749016e-90,1.40608208490053e-87,"Ifitm2"
"ENSMUSG00000030539.14",2956.43259915442,4.56591669355287,0.22772398034956,20.0502234615086,2.00940566228612e-89,1.05396371540941e-86,"Sema4b"
"ENSMUSG00000030796.18",3504.28535462635,4.92942635187179,0.248412063113797,19.8437478843917,1.24798980102191e-87,6.35336925467301e-85,"Tead2"
"ENSMUSG00000001555.11",3505.13146438633,4.6671050485856,0.235888572560378,19.7852104403701,3.99227993330186e-87,1.9743535247292e-84,"Fkbp10"
"ENSMUSG00000009614.17",2321.38667010989,3.2286352444826,0.163444702417127,19.7536854773232,7.45720119533414e-87,3.58546376361218e-84,"Sardh"
"ENSMUSG00000047497.11",1008.05628744615,5.79922070994816,0.294549093329994,19.68846905752,2.70749345296067e-86,1.2665947074945e-83,"Adamts12"
"ENSMUSG00000026637.15",217.879102720359,3.1718686571716,0.162040057102207,19.574596022087,2.54647793792885e-85,1.15992070072659e-82,"Traf5"
"ENSMUSG00000039031.17",3971.65423528346,3.69738218687143,0.189920225477947,19.4680802298265,2.04804367010592e-84,9.08963791945215e-82,"Arhgap18"
"ENSMUSG00000032766.10",1151.07616294837,3.99227523191037,0.205877673989725,19.3914918239732,9.10571797795378e-84,3.94027181201005e-81,"Gng11"
"ENSMUSG00000027803.15",6775.52212761894,3.43039542482663,0.179332271819504,19.128712250293,1.45627241767379e-81,6.14795592134529e-79,"Wwtr1"
"ENSMUSG00000072941.6",850.404604550057,5.42178194918197,0.284022662711637,19.0892582212238,3.10141984108569e-81,1.27815419117505e-78,"Sod3"
"ENSMUSG00000052957.9",9398.09700335933,3.68652994455878,0.194583948892853,18.9457042347761,4.7913756115852e-80,1.92869582467275e-77,"Gas1"
"ENSMUSG00000041836.11",1100.09971464756,-5.73010932595985,0.307061826832094,-18.6610930608876,1.02610659952988e-77,4.03656343892334e-75,"Ptpre"
"ENSMUSG00000000732.10",245.106395624719,5.61700048017822,0.301864412073786,18.6076935720572,2.78344143425117e-77,1.07063528412119e-74,"Icosl"
"ENSMUSG00000008398.17",4778.63925285295,2.82179825419267,0.151832190141159,18.5849802441053,4.25156525618091e-77,1.59979006563555e-74,"Elk3"
"ENSMUSG00000033377.15",390.385161015247,5.87646403210054,0.317123805493934,18.530504270872,1.17183614113608e-76,4.3155982482818e-74,"Palmd"
"ENSMUSG00000034485.11",1515.23091038108,4.10111680725408,0.221725819419278,18.4963429969289,2.2096819915612e-76,7.96820533165267e-74,"Uaca"
"ENSMUSG00000052560.16",1822.39276181406,3.86341641575669,0.209838076857983,18.4114173824202,1.06401133858337e-75,3.75856576725298e-73,"Cpne8"
"ENSMUSG00000028378.7",217.956651647448,3.97334159301656,0.216130990875306,18.3839512183097,1.76622426458501e-75,6.1143151591404e-73,"Ptgr1"
"ENSMUSG00000030560.18",4477.4962473975,5.1774550355307,0.282939901764976,18.2987800703746,8.46225526124733e-75,2.87202306503784e-72,"Ctsc"
"ENSMUSG00000057329.8",998.344677012635,3.44489564887332,0.188857319804536,18.2407314285659,2.45155785930492e-74,8.16038749744402e-72,"Bcl2"
"ENSMUSG00000071856.11",774.404386752092,4.51285702454431,0.247554182191339,18.2297749308725,2.99551291419871e-74,9.78289302488027e-72,"Mcc"
"ENSMUSG00000064373.14",7241.8298914313,5.96064131578862,0.327851552935123,18.1809153027503,7.31033951676577e-74,2.34323456843886e-71,"Selenop"
"ENSMUSG00000035407.9",329.353414250387,5.97551039602396,0.330862315944748,18.0604139790336,6.53308171182947e-73,2.05602020636466e-70,"Kank4"
"ENSMUSG00000006589.9",397.656392542728,4.50984005585007,0.250701640544083,17.9888733319121,2.38150663516364e-72,7.36098184786562e-70,"Aprt"
"ENSMUSG00000041390.19",1921.55299381279,3.10134142655172,0.172841477100045,17.9432707853832,5.417068140076e-72,1.64498302520308e-69,"Mdfic"
"ENSMUSG00000022114.6",9096.58583598383,2.80468184363885,0.156352062643293,17.938246520211,5.92969156037226e-72,1.76960398652558e-69,"Spry2"
"ENSMUSG00000032648.15",3304.98549833026,6.45789450410644,0.362028799466966,17.8380684454241,3.57853706074765e-71,1.04984572855053e-68,"Pygm"
"ENSMUSG00000076435.4",1232.09138156391,3.54505707919592,0.201984941699528,17.5510958855018,5.8343326787651e-69,1.68310773894575e-66,"Acsf2"
"ENSMUSG00000051041.9",405.436910163153,5.49810106163029,0.313766090609608,17.5229294247449,9.57649165422745e-69,2.71736875480365e-66,"Olfml1"
"ENSMUSG00000075593.11",181.511606320264,4.46215364134964,0.254727338509543,17.5173723694462,1.05590879238312e-68,2.94785891731604e-66,"Gal3st4"
"ENSMUSG00000029231.16",12593.1470651999,-6.05331429956715,0.346304043618428,-17.4797678834988,2.04329098616034e-68,5.61386090149989e-66,"Pdgfra"
"ENSMUSG00000052911.10",4038.91758504871,4.98329751757853,0.285498020665832,17.4547532972614,3.16743109732885e-68,8.56641638494766e-66,"Lamb2"
"ENSMUSG00000140606.1",227.222390731354,-7.81427768246063,0.448194102722184,-17.4350301242236,4.47323913836272e-68,1.19118917301416e-65,"ENSMUSG00000140606"
"ENSMUSG00000026749.12",2214.54870193298,2.10524674396798,0.120973920472875,17.4024842357657,7.90012068261775e-68,2.07186649841562e-65,"Nek6"
"ENSMUSG00000001017.17",6304.51307450649,-1.05752893015229,0.0608534352128665,-17.3782946920422,1.20483237671681e-67,3.11260352367034e-65,"Chtop"
"ENSMUSG00000141158.1",6675.36894775421,4.43935074700841,0.255586118092165,17.3692952502513,1.4094640421014e-67,3.58770780951958e-65,"ENSMUSG00000141158"
"ENSMUSG00000020282.19",1128.57141363417,3.61368738615028,0.208617165938215,17.3220998852057,3.20447774183391e-67,8.03859496136277e-65,"Rhbdf1"
