"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029304.15",5239.85617515335,-8.48301726693594,0.445945916630681,-19.0225248187693,1.11006920849599e-80,1.92141879298571e-76,"Spp1"
"ENSMUSG00000028108.17",350.845045770347,-5.19966053142753,0.278764309034223,-18.652533207862,1.20433485198737e-77,1.04229159765247e-73,"Ecm1"
"ENSMUSG00000026796.17",1620.29465091861,-2.36969875033432,0.127373430545707,-18.6043411108721,2.96312126553796e-77,1.29161454118639e-73,"Niban2"
"ENSMUSG00000069516.9",5453.04931210124,-9.55980658305263,0.513858978032202,-18.6039497055427,2.98483919622483e-77,1.29161454118639e-73,"Lyz2"
"ENSMUSG00000018774.14",1053.54504159903,-6.64097052955148,0.369052492272098,-17.9946502695751,2.14572374762683e-72,7.42806646953456e-69,"Cd68"
"ENSMUSG00000020120.16",758.236389983999,-5.76528513495033,0.321413387616056,-17.9372899732392,6.03263269864682e-72,1.7403139896813e-68,"Plek"
"ENSMUSG00000015568.17",1956.37945534642,-10.7840496225909,0.610642566136003,-17.6601668809788,8.49880306951259e-70,2.10151117614562e-66,"Lpl"
"ENSMUSG00000044786.7",573.959835366617,-3.35837124179047,0.192401547539037,-17.4550115877269,3.15313674121079e-68,6.82220548170219e-65,"Zfp36"
"ENSMUSG00000021822.4",310.496041315076,-10.314487087234,0.608270480184508,-16.9570732482452,1.70634722502987e-64,3.28168490200468e-61,"Plau"
"ENSMUSG00000024030.8",495.343753394144,-8.07030515704911,0.491289415180602,-16.4267841066399,1.23011888177305e-60,2.12921277246098e-57,"Abcg1"
"ENSMUSG00000037820.16",241.185505156627,-5.58616395515171,0.340512168959452,-16.4051815599486,1.75601003233407e-60,2.76316160451549e-57,"Tgm2"
"ENSMUSG00000046805.12",1759.96815771746,-10.2104686190135,0.628236897490275,-16.2525771087356,2.14169100470273e-59,3.0892108000333e-56,"Mpeg1"
"ENSMUSG00000027864.10",8547.96023821151,-2.56474774229189,0.1588523507097,-16.1454818316094,1.22190601543634e-58,1.62692086316828e-55,"Ptgfrn"
"ENSMUSG00000002944.16",700.970085358293,-11.3498396007585,0.707926021568736,-16.0325221208958,7.57451016069454e-58,9.3647997408187e-55,"Cd36"
