"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000046447.4",1987.45928007797,-7.19123904399622,0.323302069393692,-22.2430962396324,1.31557765890261e-109,2.27713336979453e-105,"Camk2n1"
"ENSMUSG00000025738.9",1301.65814076047,-5.37227825025593,0.300197744404766,-17.8957981876517,1.27161717478417e-71,1.10052108391696e-67,"Fbxl16"
"ENSMUSG00000024617.17",1419.96813973961,-11.4278860860075,0.652323173338228,-17.5187492229135,1.03066468134381e-68,5.94659165646001e-65,"Camk2a"
"ENSMUSG00000027438.15",783.677287304859,-5.14356996044579,0.303525769788039,-16.9460733565973,2.05744493641326e-64,7.12246288087543e-61,"Napb"
"ENSMUSG00000074657.6",2917.8426164699,-11.1078746000421,0.655296448612998,-16.9509153049021,1.89480783438884e-64,7.12246288087543e-61,"Kif5a"
"ENSMUSG00000003469.10",360.397546704271,-9.67778935804729,0.572996063923515,-16.8898007636909,5.34833041882563e-64,1.54290418699088e-60,"Phyhip"
"ENSMUSG00000058297.17",816.2813677145,-10.4727849808419,0.623480037466352,-16.7973060106309,2.55382702751954e-63,6.31488457419081e-60,"Spock2"
"ENSMUSG00000024403.17",416.319480048997,-5.64457248278227,0.337483050755396,-16.7254991625443,8.54572036705603e-63,1.84897342291716e-59,"Atp6v1g2"
"ENSMUSG00000027221.6",199.405489417296,-9.70593100490333,0.582453579480681,-16.6638704728318,2.39979319797191e-62,4.61533560707731e-59,"Chst1"
"ENSMUSG00000049176.17",93.5623641880453,-8.47418576162394,0.515563636145211,-16.4367406223296,1.04383997084256e-60,1.80678260553139e-57,"Frmpd4"
"ENSMUSG00000037754.14",189.154696477158,-8.90466884224717,0.542173735479299,-16.4240136685617,1.2876048758807e-60,2.02610479969265e-57,"Ppp1r16b"
"ENSMUSG00000028528.18",362.466565119828,-8.51202581134993,0.52635997022015,-16.1714915512853,8.01345310982282e-59,1.15587383231603e-55,"Dnajc6"
"ENSMUSG00000030774.14",831.641074791995,-6.34796247950285,0.393770042435663,-16.120988890464,1.81678608171261e-58,2.41898079141258e-55,"Pak1"
"ENSMUSG00000059213.8",581.623026498964,-11.2280330833081,0.699234871163752,-16.0575988789304,5.0575369725919e-58,6.25292196132808e-55,"Ddn"
"ENSMUSG00000026458.14",143.996255564052,-6.4667722049676,0.404599225873243,-15.9831551605429,1.67451277114783e-57,1.93227610371985e-54,"Ppfia4"
"ENSMUSG00000070570.6",602.521299609322,-8.808981856126,0.552308350282783,-15.9493910450852,2.87688401561134e-57,3.11224908913854e-54,"Slc17a7"
"ENSMUSG00000026090.17",204.609261191575,-7.88945018801171,0.497145107035944,-15.8695118917087,1.030390802722e-56,1.04911967084206e-53,"Cracdl"
"ENSMUSG00000040907.16",2988.64945190464,-5.90469294225947,0.372649529056791,-15.8451641068882,1.51824134437768e-56,1.45995774610184e-53,"Atp1a3"
