"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",12587.4744683864,-6.2598262469381,0.187844687258753,-33.324478526855,1.70704025103012e-243,2.33386543120839e-239,"Pdgfra"
"ENSMUSG00000020122.17",35370.995335394,5.13980347497826,0.244314400311059,21.0376607700336,2.9665551049723e-98,2.02793706975906e-94,"Egfr"
"ENSMUSG00000037169.16",109.956811449552,-3.89736053489695,0.202534320760593,-19.2429634654555,1.61694209071969e-82,7.36894408810655e-79,"Mycn"
"ENSMUSG00000064125.15",233.473878040283,-4.7297864691506,0.249106331666734,-18.9870182644668,2.18381731707172e-80,7.46428758975112e-77,"Prr36"
"ENSMUSG00000020464.16",2514.61942005346,-0.997316081001394,0.0558126777399699,-17.8689882189109,2.05691207277515e-71,5.62442037179638e-68,"Pnpt1"
"ENSMUSG00000051379.13",300.011830549449,-4.98450884723884,0.281359190479353,-17.7158202607376,3.16578838283865e-70,7.21377646169501e-67,"Flrt3"
"ENSMUSG00000054976.15",378.848861212561,-6.83147583914502,0.389806462164723,-17.5253016617724,9.1853098390069e-69,1.79402223027003e-65,"Nyap2"
"ENSMUSG00000036815.18",646.917397967967,-6.63461416817304,0.388585593355045,-17.0737522996924,2.32748228624678e-65,3.97766722719575e-62,"Dpp10"
"ENSMUSG00000046338.5",207.272543582382,-4.53054396957379,0.266711045312279,-16.9867129584723,1.03002027536599e-64,1.56471524497821e-61,"Gpat2"
"ENSMUSG00000027514.15",142.850322908096,-6.37342912178796,0.377707851410579,-16.8739651505414,6.99398827906857e-64,9.56218077514255e-61,"Zbp1"
"ENSMUSG00000027350.9",506.263090657125,-3.82418459249899,0.227803107124396,-16.7872363146071,3.0261209299683e-63,3.76119321404787e-60,"Chgb"
"ENSMUSG00000018326.10",16822.7080598256,-0.819639426873654,0.0492337892823247,-16.6479045960395,3.13384347236716e-62,3.57049232951699e-59,"Ywhab"
"ENSMUSG00000025592.18",224.035349217062,-4.53751713165266,0.27591189833799,-16.445529022073,9.02925054148843e-61,9.49599333870999e-58,"Dach2"
"ENSMUSG00000027580.18",601.722589474286,-1.85812673164967,0.113415502508656,-16.3833575706094,2.51470133391393e-60,2.45578547409081e-57,"Helz2"
"ENSMUSG00000045215.19",190.791035499093,-4.8949664987897,0.298944888817611,-16.3741434688859,2.92597559654445e-60,2.66692922373038e-57,"Asxl3"
"ENSMUSG00000025777.9",661.289771702107,-4.45106954236243,0.275711922075365,-16.1439139405287,1.25335187037459e-58,1.07098917323509e-55,"Gdap1"
"ENSMUSG00000051251.4",89.9213730044381,-5.24783018317771,0.32777994259382,-16.0102236325081,1.08419431639853e-57,8.71947334929453e-55,"Nhlh1"
"ENSMUSG00000027834.16",573.601668190256,-4.04490249079197,0.252941848111136,-15.9914325011761,1.46620318566256e-57,1.11366277524325e-54,"Serpini1"
"ENSMUSG00000078922.10",275.783491536467,-8.00786509365331,0.501519661194872,-15.9672007166669,2.1627668358447e-57,1.55628148314046e-54,"Tgtp1"
"ENSMUSG00000078921.4",1503.76630701187,-5.48681948688745,0.343775164090979,-15.960488307513,2.40839714059769e-57,1.64638028531258e-54,"Tgtp2"
"ENSMUSG00000023236.8",321.928970004745,-5.32736541495514,0.334866746631975,-15.9089114357778,5.49608033082512e-57,3.57821001347814e-54,"Scg5"
"ENSMUSG00000048834.17",397.438620670625,-7.17772144424206,0.452850290047136,-15.8500979286001,1.40361965985173e-56,8.72285817704218e-54,"Vstm2a"
"ENSMUSG00000028270.13",1006.63022753288,-4.58993388356944,0.289952938379197,-15.8299271227484,1.93445115103063e-56,1.14990504943003e-53,"Gbp2"
"ENSMUSG00000030111.10",2730.33209598953,4.92224672591875,0.311266914866166,15.8135879235194,2.50769274554393e-56,1.42854896737819e-53,"A2m"
"ENSMUSG00000049091.8",1390.78163642261,-0.788587008589574,0.0501636673746951,-15.7202822253657,1.09833351249904e-55,6.00656631315475e-53,"Sephs2"
"ENSMUSG00000039108.15",3052.6315509384,-0.814059415288331,0.0517982895425435,-15.7159516748081,1.1760195451295e-55,6.1840535465425e-53,"Lsm14b"
"ENSMUSG00000095620.8",33.0780536268892,-4.13310731649404,0.264281350018471,-15.6390426952381,3.94615762245961e-55,1.99821729682473e-52,"Csta2"
"ENSMUSG00000028207.19",7401.68958618809,0.918082906429662,0.0589550890226285,15.5725811231881,1.11803038380185e-54,5.45918264547817e-52,"Asph"
"ENSMUSG00000049612.11",1105.51769080488,-3.18235677311016,0.205572536486415,-15.4804568134541,4.7012269559109e-54,2.21638534280048e-51,"Omg"
"ENSMUSG00000079363.8",663.039900571959,-4.66469168589437,0.301655069360235,-15.4636608487551,6.10292622289575e-54,2.78130691064769e-51,"Gbp4"
"ENSMUSG00000072923.7",225.563093132216,-6.9950259462885,0.453500345185454,-15.4245217683968,1.11981582445993e-53,4.93874901677942e-51,"Gm10439"
"ENSMUSG00000074682.5",1032.33377694506,-0.808857528837267,0.0525604963248517,-15.3890770710782,1.9377648552592e-53,8.27910034409493e-51,"Zcchc3"
"ENSMUSG00000021271.6",300.315220071991,1.0925419406538,0.0711075364825111,15.3646433936367,2.825892491395e-53,1.17077582249553e-50,"Zfp839"
"ENSMUSG00000033577.19",6160.53883004883,1.30552747929695,0.0850601960264862,15.3482773410307,3.63716950360949e-53,1.46257004274556e-50,"Myo6"
"ENSMUSG00000045573.10",314.295716343406,-5.49689061728667,0.358762686322678,-15.3218013657715,5.46808254334176e-53,2.1359892723591e-50,"Penk"
"ENSMUSG00000028268.15",810.3509219427,-3.48654150339725,0.229371358814672,-15.2004222384814,3.51349056910658e-52,1.33434564057848e-49,"Gbp3"
"ENSMUSG00000020135.14",1181.37073366613,-2.99712063449923,0.197219580280561,-15.1968715795642,3.70916526438815e-52,1.37058668904635e-49,"Apc2"
"ENSMUSG00000051486.6",1152.21263790936,2.24033405360804,0.148410662329624,15.0955060670251,1.73352748617797e-51,6.23704941869083e-49,"Pcdhb11"
"ENSMUSG00000027525.19",850.737827060516,-4.40848990270517,0.292476922900917,-15.0729495475397,2.4397328057345e-51,8.55282741538517e-49,"Phactr3"
"ENSMUSG00000000823.17",2341.41229537156,-1.08247754800523,0.072005379125082,-15.03328725101,4.44394208082677e-51,1.51893940322659e-48,"Zfp512b"
"ENSMUSG00000060224.5",877.891212533258,1.83880938231617,0.12255512475625,15.0039370933968,6.9190451069524e-51,2.30724840737203e-48,"Pyroxd2"
"ENSMUSG00000090744.8",16.3513397468898,-3.54585668033913,0.23644623147673,-14.9964609636339,7.74397615996102e-51,2.52084862045207e-48,"Gm6871"
"ENSMUSG00000037138.19",359.879292709351,-3.67011261991745,0.244811785216924,-14.9915683865685,8.3361218774452e-51,2.65049903042862e-48,"Aff3"
"ENSMUSG00000075478.4",313.818108329688,-5.69457607361296,0.37999300792363,-14.986002254961,9.0647727570677e-51,2.81667211669613e-48,"Slitrk1"
"ENSMUSG00000057716.8",1025.03451734337,-3.59668885649692,0.240936567753575,-14.9279492525001,2.16832595808023e-50,6.58785611086063e-48,"Tmem178b"
"ENSMUSG00000054072.13",1226.84606423455,-4.78757773962555,0.321003957477088,-14.9143885242202,2.65700135615393e-50,7.89707011768186e-48,"Iigp1"
"ENSMUSG00000028399.19",1446.12426785188,-4.82870430444988,0.324509948008064,-14.8799885306749,4.44575705770876e-50,1.29324235091477e-47,"Ptprd"
"ENSMUSG00000032024.11",176.366204758602,-4.36595468548895,0.293786992081893,-14.860953014121,5.90787394410228e-50,1.6827594284118e-47,"Clmp"
"ENSMUSG00000061911.16",595.135272745769,-5.26950148860382,0.355295320160249,-14.8313281644889,9.18965559609943e-50,2.5641014553035e-47,"Myt1l"
"ENSMUSG00000037872.6",90.2412606077684,-5.99040332411616,0.40829039506122,-14.671918312499,9.75477288575297e-49,2.66734509788029e-46,"Ackr1"
"ENSMUSG00000005338.15",949.091016320147,-5.35254631565342,0.36733454454094,-14.571312159989,4.27598211453727e-48,1.14629857784223e-45,"Cadm3"
"ENSMUSG00000028137.10",267.037377305793,-5.06024198566377,0.348997240061065,-14.499375366918,1.22257349631934e-47,3.21442785416884e-45,"Celf3"
"ENSMUSG00000043843.18",97.6948569018579,-2.6272924916343,0.181280668855048,-14.4929545341377,1.34242049743728e-47,3.46293830961557e-45,"Tmem145"
"ENSMUSG00000017943.16",511.358989342051,-2.18572637627066,0.15090164239561,-14.4844439170547,1.51947370227483e-47,3.84708230694472e-45,"Gdap1l1"
"ENSMUSG00000048852.14",63.2887834927668,-5.80247467937963,0.40311870623405,-14.3939603636521,5.6467613222468e-47,1.40368219632288e-44,"Gm12185"
"ENSMUSG00000060586.12",324.272375550933,-6.00062819041344,0.417672192790589,-14.3668367058901,8.35616434522049e-47,2.0400978379974e-44,"H2-Eb1"
"ENSMUSG00000010154.8",54.7420140527861,-3.11912144996355,0.218120628374618,-14.2999837897337,2.18860530527261e-46,5.24958100591003e-44,"Spire2"
"ENSMUSG00000021730.9",143.961343882358,-4.67976780087987,0.328033598814877,-14.266123402563,3.55815516028735e-46,8.38743057783598e-44,"Hcn1"
"ENSMUSG00000015932.9",8629.47729058775,-0.748407401895466,0.0524660676547562,-14.2645987273189,3.63677788807364e-46,8.42746225182081e-44,"Dstn"
"ENSMUSG00000066278.7",1523.41233517309,-1.05612671965721,0.0740494738004839,-14.2624473268074,3.75066827036066e-46,8.54652276539516e-44,"Vps37b"
"ENSMUSG00000036594.16",423.696884138047,-7.12575372659671,0.500974548851281,-14.2237839086553,6.52284072187771e-46,1.46197177622151e-43,"H2-Aa"
"ENSMUSG00000028369.16",637.879155747784,2.50587787195903,0.176259801398014,14.216956175393,7.19134608355626e-46,1.58580780087712e-43,"Svep1"
"ENSMUSG00000062773.7",1122.58009502633,-4.84323801808815,0.342833131862452,-14.1271002361327,2.58574315869049e-45,5.61147308978038e-43,"Tex101"
"ENSMUSG00000050103.19",501.042583707641,2.73374060174131,0.193639278697792,14.1176966787188,2.95492445587893e-45,6.31245736887137e-43,"Agmo"
"ENSMUSG00000040253.16",1016.78590080401,-3.11796320818479,0.221861209004152,-14.0536654522893,7.31478509317116e-45,1.53858064298209e-42,"Gbp7"
"ENSMUSG00000015599.10",736.938959379787,-3.16714513626897,0.226365457437265,-13.9912916578569,1.76182773928863e-44,3.64965285629608e-42,"Ttbk1"
"ENSMUSG00000050967.6",866.029280219294,-2.42211834953258,0.173442611012979,-13.9649555284389,2.55064614459796e-44,5.20484090879751e-42,"Creg2"
"ENSMUSG00000018322.11",1839.3039939417,-0.753237935042897,0.0540526151860903,-13.9352727421176,3.86720270195251e-44,7.77535225604335e-42,"Tomm34"
"ENSMUSG00000022311.16",185.205759336754,-4.82604061063475,0.346746398748204,-13.9180698863992,4.92011926558545e-44,9.74896675349048e-42,"Csmd3"
"ENSMUSG00000007944.9",134.988455574438,-3.29421164067284,0.236974934737506,-13.9010973642499,6.23776154704465e-44,1.21832394101706e-41,"Ttc9b"
"ENSMUSG00000020263.15",5817.68055237554,1.89035446537,0.136004991985005,13.8991550073281,6.40935552756274e-44,1.23420716581462e-41,"Appl2"
"ENSMUSG00000040972.9",397.142385707651,-2.77748679922616,0.199927759760947,-13.8924519663862,7.03839647630891e-44,1.33651328644577e-41,"Igsf21"
"ENSMUSG00000027581.13",1458.84659719502,-3.31369200130486,0.239000814388367,-13.864772845168,1.03553402069843e-43,1.93942755219026e-41,"Stmn3"
"ENSMUSG00000023942.16",2692.91149457966,2.63891417930655,0.190581128957942,13.8466709360763,1.33245814062266e-43,2.46180644575581e-41,"Slc29a1"
"ENSMUSG00000026163.18",223.704640403602,-5.59560976487917,0.40536870608518,-13.8037536713635,2.41920354471956e-43,4.41004678178744e-41,"Sphkap"
"ENSMUSG00000045930.4",393.920248013976,5.28299149563152,0.383182890859131,13.7871278223998,3.04649610386523e-43,5.48048614895334e-41,"Clec14a"
"ENSMUSG00000105504.5",157.789564629371,-5.76083057809728,0.417905587427222,-13.785004918367,3.1374520372364e-43,5.57081094196052e-41,"Gbp5"
"ENSMUSG00000043556.11",121.12692912131,-2.78378572947499,0.202020091482683,-13.7797469006374,3.3745317781659e-43,5.91494852193387e-41,"Fbxl7"
"ENSMUSG00000001767.6",1598.9822300566,-0.737679626805,0.0536891436824365,-13.7398285055219,5.86144670421342e-43,1.01440125746843e-40,"Crnkl1"
"ENSMUSG00000050132.14",413.611082414467,-1.97679066356503,0.144074014605952,-13.7206606546754,7.63663705572596e-43,1.30510127282357e-40,"Sarm1"
"ENSMUSG00000103800.2",255.451047231027,-4.45597792780652,0.324992685681303,-13.711009890777,8.72351236729235e-43,1.47244272945211e-40,"Pcdha8"
"ENSMUSG00000035357.18",517.189666311793,-2.06343665837552,0.150553147402033,-13.7057025640611,9.38544252659533e-43,1.5648508563855e-40,"Pdzrn3"
"ENSMUSG00000060257.3",48.1597978531428,-4.35434226554144,0.318005780961863,-13.692651285681,1.12334328273508e-42,1.85040353753663e-40,"Scrt2"
"ENSMUSG00000054000.6",75.5784370950534,-1.79328008452728,0.131066971440394,-13.6821661843527,1.29768414945004e-42,2.11213543943821e-40,"Tusc1"
"ENSMUSG00000075044.15",30.3543385072152,-5.19627199521649,0.379998011045862,-13.6744715608244,1.44251403567842e-42,2.32024139950534e-40,"Slc22a29"
"ENSMUSG00000018500.3",128.981407311814,2.40679799880708,0.176620622721437,13.626936434275,2.76965075807975e-42,4.40310060051934e-40,"Adora2b"
"ENSMUSG00000049281.17",1175.21557828812,-2.4270712651796,0.178235074984358,-13.6172482626812,3.16261160565397e-42,4.97002596235644e-40,"Scn3b"
"ENSMUSG00000028152.11",6095.33748938895,1.55545496927448,0.114483644768204,13.5867002873975,4.80248321560204e-42,7.46131255951262e-40,"Tspan5"
"ENSMUSG00000040710.11",250.811816661382,-4.16838502514812,0.307962253405556,-13.5353764269895,9.66859048244268e-42,1.48526931546018e-39,"St8sia4"
"ENSMUSG00000039860.20",85.526562092909,-4.64709635242704,0.34402725004094,-13.5079309905655,1.40412348260755e-41,2.13301958380116e-39,"Srrm3"
"ENSMUSG00000031465.7",1646.67142802794,3.22431322604994,0.238980624353505,13.4919441053952,1.74439321977711e-41,2.62080704404315e-39,"Angpt2"
"ENSMUSG00000071317.5",392.163455123056,-2.12912764551243,0.158025587981449,-13.4733094349403,2.24570251675863e-41,3.33730921838304e-39,"Bves"
"ENSMUSG00000068373.16",248.436776949398,-3.4894976438736,0.25915021049374,-13.4651545805242,2.50792813721213e-41,3.686924031394e-39,"D430041D05Rik"
"ENSMUSG00000048304.9",480.995508378344,-4.98967514274074,0.373689673181356,-13.3524565992467,1.14606120421564e-40,1.66690944511024e-38,"Slitrk3"
"ENSMUSG00000030683.12",483.923193192305,-2.85170674422065,0.214126453665198,-13.3178628581758,1.82250125687359e-40,2.62286707199745e-38,"Sez6l2"
"ENSMUSG00000017453.5",1317.6211914412,1.99668664765976,0.150463539132573,13.2702358270364,3.44494907357772e-40,4.9061816389536e-38,"Pipox"
"ENSMUSG00000050505.8",167.541417472785,-5.16924610733395,0.389684532101359,-13.2652073190049,3.68400612374045e-40,5.1925496622453e-38,"Pcdh20"
"ENSMUSG00000030790.16",2523.02277868816,2.7890772099911,0.210471819483349,13.2515470091793,4.41997143581785e-40,6.16631117045935e-38,"Adm"
"ENSMUSG00000018507.17",178.251401501504,-3.0536897516682,0.230602586565468,-13.2422181257766,5.00485420304048e-40,6.91175420848176e-38,"Trpv2"
"ENSMUSG00000039913.13",259.870548732695,-4.7819464048237,0.361623140041966,-13.2235630835703,6.41515078656768e-40,8.77079415539533e-38,"Pak5"
"ENSMUSG00000021700.11",821.747702099412,-3.85631561832718,0.292706064685476,-13.1747035117668,1.22708546368266e-39,1.66106063955142e-37,"Rab3c"
"ENSMUSG00000052117.6",114.282048737879,4.25590668686396,0.323255957468448,13.1657486537719,1.38161296129955e-39,1.85190317714583e-37,"D630039A03Rik"
"ENSMUSG00000092021.10",43.8329186323454,-5.44072567470218,0.41529847857682,-13.1007599482351,3.25977267203716e-39,4.32695261864971e-37,"Gbp11"
"ENSMUSG00000031099.17",601.702626644899,-4.32320254766132,0.330035167028164,-13.0992178396928,3.32668212999035e-39,4.3733075078104e-37,"Smarca1"
"ENSMUSG00000022032.15",833.137194295734,3.28395532628808,0.250991667117006,13.083921725406,4.06893273967082e-39,5.29813794445518e-37,"Scara5"
"ENSMUSG00000063446.5",691.508323675901,-3.48044444725256,0.266626598217371,-13.0536280720766,6.05917293745604e-39,7.81518984914141e-37,"Plppr1"
"ENSMUSG00000040841.6",173.750616238901,2.03531780916909,0.156098421453955,13.0386828400405,7.37196001800705e-39,9.41957358562546e-37,"Six5"
"ENSMUSG00000104713.5",1448.19805668974,-3.40712406079087,0.261361482910702,-13.0360603362316,7.62988692673866e-39,9.65887167244176e-37,"Gbp6"
"ENSMUSG00000061601.16",727.078275409297,-3.62482773144606,0.278212612227779,-13.0289842089486,8.37147051747085e-39,1.050043531329e-36,"Pclo"
"ENSMUSG00000061878.17",96.6445399298803,3.43176050863247,0.263462886484156,13.0255936782156,8.75177261888696e-39,1.08776577495839e-36,"Sphk1"
"ENSMUSG00000053693.17",229.745053329288,-2.97200680606304,0.229436166495948,-12.9535236377632,2.24412033301229e-38,2.76410929666163e-36,"Mast1"
"ENSMUSG00000034295.12",254.664194294279,-2.56578709911165,0.198246139678256,-12.942431581648,2.59290803801166e-38,3.16519988354424e-36,"Fhod3"
"ENSMUSG00000046844.7",520.704946030429,-5.44661288329301,0.420877032009837,-12.9411026714466,2.63815544941593e-38,3.19193462870926e-36,"Vat1l"
"ENSMUSG00000048015.5",30.9569382857387,-5.70382354368296,0.441046162978953,-12.9324864888467,2.95117694176195e-38,3.5393413287517e-36,"Neurod4"
"ENSMUSG00000061119.8",2495.24180881517,1.17790188960881,0.0911239459331106,12.9263705335308,3.19551220665805e-38,3.79904720777643e-36,"Prcp"
"ENSMUSG00000048486.7",912.298053026566,-0.854396700213429,0.0661141599665445,-12.923051592061,3.33641725689925e-38,3.93237040830402e-36,"Fitm2"
"ENSMUSG00000074771.11",47.801850409892,-1.66207446704597,0.128678392503996,-12.9165000797967,3.63294209263511e-38,4.24526361457326e-36,"Ankef1"
"ENSMUSG00000024818.16",231.365005817753,1.88323088336596,0.145903216181037,12.9073980180756,4.08885463566824e-38,4.73752716769967e-36,"Slc25a45"
"ENSMUSG00000041670.20",293.364613635817,-4.17130348332328,0.324621570693946,-12.8497421610223,8.62973977631039e-38,9.91477329594249e-36,"Rims1"
