"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000016179.12",1104.88950179694,-4.06751439363151,0.206315224729981,-19.7150472000065,1.60166703850595e-86,2.18979917504534e-82,"Camk1g"
"ENSMUSG00000041351.17",2193.63431362118,3.10328606428604,0.159233594060062,19.488890410371,1.3640680187744e-84,9.32476897634178e-81,"Rap1gap"
"ENSMUSG00000022272.18",7300.44598447953,1.81413866019,0.0969210977049686,18.7176858614655,3.55253297685156e-78,1.61900769531715e-74,"Myo10"
"ENSMUSG00000025321.15",4630.68163146987,2.75604962545733,0.149634084830268,18.4185951254592,9.31909430359086e-76,3.18526643296736e-72,"Itgb8"
"ENSMUSG00000025871.19",4239.4692173341,0.837753073236074,0.0459012455186197,18.2512056867006,2.02392771742923e-74,5.53422795053848e-71,"4833439L19Rik"
"ENSMUSG00000038271.18",1586.44726432299,-1.18661184883446,0.0683018449134653,-17.3730570577973,1.32002061791305e-67,3.0078869813512e-64,"Iffo1"
"ENSMUSG00000019873.9",8594.28051861175,1.33744505836975,0.0782286132608649,17.0966223561939,1.5725812038874e-65,3.0714757456498e-62,"Reep3"
"ENSMUSG00000020099.9",2364.03789839803,-3.06517740286462,0.181531452184742,-16.8851037435939,5.79144230338632e-64,9.89757489648722e-61,"Unc5b"
"ENSMUSG00000032396.18",1249.11486793301,0.870104485375629,0.0522293347245303,16.6593063067865,2.59011121943601e-62,3.93466673245879e-59,"Dis3l"
"ENSMUSG00000030231.12",1954.11501589514,-1.44139193877695,0.0880386876238132,-16.3722560805992,3.0181527633508e-60,4.12641845805321e-57,"Plekha5"
"ENSMUSG00000028207.19",7401.68958618809,-1.14610567174169,0.0715673847757769,-16.0143573127966,1.01449532793298e-57,1.26092546577271e-54,"Asph"
"ENSMUSG00000021701.9",16944.984593473,-1.77626076554523,0.111466805231216,-15.9353339486203,3.60270890451155e-57,4.10468634520683e-54,"Plk2"
"ENSMUSG00000006522.18",328.822762395834,5.6205731001888,0.352983990491476,15.9230255524139,4.38642880818399e-57,4.61317343580704e-54,"Itih3"
"ENSMUSG00000031980.11",1582.97426206768,4.56229922129985,0.288496590488308,15.8140490103461,2.4894022802948e-56,2.43107914115647e-53,"Agt"
"ENSMUSG00000037239.9",1456.84837121005,-1.44390847711123,0.0914744831486533,-15.784822470817,3.95761187531677e-56,3.60723130395539e-53,"Spred3"
"ENSMUSG00000024235.12",123.096736027737,-3.05981172092933,0.194689151777002,-15.7163955618547,1.16781121890502e-55,9.97894686554342e-53,"Map3k8"
"ENSMUSG00000033629.7",3966.96178483234,0.858237434484141,0.055273623774264,15.5270701625998,2.27540740440764e-54,1.82996294312125e-51,"Hacd3"
"ENSMUSG00000026970.17",4608.34351309145,-1.45838692053569,0.0949370275419873,-15.3616239974513,2.96064317079025e-53,2.24877296839135e-50,"Rbms1"
"ENSMUSG00000024782.8",4008.77586375357,1.09201485371566,0.0712799342189452,15.3200878435354,5.61415845367724e-53,4.03983023045659e-50,"Ak3"
"ENSMUSG00000041920.15",3026.22681199101,-2.0688196691029,0.135730852026938,-15.2420738410476,1.85875581584144e-52,1.27064547570921e-49,"Slc16a6"
"ENSMUSG00000046152.17",1253.42989375306,0.815653214527196,0.053708276800563,15.1867321596631,4.32972780785502e-52,2.81885898042828e-49,"Fut10"
"ENSMUSG00000011179.9",19518.1832724066,-1.94217932388507,0.128817548257112,-15.0769778664674,2.29537642178783e-51,1.42647211084924e-48,"Odc1"
"ENSMUSG00000030895.10",18.0719202371572,-3.60838224131547,0.239744054277445,-15.0509769770542,3.40173230321074e-51,2.02210800215205e-48,"Hpx"
"ENSMUSG00000020184.16",3513.90333782566,-0.929542355433343,0.0619734356533971,-14.9990450849305,7.44831965239348e-51,4.24305942864682e-48,"Mdm2"
"ENSMUSG00000020681.15",520.176600923676,-2.92033198907256,0.195415606798095,-14.9442106335441,1.69892373223426e-50,9.29107410684273e-48,"Ace"
"ENSMUSG00000024665.9",11292.2283099675,1.22042615318601,0.0823262843837067,14.8242588903666,1.02100518827471e-49,5.17006775336732e-47,"Fads2"
"ENSMUSG00000038872.11",1276.85648941665,-1.49789439077787,0.10103528122441,-14.8254587172464,1.00292441126931e-49,5.17006775336732e-47,"Zfhx3"
"ENSMUSG00000026385.17",13246.6203506588,1.16352963379633,0.0793554898865028,14.6622449872145,1.12491174447882e-48,5.49278334661231e-46,"Dbi"
"ENSMUSG00000025421.16",1874.27076809599,0.644783796115582,0.0443062236475799,14.5528944476134,5.59832560553652e-48,2.63932095444466e-45,"Hdhd2"
"ENSMUSG00000041895.16",5361.65814127208,-1.95800804700794,0.134773947754045,-14.5280900325127,8.04319246465508e-48,3.66555091255881e-45,"Wipi1"
"ENSMUSG00000023830.15",12271.822297278,-1.76070512399129,0.121565006381057,-14.4836509815349,1.53710868984413e-47,6.77914516372546e-45,"Igf2r"
"ENSMUSG00000011658.17",416.576922168796,1.28702174288799,0.0889327849946655,14.4718479575917,1.82502202296797e-47,7.79740659313066e-45,"Fuz"
"ENSMUSG00000020564.18",355.429191851627,-1.98519601739926,0.137240477031933,-14.4650912058353,2.01337929416513e-47,8.3414914272199e-45,"Atxn7l1"
"ENSMUSG00000050627.14",2332.07499033626,1.22498530108103,0.0848506346221558,14.4369609789715,3.02906373399476e-47,1.21803998150519e-44,"Gpd1l"
"ENSMUSG00000027829.16",2383.543215956,-1.26266744875848,0.0881666148674146,-14.3213783432345,1.60900039250725e-46,6.28521524753118e-44,"Ccnl1"
"ENSMUSG00000030307.9",1063.79846597404,5.42783299060975,0.379378532309438,14.3071695637817,1.97384741973779e-46,7.4962338674042e-44,"Slc6a11"
"ENSMUSG00000028654.14",425.433344580672,2.54295122375111,0.178395971916889,14.2545327477227,4.20104676495966e-46,1.55234355055482e-43,"Mycl"
"ENSMUSG00000025203.7",99403.2856780868,1.26047143003332,0.0884745933160033,14.2467049894348,4.69936848790303e-46,1.6907833149108e-43,"Scd2"
"ENSMUSG00000025978.15",2140.94294141679,1.42085770985676,0.0998388783790748,14.2315071335433,5.84092439868472e-46,2.04761841996968e-43,"Rftn2"
"ENSMUSG00000033720.13",1149.11180784029,1.728678884481,0.121629590547088,14.2126506938437,7.64750847289971e-46,2.61391839603712e-43,"Sfxn5"
"ENSMUSG00000095930.2",739.785596056873,1.59216833871182,0.112573253316794,14.1433981145705,2.05134699835492e-45,6.84049174670938e-43,"Nim1k"
"ENSMUSG00000029438.10",2091.18219183074,1.48101728468447,0.104863881167668,14.1232354571776,2.73156454917006e-45,8.89189298006025e-43,"Bcl7a"
"ENSMUSG00000030701.18",1473.90795752067,3.4095428382275,0.24220499258888,14.077095611381,5.25244760110502e-45,1.67003403726297e-42,"Plekhb1"
"ENSMUSG00000037946.12",261.465503764025,2.01156413751228,0.14303130003581,14.0638037758774,6.33856012476406e-45,1.96956350058578e-42,"Fgd3"
"ENSMUSG00000037720.17",4081.19528854601,0.677880277285842,0.0484760962132854,13.9838050139867,1.9573694436795e-44,5.94692334088582e-42,"Tmem33"
"ENSMUSG00000040152.9",3154.86903395345,-5.11816295775739,0.366901951165712,-13.9496749512945,3.16042463055523e-44,9.39333164107631e-42,"Thbs1"
"ENSMUSG00000049866.13",7496.34865810643,-1.74361994101523,0.125094039154436,-13.9384734300779,3.6976463577149e-44,1.07562172346124e-41,"Arl4c"
"ENSMUSG00000056856.15",133.758512937387,-3.76720734278349,0.270727679010089,-13.9151170525238,5.1275922599819e-44,1.46050919538485e-41,"Jakmip3"
"ENSMUSG00000026837.17",6321.96348894957,-2.88814505383904,0.207767011929196,-13.9008836245057,6.25641793471413e-44,1.74566828578391e-41,"Col5a1"
"ENSMUSG00000049184.7",532.125793415966,1.34466065584578,0.0970385084163253,13.8569798504813,1.15429701649968e-43,3.15630976191673e-41,"Purg"
"ENSMUSG00000053646.14",2459.98940098677,1.50980009577108,0.109173459154984,13.8293694040394,1.69499869569971e-43,4.54392591521694e-41,"Plxnb1"
