"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000015568.17",1987.85332437207,-9.25547089881769,0.392211898405022,-23.5981390071444,4.02746513392962e-123,2.75317516555429e-119,"Lpl"
"ENSMUSG00000069516.9",5529.40593784562,-8.19265392363084,0.346870075372364,-23.6187970808264,2.47084399480415e-123,2.75317516555429e-119,"Lyz2"
"ENSMUSG00000050335.18",1132.81667436691,-8.78672544125434,0.383676237063746,-22.9014064266755,4.49864069576413e-116,2.05018051974957e-112,"Lgals3"
"ENSMUSG00000021822.4",315.405648676065,-8.77003918838775,0.400790533496644,-21.8818521282793,3.86811344343042e-106,1.32212117496452e-102,"Plau"
"ENSMUSG00000020120.16",764.729537479798,-4.81554195388313,0.222541849869654,-21.6388151563567,7.7468363954364e-104,2.11829494396813e-100,"Plek"
"ENSMUSG00000040552.9",401.156173878114,-9.41671579742238,0.435723910513564,-21.6116572219399,1.39549157472548e-103,3.17986013494113e-100,"C3ar1"
"ENSMUSG00000040747.10",310.980537279861,-9.50487572180502,0.447537462642791,-21.2381677852776,4.2411214751086e-100,8.28351611538354e-97,"Cd53"
"ENSMUSG00000002944.16",711.233439254425,-9.70377314484102,0.458331678378391,-21.1719451275409,1.73257209667141e-99,2.96096571321144e-96,"Cd36"
"ENSMUSG00000112023.2",377.911469453299,-10.4711389519,0.504269925775323,-20.7649483276252,8.98238786828129e-96,1.36452452150158e-92,"Lilrb4b"
"ENSMUSG00000016256.11",927.855464233835,-8.99867770619343,0.435754535034282,-20.6507953049427,9.60260067055471e-95,1.31286756367824e-91,"Ctsz"
"ENSMUSG00000028581.18",757.809000489139,-7.69521099629551,0.374787247324183,-20.5322114112365,1.11006266191412e-93,1.3797069739718e-90,"Laptm5"
"ENSMUSG00000038642.11",1853.74236077026,-8.68767621394514,0.424307883394506,-20.4749347206157,3.60230400565503e-93,4.10422503044297e-90,"Ctss"
"ENSMUSG00000021998.17",492.607891958179,-7.73721129434713,0.379498132682353,-20.3880088675517,2.13666464187844e-92,2.2471137679817e-89,"Lcp1"
"ENSMUSG00000030579.11",355.656483392569,-8.87349756310754,0.439644777115711,-20.1833344213074,1.37173408797219e-90,1.33959631791113e-87,"Tyrobp"
"ENSMUSG00000020053.19",346.264395124219,-10.3303690913438,0.513486767368707,-20.1180823885303,5.12521681130654e-90,4.67146428294553e-87,"Igf1"
"ENSMUSG00000079293.13",469.727596109297,-8.11103687301707,0.405141505683819,-20.0202565257461,3.66827706888558e-89,3.13454275536273e-86,"Clec7a"
"ENSMUSG00000015340.11",360.135880765026,-9.6133956950934,0.481070168625129,-19.9833544502831,7.68804136198587e-89,6.18299420594535e-86,"Cybb"
"ENSMUSG00000049723.15",997.096541885641,-9.60591300646316,0.48509746034295,-19.8020269981873,2.8595281642511e-87,2.1719705034245e-84,"Mmp12"
"ENSMUSG00000069833.14",401.291120469505,-4.42686914308875,0.224198394704856,-19.7453204288838,8.80048761447225e-87,6.33264561395077e-84,"Ahnak"
"ENSMUSG00000028238.7",303.767933593825,-9.68067639021825,0.49743491395608,-19.4611920446601,2.34272102804259e-84,1.60148409476992e-81,"Atp6v0d2"
"ENSMUSG00000025950.17",5418.07523391404,1.50205354195974,0.0774127230900764,19.4031869956566,7.25323508026475e-84,4.72220142939903e-81,"Idh1"
"ENSMUSG00000026358.14",115.248945919019,-9.87388129176164,0.513336470435119,-19.2347161373363,1.89578345748322e-82,1.17814324685048e-79,"Rgs1"
"ENSMUSG00000112148.2",291.136210873832,-9.82246773122095,0.513635228417611,-19.1234307691115,1.61150523364998e-81,9.57934763237502e-79,"Lilrb4a"
"ENSMUSG00000026395.17",194.724117994106,-7.00557038962535,0.366703186809677,-19.104198277015,2.32978440046292e-81,1.32720051346371e-78,"Ptprc"
"ENSMUSG00000038147.15",278.865376820026,-7.91917314960351,0.416048320655038,-19.0342629844902,8.87320002133897e-81,4.85257562766985e-78,"Cd84"
"ENSMUSG00000071713.7",133.835421715274,-7.94959193602308,0.417889443991299,-19.0231939340124,1.09599091109986e-80,5.76322605252203e-78,"Csf2rb"
"ENSMUSG00000025203.7",99403.2856780868,1.65221758630908,0.0871112486283382,18.9667535745963,3.21136836477614e-80,1.62614178826738e-77,"Scd2"
"ENSMUSG00000018774.14",1065.54906559484,-5.05100904469493,0.267338227183736,-18.8937029242117,1.28507261260922e-79,6.27482598556904e-77,"Cd68"
"ENSMUSG00000020101.15",219.750332139875,-7.41181117806259,0.3924739759591,-18.8848474856203,1.5197627805612e-79,7.1648954261492e-77,"Vsir"
"ENSMUSG00000025044.17",328.910142714573,-10.439248335121,0.55387869810277,-18.8475353373926,3.07855137602407e-79,1.40299848043337e-76,"Msr1"
"ENSMUSG00000022488.10",306.841225269901,-7.10408593034912,0.378331543277725,-18.7774084835801,1.15585512413651e-78,5.09769395393366e-76,"Nckap1l"
"ENSMUSG00000024737.3",233.121884888993,-5.97288430985894,0.318719054665914,-18.7402799500639,2.32401658736542e-78,9.92936086951875e-76,"Slc15a3"
"ENSMUSG00000024030.8",496.925583957709,-7.07916506476184,0.378215750681472,-18.7172666712228,3.58059617786695e-78,1.48345184678173e-75,"Abcg1"
"ENSMUSG00000023992.15",268.199856561545,-9.19339468652766,0.493838548150524,-18.6161949506734,2.375022077006e-77,9.34690313052327e-75,"Trem2"
"ENSMUSG00000024672.12",109.300467174059,-9.48146310235727,0.50932354379977,-18.6157958291532,2.39278532451956e-77,9.34690313052327e-75,"Ms4a7"
"ENSMUSG00000058715.12",210.373592028064,-6.16094612097811,0.332383298108571,-18.5356669725495,1.06461593531298e-76,4.04317474099973e-74,"Fcer1g"
"ENSMUSG00000095115.3",96.1566546820698,-8.88111039637841,0.485130452426238,-18.306643815003,7.32476258842873e-75,2.70659875970264e-72,"Itpripl2"
"ENSMUSG00000059498.14",295.054050455489,-6.21051226718682,0.340018532324461,-18.2652169713516,1.56589286478882e-74,5.63391769668229e-72,"Fcgr3"
