"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000026458.14",143.066324538633,-6.60249938386167,0.257322354158555,-25.6584757490342,3.40066529429795e-145,4.64938959036415e-141,"Ppfia4"
"ENSMUSG00000003469.10",356.934987400063,-8.92634698098502,0.360017346635595,-24.7942135688816,1.03505290664137e-135,7.07562166980038e-132,"Phyhip"
"ENSMUSG00000024617.17",1405.92453022212,-10.1377007199685,0.430383932432306,-23.5550167095586,1.11521900392498e-122,5.08242474055411e-119,"Camk2a"
"ENSMUSG00000070570.6",598.438542275801,-8.29425491906777,0.36501628826203,-22.7229720584789,2.65614499547812e-114,9.07870359454421e-111,"Slc17a7"
"ENSMUSG00000027438.15",781.594453162312,-4.72808845746205,0.209035096305962,-22.6186345786719,2.8413797658073e-113,7.76946883162349e-110,"Napb"
"ENSMUSG00000030235.18",94.5860357562306,-6.502000116193,0.294215051067886,-22.0994816294859,3.19716094985412e-108,7.28526408440091e-105,"Slco1c1"
"ENSMUSG00000004187.12",331.517565050543,-5.30170232405882,0.246077785774784,-21.5448229403001,5.92095083731512e-103,1.1564462835396e-99,"Kifc2"
"ENSMUSG00000024403.17",414.571279392465,-4.91793744955558,0.228907605325631,-21.484377692736,2.17965103953513e-102,3.72502362656553e-99,"Atp6v1g2"
"ENSMUSG00000036564.18",1940.35771621717,-4.52358847565139,0.210837073869866,-21.4553749614428,4.06817665591591e-102,6.18001235996471e-99,"Ndrg4"
"ENSMUSG00000046447.4",1977.09651674641,-5.80819414319386,0.271213360366129,-21.4155900555673,9.56252291544733e-102,1.30738813299996e-98,"Camk2n1"
"ENSMUSG00000004267.17",845.131914745967,-5.87780263796081,0.274842835422586,-21.3860500635695,1.80186261091374e-101,2.23955141967387e-98,"Eno2"
"ENSMUSG00000027347.20",367.082270303802,-8.6699950708732,0.40846385344017,-21.2258563342941,5.51130764771285e-100,6.27921651329417e-97,"Rasgrp1"
"ENSMUSG00000059213.8",576.10987940815,-10.1230736926281,0.478647497837276,-21.1493295971842,2.79891022389863e-99,2.94359235239554e-96,"Ddn"
"ENSMUSG00000028528.18",359.887030338726,-7.83315119389917,0.371867677651143,-21.0643507480304,1.68925615723255e-98,1.64967929869167e-95,"Dnajc6"
"ENSMUSG00000030806.7",1161.47022619832,-3.99173963506117,0.190283321100871,-20.9778745292401,1.04459045992428e-97,9.52109384538983e-95,"Stx1b"
"ENSMUSG00000027221.6",197.73157368551,-8.73306179657169,0.416545018464995,-20.9654692997021,1.35577354243747e-97,1.15850849201282e-94,"Chst1"
"ENSMUSG00000058297.17",809.2220933082,-10.3880077520318,0.495946021182151,-20.9458435159347,2.04741019311051e-97,1.6465995388357e-94,"Spock2"
"ENSMUSG00000030134.12",224.19728810642,-8.42530340144753,0.410805362782769,-20.5092342134364,1.78075890429266e-93,1.35258531886051e-90,"Rasgef1a"
"ENSMUSG00000054942.14",121.683687825906,-6.07106559463191,0.29758213924527,-20.4013104080419,1.62794182940095e-92,1.17143266797736e-89,"Miga1"
"ENSMUSG00000032936.14",231.235820901487,-8.01775414602868,0.397238689656063,-20.1837191462156,1.36109785812585e-90,9.30446495814831e-88,"Camkv"
"ENSMUSG00000026678.11",339.718167274082,-8.96917288873776,0.451110662275925,-19.8824227374429,5.77755140146511e-88,3.76146108384909e-85,"Rgs5"
"ENSMUSG00000022658.11",150.710924190886,-7.09333467010844,0.358647470709562,-19.7780139256934,4.60472570856191e-87,2.8616277221572e-84,"Tagln3"
"ENSMUSG00000038068.16",70.7390200634206,-4.87346762654201,0.247646365682741,-19.6791405079023,3.25475217500598e-86,1.93473790159486e-83,"Rnf144b"
"ENSMUSG00000020717.20",98.3289011769881,-4.21502209956237,0.214949321169582,-19.6093761851752,1.28599487265175e-85,7.32588412453946e-83,"Pecam1"
"ENSMUSG00000026259.15",299.549080661725,-5.69965925330706,0.293505652325057,-19.4192486862048,5.30604907293366e-84,2.90177211700596e-81,"Ngef"
"ENSMUSG00000095115.3",96.1566546820698,-11.1405090335355,0.575082841317238,-19.3720073581364,1.32970954011301e-83,6.99222647400964e-81,"Itpripl2"
"ENSMUSG00000037820.16",241.724591136578,-6.54216219677337,0.339280238960265,-19.2824734408996,7.53841633539145e-83,3.81723067175822e-80,"Tgm2"
"ENSMUSG00000037754.14",187.743450820539,-7.82231535465495,0.406045567636854,-19.264624411935,1.06434792439352e-82,5.19705886511006e-80,"Ppp1r16b"
"ENSMUSG00000049422.8",121.024453132851,-9.99189903374057,0.522691538683687,-19.1162440832762,1.84956556508327e-81,8.71974496752362e-79,"Chchd10"
"ENSMUSG00000040907.16",2976.03910906327,-5.56663505942439,0.291311116805511,-19.1089002042475,2.12908725139205e-81,9.70296030034404e-79,"Atp1a3"
"ENSMUSG00000015981.13",160.762708186064,-5.04693252093396,0.264248759936464,-19.0991720155941,2.56522835852361e-81,1.1313484554108e-78,"Stk32c"
"ENSMUSG00000027419.10",428.446899419737,-6.39364284764231,0.335313678356002,-19.0676469835334,4.68935764283547e-81,2.00352805290146e-78,"Pcsk2"
"ENSMUSG00000021866.16",64.3453330289661,-8.33817480706704,0.439729917620186,-18.9620366341985,3.5127472068639e-80,1.45534181249222e-77,"Anxa11"
"ENSMUSG00000004933.18",80.6822927652311,-5.29494270495631,0.279594171445134,-18.9379581040206,5.55084489714106e-80,2.23209268922684e-77,"Matk"
"ENSMUSG00000074657.6",2893.73648390231,-10.0948649715276,0.536219971032407,-18.8259772423089,4.62595041463742e-79,1.80702840196922e-76,"Kif5a"
"ENSMUSG00000011382.9",46.6918052070129,-7.54070989681969,0.401207430048333,-18.7950405003997,8.29168485540043e-79,3.14899764841763e-76,"Dhdh"
"ENSMUSG00000005686.18",312.029550448236,-3.86882509364659,0.206482789608073,-18.7367920638327,2.48144225881596e-78,9.16926447635994e-76,"Ampd3"
"ENSMUSG00000034116.18",82.84895280221,-11.148577156172,0.597556046656552,-18.6569564788952,1.10868725595594e-77,3.9889400430078e-75,"Vav1"
"ENSMUSG00000023800.16",80.0485867664976,-6.7187437583818,0.360481349152833,-18.6382562486839,1.57284853763266e-77,5.51384236064454e-75,"Tiam2"
"ENSMUSG00000025855.14",865.233885508689,-6.78130630015737,0.364515711140829,-18.6036049829892,3.00409825240213e-77,1.02680078267105e-74,"Prkar1b"
"ENSMUSG00000025738.9",1296.1202684911,-4.30204769324095,0.231282245243376,-18.6008558015941,3.16219147478884e-77,1.05447516691007e-74,"Fbxl16"
"ENSMUSG00000029120.11",704.413008329296,-7.14585715888231,0.384195025280341,-18.5995567060456,3.2397565305635e-77,1.05461788775867e-74,"Ppp2r2c"
"ENSMUSG00000033192.6",124.732491876059,-6.24699136564963,0.336806330085059,-18.5477255254436,8.50765681351201e-77,2.70503916172875e-74,"Lpcat2"
"ENSMUSG00000102543.6",277.997420585862,-5.52575261159814,0.299490529680262,-18.4505086604824,5.16565851274321e-76,1.60511098150512e-73,"Pcdhgc5"
"ENSMUSG00000038642.11",1853.74236077026,-10.9025156618257,0.594068511745443,-18.3522867249652,3.16506970198685e-75,9.6161851034587e-73,"Ctss"
"ENSMUSG00000015396.5",65.1646080392974,-11.2339845232801,0.612369578553662,-18.3451054995471,3.61224797066943e-75,1.07362291858679e-72,"Cd83"
"ENSMUSG00000031066.11",154.900736672262,-5.44377722363267,0.296835858112504,-18.339351782659,4.01556526212438e-75,1.16810230348435e-72,"Usp11"
"ENSMUSG00000030774.14",832.20600974492,-5.38710382658329,0.294534809366717,-18.2902110557532,9.90309319623834e-75,2.82073104539522e-72,"Pak1"
"ENSMUSG00000034265.9",336.343660529743,-2.31164557322235,0.126683871030602,-18.2473550454101,2.17172378763716e-74,6.05955257644393e-72,"Zdhhc14"
"ENSMUSG00000061718.13",206.334993883704,-9.30764885093089,0.51221399904459,-18.171406615774,8.69406982280098e-74,2.3773064523467e-71,"Ppp1r1b"
"ENSMUSG00000056413.17",238.821885964648,-5.2808844742817,0.290842269752889,-18.1572110504039,1.1260157822706e-73,3.01860544611836e-71,"Adap1"
"ENSMUSG00000044349.17",409.397694845162,-10.0143132968913,0.551790334656244,-18.1487653333581,1.31319489345151e-73,3.45269241985944e-71,"Snhg11"
"ENSMUSG00000020101.15",219.750332139875,-9.54068362616346,0.527020649532989,-18.1030546613644,3.01475107437782e-73,7.77692012997991e-71,"Vsir"
"ENSMUSG00000055541.20",141.419421718387,-7.92584818752919,0.439199475103751,-18.046123997887,8.46251489016057e-73,2.14258339959769e-70,"Lair1"
"ENSMUSG00000054675.6",161.4849698463,-7.0370779424291,0.391194698110409,-17.9886843467469,2.3896415640581e-72,5.94021444796406e-70,"Tmem119"
"ENSMUSG00000017740.18",416.899528007262,-5.62500883805823,0.313610991049831,-17.9362617975479,6.14526977620773e-72,1.500323721077e-69,"Slc12a5"
