"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000030847.9",1715.88619752825,4.01469322705634,0.137682675390141,29.1590297448842,6.41844505363499e-187,8.77786545535121e-183,"Bag3"
"ENSMUSG00000020122.17",35370.995335394,7.05609966476739,0.262409247915841,26.8896760339422,2.90019835849147e-159,1.98315563753647e-155,"Egfr"
"ENSMUSG00000001761.8",3471.52222700335,4.44442046542643,0.168559354562297,26.3670947065939,3.26851636900615e-153,1.49000766208427e-149,"Smo"
"ENSMUSG00000004044.10",2699.32926373103,5.20315192364786,0.201485115144482,25.8240015393532,4.76782998452798e-147,1.63012107171012e-143,"Cavin1"
"ENSMUSG00000014932.16",921.20039965587,6.66808175884745,0.258405800300389,25.8046907271276,7.85486511026765e-147,2.14846270496041e-143,"Yes1"
"ENSMUSG00000035413.9",987.974096483615,5.2476733554087,0.232386697123942,22.5816426686846,6.56624750978513e-113,1.49666668239702e-109,"Tmem98"
"ENSMUSG00000019960.9",15312.4842334463,3.76971689465678,0.167674613269313,22.4823354063862,6.18012049885707e-112,1.20741897060528e-108,"Dusp6"
"ENSMUSG00000029070.10",8045.13236330197,5.60922225957805,0.259682067993679,21.6003450023149,1.78279064597191e-103,3.04768060928899e-100,"Mxra8"
"ENSMUSG00000090523.3",260.554343410107,4.60993778583698,0.214323437851389,21.5092564399489,1.27532180863455e-102,1.93792233943179e-99,"Gypc"
"ENSMUSG00000091387.3",399.66890261622,8.20710966279064,0.383275288535061,21.4130936908547,1.0088797747539e-101,1.37974397995344e-98,"Gcnt4"
"ENSMUSG00000033065.15",4032.58362180643,2.72246786083181,0.127708343626109,21.3178542883804,7.75326369239628e-101,9.63942129611014e-98,"Pfkm"
"ENSMUSG00000006589.9",398.832053183507,5.32513480921102,0.253714141315394,20.9887189638014,8.31568522357611e-98,9.47710925980224e-95,"Aprt"
"ENSMUSG00000056758.15",935.354432628864,6.29889581984196,0.301271046605663,20.9077370388222,4.55321988089657e-97,4.78998731470319e-94,"Hmga2"
"ENSMUSG00000059901.13",596.717135825279,5.89758297992253,0.288171994743145,20.4654966044816,4.3720534947404e-93,4.27087168529069e-90,"Adamts14"
"ENSMUSG00000034485.11",1511.80451105771,4.46292543427527,0.219091247888947,20.3701675775631,3.07623535391635e-92,2.804706313344e-89,"Uaca"
"ENSMUSG00000024538.9",4911.15128499811,2.69789806909238,0.134221167855624,20.1003918546917,7.32132551059628e-90,6.25790298018217e-87,"Ppic"
"ENSMUSG00000020019.5",1305.52985304779,6.83277302013569,0.345238037180571,19.7914838003842,3.52509585908093e-87,2.83583593934064e-84,"Ntn4"
"ENSMUSG00000032402.13",961.308901384911,5.4221565859757,0.275707572166422,19.6663317709054,4.19019305502297e-86,3.18361556780523e-83,"Smad3"
"ENSMUSG00000017009.4",7843.12061866563,4.28718956526821,0.220795677343299,19.4169995393632,5.54356024352056e-84,3.99019631002037e-81,"Sdc4"
"ENSMUSG00000022801.14",3162.64837330155,-1.73612734889162,0.0904395611856794,-19.1965476847816,3.95523029989876e-82,2.70458647907077e-79,"Lrch3"
"ENSMUSG00000028885.9",459.971461473597,3.95036750091625,0.206201934237911,19.1577616161369,8.33827973906529e-82,5.43020541483128e-79,"Smpdl3b"
"ENSMUSG00000009614.17",2317.52672233868,3.08460298940469,0.161956120380974,19.045918006363,7.10297726953701e-81,4.41546896082673e-78,"Sardh"
"ENSMUSG00000046768.14",2865.57196581095,3.12661852638946,0.165854063015051,18.851624552036,2.84955670636805e-79,1.69437119636041e-76,"Rhoj"
"ENSMUSG00000027803.15",6776.40376148138,3.33833720754172,0.178749496884266,18.6760649161613,7.75281517496584e-78,4.41781251386803e-75,"Wwtr1"
"ENSMUSG00000060591.10",3747.40034868531,3.69030286337719,0.19803465439421,18.6346317752611,1.68308598728612e-77,9.20715358485001e-75,"Ifitm2"
"ENSMUSG00000000555.9",3695.41366384324,5.04894494904606,0.273365658614148,18.469565543244,3.62993763146879e-76,1.90934719415258e-73,"Itga5"
"ENSMUSG00000032714.7",2141.34352277351,2.03921622795077,0.110490797754915,18.455982483483,4.66798674458696e-76,2.36442173033227e-73,"Syde1"
"ENSMUSG00000053110.14",3537.77660272038,3.35403632681457,0.186277680771658,18.0055727176784,1.76168108214316e-72,8.60455374263925e-70,"Yap1"
"ENSMUSG00000034487.5",2055.50050826797,1.9030762390326,0.105786673702057,17.9897540250913,2.34395952260555e-72,1.1053789803846e-69,"Poglut3"
"ENSMUSG00000062312.6",612.171882925005,4.91193179917337,0.273150337121513,17.9825214602912,2.6706641322476e-72,1.21746675575394e-69,"Erbb2"
"ENSMUSG00000052056.15",1111.83280215804,4.49742583891244,0.251890442970311,17.8546902608866,2.65750902206315e-71,1.17239010921728e-68,"Zfp217"
"ENSMUSG00000031465.7",1646.67142802794,6.67594526552303,0.375415349572437,17.7828244719517,9.6018561350684e-71,4.10359326572486e-68,"Angpt2"
"ENSMUSG00000023905.16",662.448870295281,3.73796637553881,0.210486011615622,17.7587401027147,1.47508592948555e-70,6.11311368837709e-68,"Tnfrsf12a"
"ENSMUSG00000048285.10",824.425512700807,4.95732828716488,0.284815203379048,17.405420175437,7.50533036912138e-68,3.01890876847365e-65,"Frmd6"
"ENSMUSG00000001473.8",5710.63343568553,3.30803272153445,0.190565591499606,17.3590242367615,1.68563894129542e-67,6.58651376033033e-65,"Tubb6"
"ENSMUSG00000036206.13",6441.27167675383,-2.49226193994462,0.143917030127567,-17.3173524893857,3.48004431307084e-67,1.32203016737658e-64,"Sh3bp4"
"ENSMUSG00000037347.8",3348.35814321933,4.21140840820854,0.243479083844489,17.2967974978023,4.97274335913223e-67,1.8380334643106e-64,"Chst7"
"ENSMUSG00000074890.5",329.719166671989,-2.0946549865219,0.121638310315093,-17.2203558327626,1.86835967660441e-66,6.72412814137944e-64,"Lcmt2"
"ENSMUSG00000046186.9",3284.27620148294,4.28327969609643,0.249197907271199,17.1882651142611,3.25116186256101e-66,1.14007409313806e-63,"Cd109"
"ENSMUSG00000022114.6",9104.12668040287,2.69705807826631,0.157197650909422,17.1571143885628,5.56087821032557e-66,1.85489196108323e-63,"Spry2"
"ENSMUSG00000027259.16",443.461493502615,-2.97907057086008,0.173621727525773,-17.1583972427521,5.43941152636958e-66,1.85489196108323e-63,"Adal"
"ENSMUSG00000020282.19",1126.81823415646,3.5571266951897,0.208183199479938,17.0865214103528,1.87001490502902e-65,6.08912472408972e-63,"Rhbdf1"
"ENSMUSG00000056313.6",2024.02945976369,5.81916259211762,0.342477395093237,16.9913771696768,9.51291561314869e-65,3.02554962617259e-62,"Tcim"
"ENSMUSG00000027800.15",1418.20749251837,4.11410801795971,0.243613483755603,16.8878501901276,5.52808817181647e-64,1.71823031449459e-61,"Tm4sf1"
"ENSMUSG00000024427.8",13320.8689532581,3.01748745566947,0.180690208496008,16.69978401589,1.31540077567415e-62,3.99764911291549e-60,"Spry4"
"ENSMUSG00000000184.13",17200.0366185925,4.69932317513862,0.281793869928469,16.6764563627005,1.94414845462816e-62,5.7800378838032e-60,"Ccnd2"
"ENSMUSG00000040852.7",743.61242573977,3.46516658771327,0.208066890917802,16.6540989411055,2.8256792355204e-62,8.22212536701637e-60,"Plekhh2"
"ENSMUSG00000023959.11",5661.20165253278,4.99133048090423,0.301253383909022,16.5685457741168,1.17636426207848e-61,3.35165784337194e-59,"Clic5"
"ENSMUSG00000070436.13",16699.3914780633,6.69422391567997,0.405700963610962,16.5003894890899,3.64533729400853e-61,1.01742107822165e-58,"Serpinh1"
"ENSMUSG00000021009.16",754.662972878201,1.36670063463801,0.0829007030324282,16.4859957110785,4.62610221339794e-61,1.26533147740861e-58,"Ptpn21"
"ENSMUSG00000023805.18",1202.47688066179,3.39550255826566,0.208315224456909,16.2998291033118,9.89684597002087e-60,2.60287049011549e-57,"Synj2"
"ENSMUSG00000029231.16",12587.4744683864,-5.60688145155665,0.343964342584514,-16.3007636472638,9.74667172132615e-60,2.60287049011549e-57,"Pdgfra"
"ENSMUSG00000052560.16",1820.32031868694,3.36800333890411,0.206758283739558,16.2895690464649,1.17051118481255e-59,3.02036055915027e-57,"Cpne8"
"ENSMUSG00000021771.15",11553.8924431155,1.60470836312126,0.0991188740517916,16.1897355924641,5.95840552642151e-59,1.50902136998779e-56,"Vdac2"
"ENSMUSG00000025582.5",11007.2871592648,3.5858884844089,0.222794556942243,16.0950452902604,2.76369188793705e-58,6.87204550171401e-56,"Nptx1"
"ENSMUSG00000063605.6",301.389699852748,4.63621454427028,0.290669756086434,15.9501098658907,2.84396167650645e-57,6.94536069426826e-55,"Ccdc102a"
"ENSMUSG00000000732.10",245.837529118116,4.8297036187758,0.304643533995316,15.8536226107791,1.32705338735961e-56,3.18399686412808e-54,"Icosl"
"ENSMUSG00000029163.10",1576.77074847655,3.21489678769209,0.204411797001479,15.7275501455957,9.79273135194422e-56,2.30905851671016e-53,"Emilin1"
"ENSMUSG00000001017.17",6301.62976418141,-0.950061643614634,0.060842238401817,-15.6151658546846,5.73956760017221e-55,1.33041231355856e-52,"Chtop"
"ENSMUSG00000049521.3",2667.38766476484,2.1863838223911,0.140231938159071,15.5911973484314,8.35527097667808e-55,1.90444476461749e-52,"Cdc42ep1"
"ENSMUSG00000022003.8",1511.64676992544,1.89389567857977,0.122333637890777,15.481397522656,4.63297962951689e-54,1.03869884284054e-51,"Slc25a30"
"ENSMUSG00000001555.11",3505.8292805364,3.61914898813856,0.234845364428662,15.4107746471527,1.38541094649748e-53,3.05594840391928e-51,"Fkbp10"
"ENSMUSG00000029378.6",553.95842546061,6.13649934852949,0.399044139545146,15.3779964179508,2.29954007910328e-53,4.99182700346292e-51,"Areg"
"ENSMUSG00000017724.15",2660.15370082001,3.01963144183922,0.196634434153295,15.3565750314369,3.20041376151777e-53,6.83888415664329e-51,"Etv4"
"ENSMUSG00000072941.6",851.662685991448,4.36630253088296,0.285480174734458,15.2945910690447,8.30810229315651e-53,1.74802472248013e-50,"Sod3"
"ENSMUSG00000012422.15",7558.95323272875,-1.77299803871464,0.117119981651932,-15.138305297757,9.0516271381e-52,1.8756068597069e-49,"Tmem167"
"ENSMUSG00000033446.8",618.51873289062,2.49543828650696,0.167394329031166,14.9075437677602,2.94384076514439e-50,6.00895019464398e-48,"Lpar6"
"ENSMUSG00000002602.17",2945.77599633701,3.24760896772822,0.218763268643758,14.8453119569024,7.46069395840855e-50,1.50047721434111e-47,"Axl"
"ENSMUSG00000061524.9",708.928230582691,1.98065375706643,0.133513247081324,14.8348856788719,8.7152273391031e-50,1.72738332013875e-47,"Zic2"
"ENSMUSG00000052395.18",699.658235856949,1.28652939318582,0.0867519539967058,14.8299759707392,9.37665171751057e-50,1.83192984126678e-47,"Rft1"
"ENSMUSG00000037940.18",2042.11246261294,3.35553030394419,0.226532804940614,14.8125579640611,1.21526154046489e-49,2.34083335597152e-47,"Inpp4b"
"ENSMUSG00000043556.11",121.12692912131,-5.79244602812941,0.391315743004485,-14.8024865640609,1.41165938358609e-49,2.68136857360047e-47,"Fbxl7"
"ENSMUSG00000029641.10",550.135832164455,4.07177599835057,0.276718198174201,14.7145219404301,5.20124969624521e-49,9.74414943093829e-47,"Rasl11a"
"ENSMUSG00000041025.16",2150.44603263057,2.10291335199549,0.143566580115884,14.6476523317479,1.3945138853481e-48,2.57721241838117e-46,"Iffo2"
"ENSMUSG00000079584.3",402.283215698964,9.19536546429024,0.631883065268076,14.5523214178704,5.64542591242153e-48,1.02942459704369e-45,"Tm9sf5"
"ENSMUSG00000034248.8",1497.01256173092,1.75778961460611,0.121880275997955,14.4222648021868,3.74837582383871e-47,6.65750490478158e-45,"Slc25a37"
"ENSMUSG00000047446.19",3568.99867030638,-1.91471309403334,0.132754856080296,-14.4229232027131,3.71278239466005e-47,6.65750490478158e-45,"Arl4a"
"ENSMUSG00000033377.15",389.766365197526,4.53569014156039,0.315041688306643,14.3971109536006,5.39520684297222e-47,9.33985427651748e-45,"Palmd"
"ENSMUSG00000061911.16",595.135272745769,-8.93991293854549,0.620923853285144,-14.3977605164414,5.34474698756661e-47,9.33985427651748e-45,"Myt1l"
"ENSMUSG00000026637.15",218.03234201177,2.40354715047185,0.167074732138546,14.3860601762253,6.33006033579095e-47,1.08212381440346e-44,"Traf5"
"ENSMUSG00000037211.13",4658.75793385687,2.372565789565,0.164941873042967,14.3842539544034,6.49749636898268e-47,1.09703407829885e-44,"Spry1"
"ENSMUSG00000020205.9",3634.99938793077,3.16400796801766,0.220012917950247,14.381009976574,6.80935421285732e-47,1.13566741725654e-44,"Phlda1"
"ENSMUSG00000039323.19",51018.94377338,3.58797915339761,0.249657464825652,14.3716077382395,7.79992873406396e-47,1.28520271526577e-44,"Igfbp2"
