"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000070570.6",598.438542275801,-9.88755505215719,0.598154746459804,-16.5300954488399,2.22790575953139e-61,3.04688391673514e-57,"Slc17a7"
"ENSMUSG00000030235.18",94.5860357562306,-7.62340153915158,0.509586991869864,-14.9599610287902,1.34104547977242e-50,6.11337932712255e-47,"Slco1c1"
"ENSMUSG00000049176.17",92.7117897707924,-10.4306307123456,0.69702189237011,-14.9645668615629,1.25135966677712e-50,6.11337932712255e-47,"Frmpd4"
"ENSMUSG00000027350.9",506.263090657125,-7.16082345188882,0.481063543691145,-14.8854003713203,4.10024602904174e-50,1.40187411732937e-46,"Chgb"
"ENSMUSG00000032936.14",231.235820901487,-9.25126614782318,0.622667932221402,-14.85746361599,6.22372418953449e-50,1.70231304032147e-46,"Camkv"
"ENSMUSG00000027438.15",781.594453162312,-4.81215294501415,0.324199112613392,-14.8432020872082,7.69914092021323e-50,1.75489085374727e-46,"Napb"
"ENSMUSG00000045967.12",209.606225571822,-8.06546939326942,0.54458189696979,-14.8103883697714,1.25513027951457e-49,2.45216595752019e-46,"Gpr158"
"ENSMUSG00000035864.15",1615.85667219773,-10.7426643923537,0.735680677055568,-14.6023468162156,2.71341647954827e-48,4.63858547178777e-45,"Syt1"
"ENSMUSG00000040907.16",2976.03910906327,-5.76265101995478,0.395232906247514,-14.5803927984324,3.74356551428341e-48,5.68855577481554e-45,"Atp1a3"
"ENSMUSG00000027834.16",573.601668190256,-7.86095626231062,0.550199253861771,-14.2874716880033,2.61948061439684e-46,3.58240168824912e-43,"Serpini1"
"ENSMUSG00000053025.14",361.710074682501,-10.190881954247,0.713910631899982,-14.274730615967,3.14500732508787e-46,3.9101018343547e-43,"Sv2b"
"ENSMUSG00000003469.10",356.934987400063,-8.61803283862595,0.605619022252882,-14.2301224399576,5.95773725718451e-46,6.78983456077128e-43,"Phyhip"
"ENSMUSG00000066129.18",204.005823373952,-6.71874237114003,0.482399574630001,-13.9277535149016,4.29658253179926e-44,4.52000482345282e-41,"Kndc1"
"ENSMUSG00000028528.18",359.887030338726,-7.75558960112127,0.557430606015208,-13.913103294708,5.27405291960622e-44,5.15199626632391e-41,"Dnajc6"
"ENSMUSG00000056296.18",169.050218507843,-9.72264622938023,0.700153437685456,-13.8864507493115,7.65348948959811e-44,6.97794148398292e-41,"Synpr"
"ENSMUSG00000036306.14",263.413500802436,-6.76532169555847,0.490850485666834,-13.7828562731635,3.23226159009037e-43,2.76277559412974e-40,"Lzts1"
"ENSMUSG00000021057.16",135.796734905763,-6.9223252493207,0.503322138353648,-13.7532699673482,4.86786290944617e-43,3.91605253821093e-40,"Akap5"
"ENSMUSG00000027347.20",367.082270303802,-9.63997867106391,0.701943367155888,-13.7332712610746,6.41694914257397e-43,4.87545535965787e-40,"Rasgrp1"
"ENSMUSG00000074657.6",2893.73648390231,-9.67735957763273,0.707988839703919,-13.6688024371681,1.5594044578506e-42,1.1224429139771e-39,"Kif5a"
"ENSMUSG00000090071.5",270.967975889753,-5.39162257154053,0.396646820915861,-13.5930058864237,4.4060643661739e-42,3.01286681358971e-39,"Cdk5r2"
"ENSMUSG00000026204.16",725.083383209547,-7.94596544904928,0.589362245291177,-13.4823116216471,1.98779873539756e-41,1.294530262157e-38,"Ptprn"
"ENSMUSG00000008658.18",436.12133944792,-7.04585640746497,0.522822638426558,-13.4765710005779,2.14862809705959e-41,1.33566535706304e-38,"Rbfox1"
"ENSMUSG00000025738.9",1296.1202684911,-4.27141014399202,0.318686512035611,-13.4031720285505,5.79331539521055e-41,3.44475571064781e-38,"Fbxl16"
"ENSMUSG00000058297.17",809.2220933082,-8.72387564246338,0.653367079323192,-13.3521812141197,1.15030652818715e-40,6.55483003311977e-38,"Spock2"
"ENSMUSG00000017740.18",416.899528007262,-6.97102303614619,0.522316670917573,-13.346353705119,1.24390198813416e-40,6.80464143588912e-38,"Slc12a5"
"ENSMUSG00000026959.14",381.143039960514,-6.94512170194676,0.521897633802679,-13.3074404866388,2.09537717533902e-40,1.10216839422833e-37,"Grin1"
"ENSMUSG00000035033.16",68.6005011810349,-8.93003467773805,0.674415768337075,-13.2411415880104,5.07711835547197e-40,2.57165446775684e-37,"Tbr1"
"ENSMUSG00000011751.18",127.297201423004,-5.87718863585517,0.44878756684166,-13.0957028894892,3.48433670778819e-39,1.70184960056112e-36,"Sptbn4"
"ENSMUSG00000046447.4",1977.09651674641,-4.48419830424058,0.346148811839045,-12.9545390620196,2.21462323894754e-38,1.04438577296022e-35,"Camk2n1"
"ENSMUSG00000059213.8",576.10987940815,-9.49077097846197,0.733531993022079,-12.9384554030983,2.73064339429256e-38,1.2448093020115e-35,"Ddn"
"ENSMUSG00000036564.18",1940.35771621717,-4.5634129838381,0.353907732192919,-12.8943579603695,4.84279520443448e-38,2.13645378115632e-35,"Ndrg4"
"ENSMUSG00000043419.12",358.891765697858,-3.35688964827331,0.260544622915899,-12.8841256085215,5.52986785229969e-38,2.36332727337658e-35,"Rnf227"
"ENSMUSG00000020154.11",163.839503207096,-5.31892259553229,0.417085346725448,-12.7526000069083,3.01518519152035e-37,1.24956583876462e-34,"Ptprb"
"ENSMUSG00000102543.6",277.997420585862,-5.55515527565041,0.438128650126912,-12.6792787324939,7.70374849443986e-37,3.0987195414694e-34,"Pcdhgc5"
"ENSMUSG00000056486.19",2077.5054871075,-4.12156134233227,0.32548410349107,-12.6628652463371,9.4968787174603e-37,3.71083752399963e-34,"Chn1"
"ENSMUSG00000031840.15",1338.19173969075,-3.47407320856258,0.276532906885431,-12.5629649204892,3.37446352686307e-36,1.28192119981609e-33,"Rab3a"
"ENSMUSG00000024617.17",1405.92453022212,-8.74359767190619,0.700002419899781,-12.4908106362804,8.37954627504649e-36,3.0157546015141e-33,"Camk2a"
"ENSMUSG00000045038.15",1711.52245703686,-3.60313682086306,0.288429870353114,-12.4922457457401,8.22973322990089e-36,3.0157546015141e-33,"Prkce"
"ENSMUSG00000053310.12",519.026287129591,-11.8248230150053,0.956496780757915,-12.3626375466057,4.16270556068204e-35,1.45972208327917e-32,"Nrgn"
"ENSMUSG00000038453.18",497.095133921269,-8.4444330230013,0.685024623026261,-12.3271963359448,6.46574641204601e-35,2.17153321952866e-32,"Srcin1"
"ENSMUSG00000049044.17",1652.34205346942,-3.59369677775832,0.291538928546718,-12.32664466345,6.51015369996161e-35,2.17153321952866e-32,"Rapgef4"
"ENSMUSG00000032174.6",145.819387046969,-5.80354268796861,0.472912577503927,-12.2719144383941,1.28186136404811e-34,4.17398476540998e-32,"Icam5"
"ENSMUSG00000019852.8",214.684547502031,-6.99961653303987,0.57095540899736,-12.2594802023712,1.49455496354201e-34,4.75337992590709e-32,"Arfgef3"
"ENSMUSG00000026090.17",202.814917005973,-6.44184069039013,0.527623436415036,-12.2091632891813,2.77730588715697e-34,8.63237166199062e-32,"Cracdl"
"ENSMUSG00000007207.11",239.570859706273,-3.77596477509766,0.309594120634558,-12.1965002673768,3.24472401679188e-34,9.86107681192127e-32,"Stx1a"
"ENSMUSG00000032589.15",639.044894713131,-5.17646376361986,0.425979378529233,-12.1519116288974,5.60397565979624e-34,1.66608632876899e-31,"Bsn"
"ENSMUSG00000026163.18",223.704640403602,-12.0812558121223,0.996181269998431,-12.1275677188162,7.54574621999028e-34,2.19565160222526e-31,"Sphkap"
"ENSMUSG00000045573.10",314.295716343406,-11.0141808793543,0.912044804404833,-12.0763594355891,1.4081759012234e-33,4.01212783856901e-31,"Penk"
"ENSMUSG00000044349.17",409.397694845162,-10.407327196928,0.863510057711901,-12.0523520299288,1.88493353067735e-33,5.26088795215171e-31,"Snhg11"
"ENSMUSG00000037996.18",523.585399695611,-8.74517610574314,0.726242655267055,-12.0416723560906,2.14561323716881e-33,5.86868132630414e-31,"Slc24a2"
"ENSMUSG00000027674.17",235.08662985096,-6.63505777073317,0.552042920067379,-12.0190976634993,2.82034450395251e-33,7.56294734040284e-31,"Pex5l"
"ENSMUSG00000028833.14",2674.85599554795,-3.12260310036414,0.259976067439199,-12.0111175275564,3.10618880807284e-33,8.16927656523158e-31,"Ncdn"
"ENSMUSG00000048251.16",459.849721502097,-6.10980035106412,0.508989092152197,-12.0037942762773,3.39373755926161e-33,8.75712355857768e-31,"Bcl11b"
"ENSMUSG00000035390.17",1689.70326061117,-2.71316911812995,0.226182290973283,-11.9954975540081,3.75155978512663e-33,9.50117252247995e-31,"Brsk1"
"ENSMUSG00000056553.15",375.025249846669,-4.73282073868113,0.394929985560893,-11.9839488307261,4.31280262051398e-33,1.07239797523908e-30,"Ptprn2"
"ENSMUSG00000020331.11",358.592052137477,-4.30233639745443,0.359120564760445,-11.980200577832,4.51230634417172e-33,1.10196967076594e-30,"Hcn2"
"ENSMUSG00000027500.11",415.100291017937,-11.4297545057465,0.958199084820824,-11.9283713445456,8.42048013931025e-33,2.02032432254749e-30,"Stmn2"
"ENSMUSG00000030134.12",224.19728810642,-7.63197946755403,0.641281710996126,-11.9011338335207,1.16750018398469e-32,2.75288491658183e-30,"Rasgef1a"
"ENSMUSG00000078816.11",185.509854112917,-5.82285936474608,0.489968723382797,-11.8841450216341,1.43091725549971e-32,3.31681769257865e-30,"Prkcg"
"ENSMUSG00000004267.17",845.131914745967,-5.30454021315524,0.447937607484459,-11.8421407904209,2.36342063762916e-32,5.29871158036334e-30,"Eno2"
"ENSMUSG00000029120.11",704.413008329296,-6.89487739935816,0.582185710291639,-11.8430893741866,2.33683461346434e-32,5.29871158036334e-30,"Ppp2r2c"
"ENSMUSG00000027273.14",1918.2483345258,-9.92554816487954,0.84187546688812,-11.7898056841685,4.40556321181885e-32,9.71781975561849e-30,"Snap25"
"ENSMUSG00000030683.12",483.923193192305,-6.55564712475271,0.557039984983912,-11.7687191251487,5.65769996640672e-32,1.22816991651712e-29,"Sez6l2"
"ENSMUSG00000037362.9",89.5205064074888,-10.0786487733526,0.856658820306933,-11.7650674159188,5.90791350758917e-32,1.26244726765296e-29,"Ccn3"
"ENSMUSG00000028785.14",386.482080312754,-7.05487398703748,0.599894758190101,-11.7601860838428,6.25961828084592e-32,1.31702368628998e-29,"Hpca"
