"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000026796.17",1623.07047791021,-2.39063573408306,0.126408052323746,-18.9120525958296,9.07545342106984e-80,1.24115900986551e-75,"Niban2"
"ENSMUSG00000029304.15",5320.28506571517,-8.49949440401443,0.453820417220869,-18.7287616014813,2.88550255947825e-78,1.97310665017123e-74,"Spp1"
"ENSMUSG00000069516.9",5529.40593784562,-9.57907589786275,0.514646497514881,-18.6129235195772,2.52458761023219e-77,1.15087533858451e-73,"Lyz2"
"ENSMUSG00000028108.17",354.654581349801,-5.22150678819189,0.282264966888593,-18.4986002540399,2.11906241358167e-76,7.24507439203573e-73,"Ecm1"
"ENSMUSG00000018774.14",1065.54906559484,-6.66317644098369,0.370026310421155,-18.0073044897803,1.70743095374432e-72,4.67016514468146e-69,"Cd68"
"ENSMUSG00000020120.16",764.729537479798,-5.78513217186424,0.321734956342893,-17.9810494875125,2.74252009201738e-72,6.25111746307162e-69,"Plek"
"ENSMUSG00000015568.17",1987.85332437207,-10.8078262365843,0.611215608615571,-17.6825102046469,5.7192203316792e-70,1.11737224651492e-66,"Lpl"
"ENSMUSG00000044786.7",578.379170179554,-3.38037032989132,0.195533957691161,-17.287893979165,5.80341123514379e-67,9.92093150647831e-64,"Zfp36"
"ENSMUSG00000021822.4",315.405648676065,-10.3452506106517,0.610400322005843,-16.9483046415442,1.98083826909224e-64,3.00999379645616e-61,"Plau"
"ENSMUSG00000027864.10",8566.97768329209,-2.58741855753655,0.156682544599732,-16.5137639559434,2.92083975191089e-61,3.99454044471333e-58,"Ptgfrn"
"ENSMUSG00000024030.8",496.925583957709,-8.09003204378941,0.49142443333885,-16.4624131299778,6.83215433749703e-61,8.49423115632813e-58,"Abcg1"
"ENSMUSG00000037820.16",241.724591136578,-5.60594522220003,0.342744847101376,-16.3560306438157,3.93985768917165e-60,4.49012447975929e-57,"Tgm2"
"ENSMUSG00000046805.12",1767.76939038025,-10.2238132829459,0.629198059888509,-16.2489586899831,2.27190524766383e-59,2.39004432054235e-56,"Mpeg1"
"ENSMUSG00000002944.16",711.233439254425,-11.3766173910033,0.708604319693786,-16.0549647734571,5.27688702962572e-58,5.1547647869401e-55,"Cd36"
"ENSMUSG00000022488.10",306.841225269901,-8.80491247003571,0.551290510461284,-15.971456614895,2.02012633726581e-57,1.84181651922982e-54,"Nckap1l"
"ENSMUSG00000035673.11",1500.8801414356,-2.30035254750133,0.144582451987166,-15.9103163342778,5.37412708326995e-57,4.59353512442499e-54,"Sbno2"
"ENSMUSG00000029816.11",8856.28549823635,-7.08267935828995,0.450193178411381,-15.732533716488,9.05153470958904e-56,7.28169345225528e-53,"Gpnmb"
"ENSMUSG00000021998.17",492.607891958179,-8.90810034817346,0.573001422070143,-15.5463843632189,1.68345227179393e-54,1.27904962605854e-51,"Lcp1"
"ENSMUSG00000040747.10",310.980537279861,-10.2082078166986,0.666813938334377,-15.3089298675992,6.66515445577414e-53,4.79750801774564e-50,"Cd53"
"ENSMUSG00000028581.18",757.809000489139,-8.8861255163283,0.581808420989205,-15.2732844622975,1.15220482012502e-52,7.87877656001486e-50,"Laptm5"
