"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000046447.4",1977.09651674641,-7.17391687814266,0.326723367930583,-21.9571588147526,7.39826284831594e-107,1.01178642713569e-102,"Camk2n1"
"ENSMUSG00000025738.9",1296.1202684911,-5.35531009918008,0.300353040937496,-17.8300512039581,4.13042704267489e-71,2.82438601178109e-67,"Fbxl16"
"ENSMUSG00000024617.17",1405.92453022212,-11.4095182614135,0.664112890972384,-17.1800885308941,3.74339492663909e-66,1.70648896722387e-62,"Camk2a"
"ENSMUSG00000003469.10",356.934987400063,-9.66033628368276,0.573359088606358,-16.8486668750011,1.07306397935425e-63,3.66880574541219e-60,"Phyhip"
"ENSMUSG00000027438.15",781.594453162312,-5.1279943540316,0.305208819554294,-16.8015929602564,2.37576912878634e-63,6.49820372105638e-60,"Napb"
"ENSMUSG00000058297.17",809.2220933082,-10.4518876668634,0.623437232012124,-16.7649398049748,4.40460053569718e-63,1.00395528210324e-59,"Spock2"
"ENSMUSG00000024403.17",414.571279392465,-5.62685977321161,0.33953923522717,-16.5720458475055,1.10984634996161e-61,1.89728233525937e-58,"Atp6v1g2"
"ENSMUSG00000074657.6",2893.73648390231,-11.0855540780511,0.668694805335876,-16.5778977039951,1.00690039575126e-61,1.89728233525937e-58,"Kif5a"
"ENSMUSG00000027221.6",197.73157368551,-9.6919450109427,0.585995234562728,-16.5392898086874,1.91263914485563e-61,2.9063614383384e-58,"Chst1"
"ENSMUSG00000037754.14",187.743450820539,-8.89032297492943,0.544450944568694,-16.3289696961996,6.14127167537903e-60,8.39880314324836e-57,"Ppp1r16b"
"ENSMUSG00000049176.17",92.7117897707924,-8.45917188366909,0.518531429683704,-16.313710991114,7.88531646726007e-60,9.80359890965898e-57,"Frmpd4"
"ENSMUSG00000028528.18",359.887030338726,-8.49481565262806,0.526858381222494,-16.1235276032188,1.74365413874187e-58,1.98718450011949e-55,"Dnajc6"
"ENSMUSG00000030774.14",832.20600974492,-6.33232124242982,0.393230505968887,-16.1033316243548,2.4173051960906e-58,2.54300506628731e-55,"Pak1"
"ENSMUSG00000059213.8",576.10987940815,-11.2100683924339,0.699044419865053,-16.0362747686306,7.13052585298419e-58,6.96550511181512e-55,"Ddn"
"ENSMUSG00000070570.6",598.438542275801,-8.79036465989362,0.552045104403284,-15.9232725546861,4.3691433780827e-57,3.9834936559106e-54,"Slc17a7"
"ENSMUSG00000040907.16",2976.03910906327,-5.88901478743799,0.372195766431152,-15.8223583355221,2.18165301100365e-56,1.86476791115537e-53,"Atp1a3"
"ENSMUSG00000004267.17",845.131914745967,-6.67930366697439,0.42241968285844,-15.81200862085,2.5713611567116e-56,1.95366306551043e-53,"Eno2"
