"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",12593.1470651999,-6.26474709171104,0.188680650221013,-33.2029123514933,1.22843323571927e-171,2.12543518444148e-167,"Pdgfra"
"ENSMUSG00000103168.2",91.156798852586,-5.02384133769409,0.218252877336698,-23.0184426386454,3.34053689650611e-76,2.88989846916744e-72,"Gm30948"
"ENSMUSG00000097083.3",89.5133341768992,-5.3024722617864,0.246220013398793,-21.5355047243792,1.12846268658462e-68,6.50822046776234e-65,"D930019O06Rik"
"ENSMUSG00000020122.17",35252.0265919481,5.14074140454448,0.241553759762082,21.2819763584217,3.59943599353593e-66,1.55693603900397e-62,"Egfr"
"ENSMUSG00000137599.1",203.469906200312,-7.16827287925964,0.400920216640942,-17.8795495505766,1.02730606864647e-53,3.55488991994425e-50,"ENSMUSG00000137599"
"ENSMUSG00000136757.1",75.8069570086073,-5.00134207138544,0.263924143343461,-18.9499225346613,3.20649939263671e-52,9.24647541523339e-49,"ENSMUSG00000136757"
"ENSMUSG00000064125.15",233.718387790028,-4.7378661430057,0.247962136378471,-19.10721617503,1.19441264965191e-51,2.95224680918248e-48,"Prr36"
"ENSMUSG00000054976.15",378.114013939108,-6.84029262634395,0.389300693959976,-17.5707177831212,3.56149638718453e-51,7.70262631138333e-48,"Nyap2"
"ENSMUSG00000036815.18",647.979412035038,-6.64047127658399,0.38908228384774,-17.0670101216498,6.34102523914021e-48,1.21902687430671e-44,"Dpp10"
"ENSMUSG00000037169.16",109.655346847852,-3.8989342051987,0.200332106019167,-19.4623532027646,9.2865111511802e-48,1.6067521593772e-44,"Mycn"
"ENSMUSG00000027514.15",142.874268840443,-6.36930571007868,0.375738807530384,-16.9514183321712,1.26313651634285e-46,1.98679890961492e-43,"Zbp1"
"ENSMUSG00000051379.13",299.319417774838,-4.98869837740926,0.280774233834461,-17.767650219466,4.20048917406517e-46,6.05640530747297e-43,"Flrt3"
"ENSMUSG00000078922.10",276.845554201897,-8.01007105065262,0.500711017403284,-15.9973932512876,7.76799666099007e-45,1.03386060175731e-41,"Tgtp1"
"ENSMUSG00000110365.3",135.327740019089,-6.24085669117637,0.375335395886746,-16.6274131338774,1.30843204827988e-44,1.61703509280989e-41,"Gm38947"
"ENSMUSG00000048834.17",398.291504419719,-7.18656652335025,0.453090343346061,-15.8612220032712,9.53420560638316e-43,1.09973883601094e-39,"Vstm2a"
"ENSMUSG00000046338.5",207.02365175966,-4.53471807360797,0.266118238417726,-17.0402378302603,1.46213196495913e-40,1.58111295360768e-37,"Gpat2"
"ENSMUSG00000072923.7",225.292828411688,-7.00282604018184,0.454221038787247,-15.417220785015,3.56342392545932e-40,3.62672710342924e-37,"Gm10439"
"ENSMUSG00000051251.4",89.7025281212225,-5.25836403981848,0.324888846854345,-16.1851171276923,1.49841396739862e-39,1.44030880355172e-36,"Nhlh1"
"ENSMUSG00000078921.4",1507.6993804585,-5.49080235836854,0.343223299611175,-15.99775529397,2.02702501493996e-39,1.84587298992059e-36,"Tgtp2"
"ENSMUSG00000045215.19",190.421616175547,-4.89788143989638,0.298288590764514,-16.4199422691398,2.52542376543511e-39,2.18474409947791e-36,"Asxl3"
"ENSMUSG00000023236.8",321.862669710831,-5.33246308583547,0.334602797396646,-15.9366960686651,1.20455322953024e-38,9.92437141777723e-36,"Scg5"
"ENSMUSG00000025592.18",224.033741513925,-4.54566836648407,0.2760365849924,-16.4676300665334,4.59223062174443e-38,3.61158064624646e-35,"Dach2"
"ENSMUSG00000030111.10",2739.77949433493,4.92350400044399,0.306670513549393,16.0547029561451,8.87022378343826e-38,6.67272225656734e-35,"A2m"
"ENSMUSG00000140606.1",227.222390731354,-5.4528637641972,0.349661247449454,-15.5947043144535,1.89423677140124e-37,1.36558685911601e-34,"ENSMUSG00000140606"
"ENSMUSG00000045573.10",316.802474180627,-5.5003612424549,0.358259757290519,-15.3529977356473,1.71384353477863e-36,1.1861168335496e-33,"Penk"
"ENSMUSG00000134402.1",161.355793988024,-5.22524832715971,0.337577265377073,-15.4786736640074,3.03680595518943e-36,2.02087756294952e-33,"Gm12250"
"ENSMUSG00000025777.9",661.897455874119,-4.4558647651886,0.276343284134259,-16.1243823208808,3.47447960651406e-36,2.22649800562616e-33,"Gdap1"
