"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",12593.1470651999,-6.59030008189645,0.184130782275078,-35.7914086958639,9.13441374781412e-203,1.5804362666468e-198,"Pdgfra"
"ENSMUSG00000079584.3",402.660085275602,7.38136227241955,0.270883867453024,27.2491763419599,5.25158849831531e-123,4.54314920989258e-119,"Tm9sf5"
"ENSMUSG00000051379.13",299.319417774838,-7.0268503050672,0.289024292025793,-24.312317334351,7.24821634075087e-97,4.18028797092239e-93,"Flrt3"
"ENSMUSG00000064125.15",233.718387790028,-5.51592724488688,0.246593772955201,-22.3684774306486,3.24545445825699e-75,1.40382132591906e-71,"Prr36"
"ENSMUSG00000103168.2",91.156798852586,-4.80605087543619,0.214894355412737,-22.3647143555978,1.71635063978589e-70,5.93925975391509e-67,"Gm30948"
"ENSMUSG00000005338.15",949.893048323184,-7.32800291873283,0.366498026889872,-19.9946585822542,4.23147440006151e-67,1.04589957242663e-63,"Cadm3"
"ENSMUSG00000054976.15",378.114013939108,-7.74417199305699,0.390512620877951,-19.8307854318422,3.95378041619859e-67,1.04589957242663e-63,"Nyap2"
"ENSMUSG00000024172.11",1193.94850766868,-8.30534873077023,0.42477175232352,-19.5524977481191,1.3673667381042e-66,2.95727241283486e-63,"St6gal2"
"ENSMUSG00000022309.10",405.896717079258,-6.99606637709232,0.358099973704736,-19.5366291282132,3.12577497868112e-63,6.00912874234897e-60,"Angpt1"
"ENSMUSG00000025777.9",661.897455874119,-5.40147418201772,0.271395813874795,-19.9025699950907,1.88385273220483e-59,3.25944199726079e-56,"Gdap1"
"ENSMUSG00000061911.16",595.878277552157,-6.67783279428273,0.353499694808761,-18.8906324173642,2.36409788384753e-58,3.71851105330272e-55,"Myt1l"
"ENSMUSG00000057716.8",1025.67103815063,-4.75992918961793,0.236780500843331,-20.1027076666562,4.40173194960503e-57,6.34656384933886e-54,"Tmem178b"
"ENSMUSG00000031343.14",455.29465247476,-8.13512768322814,0.457086848301397,-17.7977723783992,3.11163810829706e-55,4.14135096536583e-52,"Gabra3"
"ENSMUSG00000043068.7",74.7301350591412,-5.45380038370158,0.28994185138453,-18.8099798551282,1.49435291927805e-53,1.8468067292392e-50,"Fam89a"
"ENSMUSG00000132624.1",141.778412224996,-5.68648418874936,0.305189570323975,-18.6326294922623,1.61501893166691e-53,1.8628705037134e-50,"ENSMUSG00000132624"
"ENSMUSG00000051251.4",89.7025281212225,-6.10815979043965,0.332845300719331,-18.3513475396497,1.85620536081175e-53,2.00725407204781e-50,"Nhlh1"
"ENSMUSG00000037138.19",360.268280703338,-4.70431180320789,0.241642016400228,-19.4681035744058,2.41920993064716e-53,2.46218648353277e-50,"Aff3"
"ENSMUSG00000032289.16",73.0328063450353,-5.93778863900631,0.323133191164439,-18.3756692328911,5.12024157205886e-53,4.92168998220902e-50,"Thsd4"
"ENSMUSG00000048834.17",398.291504419719,-7.87227023546744,0.453504682598625,-17.3587407970268,3.58136738257307e-52,3.26130623438312e-49,"Vstm2a"
"ENSMUSG00000037872.6",90.0508893974214,-7.4954394337868,0.434658597920062,-17.2444292363113,8.5505995413869e-51,7.30582789890143e-48,"Ackr1"
"ENSMUSG00000097924.4",48.2786604105576,-6.65362137525109,0.378387594343438,-17.5841424896505,8.86732088064559e-51,7.30582789890143e-48,"A730020E08Rik"
"ENSMUSG00000022311.16",185.246261891566,-6.2414566575278,0.352823575838319,-17.6900215431974,3.19276177070997e-50,2.51096200712836e-47,"Csmd3"
"ENSMUSG00000020701.13",215.530393305178,-7.88872702361306,0.46442531892758,-16.9859968914468,4.49528802243657e-50,3.38162927670424e-47,"Tmem132e"
"ENSMUSG00000027350.9",507.073463617851,-4.23714194704854,0.22283458627087,-19.0147410146557,4.07969617780653e-48,2.94112096951703e-45,"Chgb"
"ENSMUSG00000045573.10",316.802474180627,-6.20269439165147,0.361678538793021,-17.1497441135182,3.2205122940293e-47,2.2288521484518e-44,"Penk"
"ENSMUSG00000023236.8",321.862669710831,-5.74260294337153,0.333258247419172,-17.2316904017937,2.94111072917214e-46,1.95719607062063e-43,"Scg5"
"ENSMUSG00000027171.11",60.5844554404059,-5.03991702775625,0.284449023511309,-17.71817306856,4.41347886448966e-46,2.82822264123704e-43,"Prrg4"
"ENSMUSG00000044393.16",43.2045407587472,5.75177940008633,0.336345304482877,17.100816700651,1.28224259902434e-45,7.82397524622722e-43,"Dsg2"
