"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000030235.18",95.5229949428131,-7.8474532847524,0.316366987894955,-24.8049056476083,3.45999279231199e-104,2.9932397646291e-100,"Slco1c1"
"ENSMUSG00000070570.6",602.521299609322,-9.18168720528007,0.377940711635809,-24.293988243658,3.16892382459928e-104,2.9932397646291e-100,"Slc17a7"
"ENSMUSG00000027347.20",370.249413250906,-9.67315426672756,0.429177642408747,-22.538812162808,4.09787069777738e-91,2.36337862709814e-87,"Rasgrp1"
"ENSMUSG00000026458.14",143.996255564052,-5.63289199096544,0.257701858562512,-21.8581737143314,1.45610761247573e-72,6.29839347776376e-69,"Ppfia4"
"ENSMUSG00000024617.17",1419.96813973961,-8.80244154364886,0.437797619653701,-20.1061886782564,2.38380622123303e-71,8.24892304795478e-68,"Camk2a"
"ENSMUSG00000003469.10",360.397546704271,-7.43781304745278,0.36145480332783,-20.5774359033953,2.91155683314211e-71,8.39595938783746e-68,"Phyhip"
"ENSMUSG00000053025.14",363.794149777921,-8.34548162281106,0.440324675171288,-18.9530182917063,8.86422747706763e-63,2.19098376868892e-59,"Sv2b"
"ENSMUSG00000058297.17",816.2813677145,-9.25314954185435,0.500232912344247,-18.4976824065638,1.87706519547954e-61,4.05962275152337e-58,"Spock2"
"ENSMUSG00000019828.14",67.1824513024556,-7.96939398382473,0.432231167973237,-18.4378049856835,8.61996981640973e-59,1.65714130848357e-55,"Grm1"
"ENSMUSG00000017740.18",420.09017212057,-6.08657202034496,0.320070647469729,-19.0163392627892,3.59800578416462e-57,6.22526960776163e-54,"Slc12a5"
"ENSMUSG00000037996.18",527.420618385069,-8.12517300103744,0.452255981254064,-17.9658718465306,3.18631151672499e-56,5.01177835112507e-53,"Slc24a2"
"ENSMUSG00000054942.14",122.363315404665,-5.67614191272979,0.29956499149421,-18.9479481044083,3.12287595682764e-55,4.50266665041931e-52,"Miga1"
"ENSMUSG00000040536.16",128.313095705243,-9.77939321517203,0.566762686757228,-17.2548289498829,2.0131932667062e-54,2.67940537696544e-51,"Necab1"
"ENSMUSG00000028488.16",265.649707495541,-7.73625873650339,0.441660242183676,-17.5163123088767,7.96763752263797e-53,9.79618983077605e-50,"Sh3gl2"
"ENSMUSG00000049176.17",93.5623641880453,-7.71305776537712,0.440259391231236,-17.5193486362816,8.49282438224718e-53,9.79618983077605e-50,"Frmpd4"
"ENSMUSG00000035033.16",69.1522883061869,-7.17936505335582,0.410341521484847,-17.4960726064884,1.50477035583048e-51,1.62722104353619e-48,"Tbr1"
"ENSMUSG00000044349.17",413.257266537949,-9.35742667668154,0.556763206397938,-16.8068338014302,3.12244484592093e-51,3.17791416024258e-48,"Snhg11"
"ENSMUSG00000032936.14",233.650266958501,-6.99908182885042,0.401862634042891,-17.4166026794703,1.08025335415515e-50,1.03836352964402e-47,"Camkv"
"ENSMUSG00000031066.11",155.857983500649,-5.47812086035321,0.301699419618648,-18.1575452391576,3.86187885600827e-50,3.51674884035027e-47,"Usp11"
"ENSMUSG00000021057.16",136.930294262975,-5.59219207236742,0.3131946907471,-17.8553220650954,5.61008434708415e-49,4.8532839686625e-46,"Akap5"
"ENSMUSG00000026163.18",224.56947407877,-10.8459220062367,0.675196578429627,-16.0633545144173,1.82009437957321e-48,1.49958442644646e-45,"Sphkap"
