"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000015568.17",1956.37945534642,-9.21603091858021,0.385692065266788,-23.8947900372422,5.43323495093442e-101,9.40058311210674e-97,"Lpl"
"ENSMUSG00000069516.9",5453.04931210124,-8.15930521375271,0.341505662097491,-23.8921520763057,6.99980473760816e-98,6.05553107850482e-94,"Lyz2"
"ENSMUSG00000050335.18",1115.71038481597,-8.76215627961811,0.377566280507385,-23.2069353964641,3.23704510201269e-94,1.86691181183412e-90,"Lgals3"
"ENSMUSG00000021822.4",310.496041315076,-8.73410665534182,0.399542760947443,-21.8602550441171,8.82979535368608e-84,3.81932798023692e-80,"Plau"
"ENSMUSG00000040552.9",397.149237755807,-9.38738511872655,0.435459697011966,-21.5574143442914,5.70866869666963e-83,1.97542771579556e-79,"C3ar1"
"ENSMUSG00000040747.10",308.050510626985,-9.47123067956777,0.446243524241013,-21.2243543380865,1.16920685649443e-80,3.37160283851109e-77,"Cd53"
"ENSMUSG00000002944.16",700.970085358293,-9.67126323131484,0.45833831594175,-21.1007085703565,3.98396124978966e-80,9.84721393483724e-77,"Cd36"
"ENSMUSG00000112023.2",371.414469439908,-10.4431499588782,0.513944244821112,-20.3196165033683,1.06325713227789e-75,2.299559362834e-72,"Lilrb4b"
"ENSMUSG00000016256.11",920.976541362937,-8.96530297815094,0.435343203352683,-20.5936440700279,4.40337305902956e-75,8.46524007414772e-72,"Ctsz"
"ENSMUSG00000038642.11",1848.60863321754,-8.65308658995429,0.423811582049939,-20.4172961675565,3.42759639752344e-73,5.93042728699506e-70,"Ctss"
"ENSMUSG00000030579.11",352.732369120582,-8.84107620904571,0.438786866437131,-20.1489080127526,1.01183408401733e-71,1.59152302924253e-68,"Tyrobp"
"ENSMUSG00000015340.11",356.862335594501,-9.57867704302745,0.480417932196299,-19.9382171253208,1.28186206112647e-71,1.84823144846751e-68,"Cybb"
"ENSMUSG00000020053.19",341.549080569896,-10.2985195716225,0.521303520625348,-19.7553232697692,1.82201068999681e-71,2.42495607371729e-68,"Igf1"
"ENSMUSG00000028581.18",754.08778745379,-7.66511130498819,0.375229416266153,-20.427799561299,6.86526068002135e-71,8.48448144898068e-68,"Laptm5"
"ENSMUSG00000049723.15",981.754692682277,-9.57505534551014,0.484660030226861,-19.7562306531203,2.37695687764279e-70,2.74174052646503e-67,"Mmp12"
"ENSMUSG00000021998.17",489.44863160488,-7.70010846235746,0.379647706182542,-20.2822467697332,5.25016532160899e-70,5.67739752465493e-67,"Lcp1"
"ENSMUSG00000079293.13",466.611760990118,-8.07418576209246,0.405033559803594,-19.9346092852349,1.3078743654041e-68,1.33110836883657e-65,"Clec7a"
"ENSMUSG00000026358.14",113.6089734856,-9.84430743275622,0.510035776405219,-19.301209617372,1.16224792477674e-67,1.11717853302706e-64,"Rgs1"
"ENSMUSG00000028238.7",298.672203976569,-9.65764730307099,0.506371323820086,-19.0722634730049,7.75496710499734e-66,7.06191793950863e-63,"Atp6v0d2"
"ENSMUSG00000020120.16",758.236389983999,-4.78464950896426,0.2225904856029,-21.4953010952141,3.9180757542371e-65,3.38952733499052e-62,"Plek"
"ENSMUSG00000025044.17",323.981261451206,-10.4032087543159,0.553265437064582,-18.8032869168756,4.40820370397749e-65,3.63194002315326e-62,"Msr1"
