"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000003469.10",360.397546704271,-8.9348260150598,0.359657831412341,-24.8425732312671,3.65118526618109e-108,6.31728074754652e-104,"Phyhip"
"ENSMUSG00000026458.14",143.996255564052,-6.60794347125904,0.255164192366153,-25.8968290573344,2.34921842144046e-107,2.03230885638814e-103,"Ppfia4"
"ENSMUSG00000024617.17",1419.96813973961,-10.1455457841273,0.431939627654953,-23.4883422000629,8.4345430975826e-100,4.86448215581247e-96,"Camk2a"
"ENSMUSG00000070570.6",602.521299609322,-8.29752031241903,0.364682155452191,-22.7527456124922,2.22486869980509e-89,9.6236695610069e-86,"Slc17a7"
"ENSMUSG00000059213.8",581.623026498964,-10.1321245627782,0.479384622672858,-21.1356895560927,3.30513296146592e-81,1.14370820998567e-77,"Ddn"
"ENSMUSG00000058297.17",816.2813677145,-10.3935302969288,0.496617294238785,-20.9286515340953,4.28870118000176e-80,1.23671846360651e-76,"Spock2"
"ENSMUSG00000030235.18",95.5229949428131,-6.50783788903747,0.291860249444828,-22.2977877303147,9.78502871608277e-80,2.41857952636663e-76,"Slco1c1"
"ENSMUSG00000027347.20",370.249413250906,-8.68139913979017,0.407960284537912,-21.2800105030405,2.19328587292671e-79,4.74352902167224e-76,"Rasgrp1"
"ENSMUSG00000027221.6",199.405489417296,-8.73439446828229,0.413820775607381,-21.1067084668779,2.97428933633821e-78,5.71790601081374e-75,"Chst1"
"ENSMUSG00000028528.18",362.466565119828,-7.83666110540561,0.372024472870973,-21.0649074909745,1.00547119404907e-75,1.7396662599437e-72,"Dnajc6"
"ENSMUSG00000030134.12",225.394851781945,-8.43458947510113,0.408188628314705,-20.6634601995777,2.01246055986516e-74,3.1654175097079e-71,"Rasgef1a"
"ENSMUSG00000027438.15",783.677287304859,-4.7359095293799,0.207715494626342,-22.7999819556037,1.26081450659546e-72,1.81788438275956e-69,"Napb"
"ENSMUSG00000046447.4",1987.45928007797,-5.81721575760612,0.269832590942903,-21.5586106084459,1.37921560660185e-71,1.83562987887887e-68,"Camk2n1"
