"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000069516.9",5453.04931210124,7.47142727003725,0.507565121176468,14.7201353251372,1.55983066716634e-37,2.69991090179821e-33,"Lyz2"
"ENSMUSG00000045672.16",213.900279625542,4.3791805370148,0.26798715717834,16.3410089614875,9.36039629839858e-37,5.40063665096604e-33,"Col27a1"
"ENSMUSG00000132705.1",559.768584794243,4.28334323341893,0.260334865951459,16.4532062110251,9.0666503491926e-37,5.40063665096604e-33,"ENSMUSG00000132705"
"ENSMUSG00000037820.16",241.185505156627,5.22543523409577,0.336930111081693,15.5089588678193,2.22714155389461e-36,9.63739828909044e-33,"Tgm2"
"ENSMUSG00000046805.12",1759.96815771746,8.75883523078384,0.622023478971901,14.0811971362571,5.20478461539381e-36,1.80179233815703e-32,"Mpeg1"
"ENSMUSG00000021822.4",310.496041315076,8.35933028775816,0.602510057689814,13.8741755113767,1.30124276066458e-34,3.2241353942137e-31,"Plau"
"ENSMUSG00000032085.6",525.757691931964,8.23125344577241,0.59203237436088,13.9033840077721,1.30388513256086e-34,3.2241353942137e-31,"Tagln"
"ENSMUSG00000015568.17",1956.37945534642,8.28956308154109,0.603009652952639,13.7469823923236,6.06431436682576e-34,1.31209021719234e-30,"Lpl"
"ENSMUSG00000038147.15",276.525584888623,8.44830205474174,0.630907828762117,13.3907072786177,1.82393756229117e-32,3.5078372517442e-29,"Cd84"
"ENSMUSG00000020053.19",341.549080569896,10.2880506156075,0.788894065827937,13.041105341324,2.6727246070178e-32,4.62621902228711e-29,"Igf1"
"ENSMUSG00000021998.17",489.44863160488,7.64813430569012,0.565363515182765,13.527817236699,3.17244092287777e-32,4.9919799940083e-29,"Lcp1"
"ENSMUSG00000029304.15",5239.85617515335,6.14154090561843,0.440408624973085,13.9450967973067,8.60592717712522e-32,1.2413332792405e-28,"Spp1"
"ENSMUSG00000024030.8",495.343753394144,6.69675937377598,0.489499573013742,13.6808278147119,1.32184435070124e-31,1.75998491279137e-28,"Abcg1"
"ENSMUSG00000086596.3",343.732256281141,-5.96474673954629,0.431274704749627,-13.8305044878741,5.75279794931543e-31,7.11251283605006e-28,"Susd5"
"ENSMUSG00000040552.9",397.149237755807,8.53346403223451,0.661780935711531,12.8946960719857,2.52297842245368e-30,2.91134890095005e-27,"C3ar1"
"ENSMUSG00000029816.11",8762.84733592456,5.95846038478264,0.43772888217161,13.6122166653071,4.78435226809016e-30,4.87131490637485e-27,"Gpnmb"
"ENSMUSG00000040747.10",308.050510626985,8.46481540972018,0.658717637632437,12.8504459667186,4.53712208571614e-30,4.87131490637485e-27,"Cd53"
"ENSMUSG00000018774.14",1053.54504159903,5.09874362597626,0.364633886900151,13.983186448528,1.28652881386282e-29,1.23714040217509e-26,"Cd68"
"ENSMUSG00000050248.12",195.617251407823,-7.20613645523891,0.55313216769513,-13.0278744866104,1.62656724070664e-29,1.48180275628375e-26,"Evc2"
"ENSMUSG00000022488.10",304.452779593689,7.08159902614992,0.543723870611866,13.0242562611438,2.41214885380696e-29,1.99631268590339e-26,"Nckap1l"
"ENSMUSG00000024737.3",231.091629008804,6.12992773583562,0.458654772136886,13.3650146215117,2.42200972927212e-29,1.99631268590339e-26,"Slc15a3"
