"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000070570.6",602.521299609322,-9.9120043478355,0.598487801192143,-16.5617483398852,1.8890905031486e-50,3.26982675189991e-46,"Slc17a7"
"ENSMUSG00000049176.17",93.5623641880453,-10.4544620625346,0.694664533493998,-15.0496557092834,1.74354648932822e-42,1.50895230918911e-38,"Frmpd4"
"ENSMUSG00000035864.15",1627.31521920199,-10.7663139356635,0.723663478653636,-14.8775145537178,8.29351869101364e-42,4.78508383409184e-38,"Syt1"
"ENSMUSG00000032936.14",233.650266958501,-9.27401059145025,0.621449488937837,-14.9231928845917,9.58961546732224e-41,4.14966635309702e-37,"Camkv"
"ENSMUSG00000030235.18",95.5229949428131,-7.64319224737707,0.505593328746221,-15.1172727423655,9.78883259104123e-40,3.38869806636665e-36,"Slco1c1"
"ENSMUSG00000045967.12",211.18888469268,-8.08861054770845,0.542915679939225,-14.8984655381733,2.91521066564765e-39,8.40989690194921e-36,"Gpr158"
"ENSMUSG00000027350.9",507.073463617851,-7.18241619860852,0.478964429855032,-14.9957194123631,2.03162810763674e-38,4.6223154822101e-35,"Chgb"
"ENSMUSG00000053025.14",363.794149777921,-10.210908480895,0.713802063377636,-14.3049579214973,2.13637551896012e-38,4.6223154822101e-35,"Sv2b"
"ENSMUSG00000003469.10",360.397546704271,-8.64366833286313,0.605312546349972,-14.2796781348484,7.43361574080974e-37,1.42964949841862e-33,"Phyhip"
"ENSMUSG00000074657.6",2917.8426164699,-9.70023447005135,0.693736652640806,-13.9825889739659,2.2233365155021e-36,3.84837317468259e-33,"Kif5a"
"ENSMUSG00000056296.18",169.606611471027,-9.74247833521313,0.698946526647563,-13.9388035619006,3.37177026305244e-36,5.3056337711977e-33,"Synpr"
"ENSMUSG00000027834.16",574.110689407758,-7.88207460577264,0.55132868446692,-14.296507379067,4.63887379057672e-36,6.69118887009104e-33,"Serpini1"
"ENSMUSG00000027347.20",370.249413250906,-9.6612626645878,0.701818025304657,-13.7660509081309,2.7176656631825e-35,3.61846730492506e-32,"Rasgrp1"
"ENSMUSG00000028528.18",362.466565119828,-7.77648522626645,0.556928045840297,-13.9631776211471,2.31202394696441e-34,2.85848732128621e-31,"Dnajc6"
"ENSMUSG00000040907.16",2988.64945190464,-5.78482135510663,0.395716748619662,-14.6185911394583,5.85421072770304e-34,6.75536889905413e-31,"Atp1a3"
"ENSMUSG00000066129.18",204.692870200368,-6.74125087391291,0.480162746862429,-14.0395124735579,2.98808667606503e-33,3.2325495172506e-30,"Kndc1"
"ENSMUSG00000027438.15",783.677287304859,-4.83360256218546,0.322418710500125,-14.9916937347952,6.6594159082913e-33,6.53078694441355e-30,"Napb"
"ENSMUSG00000035033.16",69.1522883061869,-8.95132931193779,0.668825489337918,-13.3836545625659,6.79150528623513e-33,6.53078694441355e-30,"Tbr1"
"ENSMUSG00000058297.17",816.2813677145,-8.74422173972236,0.653428062738117,-13.3820725468702,1.05456913492804e-32,9.60712481919447e-30,"Spock2"
"ENSMUSG00000021057.16",136.930294262975,-6.9465223988432,0.502870966647218,-13.8137272969995,1.4470025157659e-32,1.2523083272696e-29,"Akap5"
"ENSMUSG00000036306.14",264.309593804786,-6.78566106487339,0.49173652807304,-13.7993837705412,2.92931338007819e-32,2.41445168075112e-29,"Lzts1"
"ENSMUSG00000026204.16",727.709669488166,-7.96872303105762,0.593356806612828,-13.4299007650169,3.7650414539302e-32,2.96223193300353e-29,"Ptprn"
"ENSMUSG00000059213.8",581.623026498964,-9.51307686881551,0.733813308326083,-12.9638925335328,2.03293324268171e-31,1.52991484772077e-28,"Ddn"
"ENSMUSG00000008658.18",437.35341504175,-7.06737193740397,0.524987655852499,-13.4619773600727,3.39547866841556e-31,2.44884751131687e-28,"Rbfox1"
"ENSMUSG00000017740.18",420.09017212057,-6.99418840461992,0.520071910086247,-13.4485025416197,4.89614002537694e-31,3.38989150796998e-28,"Slc12a5"
"ENSMUSG00000026959.14",383.062238878769,-6.96615708935317,0.519150483287545,-13.4183773560985,7.22324484763322e-31,4.80873634875706e-28,"Grin1"
"ENSMUSG00000053310.12",523.516749310836,-11.8487803008185,0.954254948183635,-12.4167868590799,2.98853134153427e-30,1.91586996261543e-27,"Nrgn"
"ENSMUSG00000024617.17",1419.96813973961,-8.76976434358713,0.68742445912663,-12.7574226188127,6.36097394797864e-30,3.9322177880558e-27,"Camk2a"
"ENSMUSG00000026163.18",224.56947407877,-12.102831994341,0.993707799667368,-12.1794676447063,2.75986392807655e-29,1.5923494910359e-26,"Sphkap"
"ENSMUSG00000090071.5",272.343020655584,-5.41465293201805,0.395073428015193,-13.7054343523448,2.72515786941398e-29,1.5923494910359e-26,"Cdk5r2"
"ENSMUSG00000045573.10",316.802474180627,-11.0321094154709,0.910395375829252,-12.1179321736142,1.53867695007832e-28,8.59127720287279e-26,"Penk"
"ENSMUSG00000011751.18",128.090586423968,-5.89978740199323,0.445083775128447,-13.255453763262,1.73514508833432e-28,9.38550822936837e-26,"Sptbn4"
"ENSMUSG00000038453.18",498.566345077174,-8.46596104412937,0.682332780891459,-12.4073784540568,3.63633949354967e-28,1.86177687879875e-25,"Srcin1"
