"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029304.15",5239.85617515335,-8.48301726693594,0.445945916630681,-19.0225248187693,1.70629258567617e-63,2.95342183654688e-59,"Spp1"
"ENSMUSG00000069516.9",5453.04931210124,-9.55980658305263,0.513858978032202,-18.6039497055427,1.32607514135862e-62,1.14765173108882e-58,"Lyz2"
"ENSMUSG00000015568.17",1956.37945534642,-10.7840496225909,0.610642566136003,-17.6601668809788,4.44653442476932e-58,2.56550214527774e-54,"Lpl"
"ENSMUSG00000021822.4",310.496041315076,-10.314487087234,0.608270480184508,-16.9570732482452,3.12715137682454e-53,1.3531965795364e-49,"Plau"
"ENSMUSG00000018774.14",1053.54504159903,-6.64097052955148,0.369052492272098,-17.9946502695751,4.81251142303717e-53,1.66599520442701e-49,"Cd68"
"ENSMUSG00000028108.17",350.845045770347,-5.19966053142753,0.278764309034223,-18.652533207862,1.37014830367672e-51,3.95264949805674e-48,"Ecm1"
"ENSMUSG00000020120.16",758.236389983999,-5.76528513495033,0.321413387616056,-17.9372899732392,4.97199920131664e-50,1.22943334536557e-46,"Plek"
"ENSMUSG00000046805.12",1759.96815771746,-10.2104686190135,0.628236897490275,-16.2525771087356,5.74378536095838e-49,1.24273976016036e-45,"Mpeg1"
"ENSMUSG00000002944.16",700.970085358293,-11.3498396007585,0.707926021568736,-16.0325221208958,1.04784556391346e-48,2.01523987397534e-45,"Cd36"
"ENSMUSG00000024030.8",495.343753394144,-8.07030515704911,0.491289415180602,-16.4267841066399,2.93310183373164e-47,5.07690596400609e-44,"Abcg1"
"ENSMUSG00000022488.10",304.452779593689,-8.78637741214205,0.550036680396612,-15.9741663152474,8.56115744257934e-46,1.34713703794187e-42,"Nckap1l"
"ENSMUSG00000040747.10",308.050510626985,-10.1821913348778,0.665360107157475,-15.3032789693054,1.26838276662611e-43,1.82953644229428e-40,"Cd53"
"ENSMUSG00000040552.9",397.149237755807,-10.2010114930599,0.668558735707063,-15.2582128513681,2.14349942680774e-43,2.85398704450887e-40,"C3ar1"
"ENSMUSG00000021998.17",489.44863160488,-8.88118879677,0.573319203163274,-15.4908273572005,2.66905029165159e-43,3.29989939272839e-40,"Lcp1"
"ENSMUSG00000029816.11",8762.84733592456,-7.06313986911779,0.443294297693108,-15.9332973734925,6.92227284636024e-43,7.98784137984329e-40,"Gpnmb"
"ENSMUSG00000028581.18",754.08778745379,-8.87201851550315,0.580806331623066,-15.2753474479355,3.77172526983333e-42,4.08029954347157e-39,"Laptm5"
"ENSMUSG00000037820.16",241.185505156627,-5.58616395515171,0.340512168959452,-16.4051815599486,1.19958296428341e-41,1.22138714875186e-38,"Tgm2"
"ENSMUSG00000020053.19",341.549080569896,-11.6190759355349,0.794185361120088,-14.6301814467442,4.46481159657517e-41,4.29341244028443e-38,"Igf1"
"ENSMUSG00000026358.14",113.6089734856,-10.9273508414315,0.753671916749792,-14.4988165255721,6.36091331857464e-40,5.7947920332215e-37,"Rgs1"
"ENSMUSG00000123342.1",298.172668549143,-5.78694316346999,0.363731855789294,-15.9099157012585,7.39164504785359e-40,6.39709920666489e-37,"ENSMUSG00000123342"
"ENSMUSG00000050335.18",1115.71038481597,-8.92409863212239,0.604003253130665,-14.774918157919,1.27644476743497e-39,1.05209440378724e-36,"Lgals3"
"ENSMUSG00000078771.12",100.040187993418,-9.30675002110486,0.63398714000022,-14.679714199095,1.59514287781861e-39,1.25501491237102e-36,"Evi2a"
"ENSMUSG00000038147.15",276.525584888623,-9.37005862195595,0.639024321244395,-14.6630704191498,1.68613398571168e-39,1.26892578950798e-36,"Cd84"
"ENSMUSG00000112023.2",371.414469439908,-11.4364325072876,0.797942146251841,-14.3324081338575,2.16530788998242e-39,1.56163809448774e-36,"Lilrb4b"
"ENSMUSG00000020101.15",219.132981876893,-8.65730073203358,0.586087335380867,-14.7713492672686,2.60515725990946e-39,1.80370668047091e-36,"Vsir"
"ENSMUSG00000024737.3",231.091629008804,-7.02931981253142,0.463459816705249,-15.1670534513717,5.41159824371244e-39,3.60266746155456e-36,"Slc15a3"
"ENSMUSG00000033777.5",133.726064726047,-8.09417130637392,0.54634753760073,-14.8150595533371,7.46890502369046e-39,4.78812137240956e-36,"Tlr13"
"ENSMUSG00000016256.11",920.976541362937,-9.85099602579715,0.686518042499878,-14.3492165040934,2.47754575868323e-38,1.53156569775171e-35,"Ctsz"
"ENSMUSG00000015340.11",356.862335594501,-11.0196549008295,0.780821033180819,-14.112907353352,5.41201794284039e-38,3.23022822664222e-35,"Cybb"
"ENSMUSG00000049723.15",981.754692682277,-10.6140983896348,0.749437431462079,-14.1627545463372,5.68289559841862e-38,3.27884133043426e-35,"Mmp12"
"ENSMUSG00000025044.17",323.981261451206,-12.1882111101258,0.872842838811325,-13.9638094834166,6.48983653435437e-38,3.62363163139161e-35,"Msr1"
"ENSMUSG00000002603.16",158.01305602423,-7.31091607324091,0.494339928643686,-14.7892485506881,1.26366841723699e-37,6.83526144811096e-35,"Tgfb1"
"ENSMUSG00000020399.15",104.049616034284,-6.67594841041977,0.446293806458721,-14.9586400568551,2.34974058142759e-37,1.23247453708879e-34,"Havcr2"
"ENSMUSG00000028599.11",143.226858835888,-9.59308002466958,0.676108682694158,-14.1886656246494,2.61461341191381e-37,1.33106892784753e-34,"Tnfrsf1b"
"ENSMUSG00000026395.17",193.754899236495,-7.87569873710864,0.545128385854862,-14.4474199866846,8.95343820864001e-37,4.42785891295286e-34,"Ptprc"
"ENSMUSG00000036887.6",1095.90762108218,-9.88112371865956,0.705154997965568,-14.0126975589302,1.13095137292207e-36,5.43767703164112e-34,"C1qa"
"ENSMUSG00000030579.11",352.732369120582,-9.48616591147917,0.680061551547414,-13.9489813677811,4.88898640502076e-36,2.28712069417579e-33,"Tyrobp"
"ENSMUSG00000036103.10",87.5186959376837,-9.7975537362417,0.705236359457532,-13.8925816924385,5.13491698073811e-36,2.33895468472621e-33,"Colec12"
"ENSMUSG00000062515.4",93.5481471720583,-8.17914902827024,0.575662386027843,-14.2082394590822,5.36601911027087e-36,2.38154935332509e-33,"Fabp4"
"ENSMUSG00000026822.15",270.886407001246,-9.40744705294476,0.675532889447038,-13.9259645235708,7.38370409249428e-36,3.19511335342459e-33,"Lcn2"
"ENSMUSG00000025017.11",195.886400217144,-7.73844968247318,0.54208754515967,-14.2752766625432,8.91944339468916e-36,3.76552794435792e-33,"Pik3ap1"
"ENSMUSG00000025161.17",67.1239450586985,-9.0050113666746,0.646009094108061,-13.9394498449093,1.45307548837151e-35,5.98840086386251e-33,"Slc16a3"
"ENSMUSG00000034947.14",81.0472953715177,-5.39849462071866,0.355574665143396,-15.1824501291214,1.89671389327634e-35,7.63493506481866e-33,"Tmem106a"
"ENSMUSG00000071713.7",132.608748706817,-9.09315825262602,0.655276284925133,-13.876830982316,2.41275667066629e-35,9.49145573012792e-33,"Csf2rb"
"ENSMUSG00000023992.15",265.654682767758,-10.4664383091982,0.767313517358344,-13.640367427947,2.85824232860743e-35,1.0994070325748e-32,"Trem2"
"ENSMUSG00000015854.8",564.168262838269,-11.0064415773514,0.811835009903638,-13.5574857490536,3.29310794749027e-35,1.23913924919802e-32,"Cd5l"
"ENSMUSG00000000290.14",390.359467550893,-6.07631098714235,0.41201619441617,-14.7477479513943,3.50595178498355e-35,1.29115998821873e-32,"Itgb2"
"ENSMUSG00000033538.14",169.265331516407,-5.93574979226786,0.402523316209083,-14.7463502193365,7.24199251981416e-35,2.61149267761382e-32,"Casp4"
"ENSMUSG00000011148.15",73.316195881927,-9.31817979738469,0.678658495236022,-13.7302927212958,7.72426334230339e-35,2.67398548383859e-32,"Adss1"
"ENSMUSG00000044786.7",573.959835366617,-3.35837124179047,0.192401547539037,-17.4550115877269,7.65305950630246e-35,2.67398548383859e-32,"Zfp36"
"ENSMUSG00000025473.17",448.013232549725,-5.30413303651575,0.351319172388129,-15.0977613901921,8.26144132481291e-35,2.80386839002327e-32,"Adam8"
"ENSMUSG00000024672.12",107.918925378884,-10.5241822057919,0.777773258238781,-13.5311700348547,8.88462720812211e-35,2.95738485279588e-32,"Ms4a7"
"ENSMUSG00000028238.7",298.672203976569,-10.7861579172349,0.800140965780719,-13.4803220663881,1.06754233640558e-34,3.48643213223476e-32,"Atp6v0d2"
"ENSMUSG00000073490.12",72.5709536958016,-9.20172598953684,0.674663558054602,-13.6389847645989,2.64045611675375e-34,8.46363980090567e-32,"Ifi207"
"ENSMUSG00000044811.15",84.9511334802971,-10.3560737653282,0.770151210003486,-13.4468058100971,2.92641031190068e-34,9.20967928885253e-32,"Cd300c2"
"ENSMUSG00000049130.7",55.7308952604109,-10.1704029768047,0.754981960432651,-13.4710542897958,2.993009237926e-34,9.25107087486807e-32,"C5ar1"
"ENSMUSG00000079293.13",466.611760990118,-8.48221512250134,0.616294011369282,-13.763260661345,3.21532110727647e-34,9.7638584290962e-32,"Clec7a"
"ENSMUSG00000035778.18",88.924557576251,-5.83753095126261,0.398651848624952,-14.6431804377621,3.45705258067234e-34,1.03169177791134e-31,"Ggta1"
"ENSMUSG00000048865.17",83.4551228176164,-7.34996234601027,0.524047940439313,-14.0253625266588,4.28487854004871e-34,1.25706716355429e-31,"Arhgap30"
"ENSMUSG00000036896.6",1083.9815815241,-9.48842816048796,0.704150900709984,-13.474992577473,9.14409427895389e-34,2.63791879790688e-31,"C1qc"
"ENSMUSG00000021281.16",135.147496822945,-7.86971209808738,0.569977102927877,-13.8070670868391,9.3951382395827e-34,2.66590898014651e-31,"Tnfaip2"
"ENSMUSG00000036905.9",989.883774109135,-10.0398857395957,0.75143476560629,-13.3609545354148,1.23330628596299e-33,3.44311266189247e-31,"C1qb"
"ENSMUSG00000038642.11",1848.60863321754,-9.02464345491548,0.669679827223366,-13.4760568977172,2.1863418751005e-33,5.9130299243929e-31,"Ctss"
"ENSMUSG00000062593.18",252.071505002378,-12.4052726692432,0.951790216378729,-13.0336207031434,2.18204617110304e-33,5.9130299243929e-31,"Gm49339"
"ENSMUSG00000021866.16",64.1955112755211,-6.87917950943282,0.491596793881679,-13.9935402245291,2.90061352587203e-33,7.72411069527985e-31,"Anxa11"
"ENSMUSG00000034116.18",82.4963157811884,-9.60682689925194,0.724322894030047,-13.2631827302885,7.28957639836124e-33,1.91174663453386e-30,"Vav1"
"ENSMUSG00000006519.12",162.63065357443,-10.5793626638305,0.806294725458601,-13.1209622608076,7.45379802671127e-33,1.92563865737829e-30,"Cyba"
"ENSMUSG00000024066.10",961.728570162207,-5.74717932275214,0.400114262526915,-14.3638451837631,9.04263211236929e-33,2.30174881225e-30,"Xdh"
"ENSMUSG00000076441.10",150.975101978579,-7.1287495525294,0.517151912278204,-13.784633457363,1.06362604753757e-32,2.66815989229389e-30,"Ass1"
"ENSMUSG00000095115.3",95.919601767534,-9.52585394370805,0.719968947297097,-13.2309233328325,1.18405548854389e-32,2.92783092160087e-30,"Itpripl2"
"ENSMUSG00000000275.17",101.021111796813,-9.19486907461047,0.697539096870119,-13.1818691108042,3.60449392307048e-32,8.78735004428548e-30,"Trim25"
"ENSMUSG00000030220.14",124.924193659826,-6.47601054991639,0.466657720168869,-13.8774315092718,4.23963776373736e-32,1.01922069517403e-29,"Arhgdib"
"ENSMUSG00000091971.4",206.637568565586,-6.30740491748959,0.452504184590191,-13.9388874894093,4.52805772260651e-32,1.07364590576159e-29,"Hspa1a"
"ENSMUSG00000029925.14",71.4895730485985,-9.90564182504595,0.76384921324831,-12.9680592101701,1.03347326872954e-31,2.40831148092002e-29,"Tbxas1"
"ENSMUSG00000061981.15",105.980372668287,-5.65330976464373,0.399149025098841,-14.1634061695223,1.04352279778729e-31,2.40831148092002e-29,"Flot2"
"ENSMUSG00000020143.16",121.183354652552,-9.57939971191536,0.737363358157316,-12.9914235714864,1.36410678745039e-31,3.10675320841827e-29,"Dock2"
"ENSMUSG00000029994.18",193.627530397023,-8.8079917436431,0.672397324465368,-13.099385472193,1.78714863037431e-31,4.01737086274661e-29,"Anxa4"
"ENSMUSG00000134910.1",27.0281366299036,-4.99471729519373,0.345428864521841,-14.4594670804585,3.11712665440794e-31,6.91722375142911e-29,"ENSMUSG00000134910"
"ENSMUSG00000028459.12",109.540613465895,-6.9387286419986,0.513927362739005,-13.5013800491538,3.45895078806202e-31,7.57860496083109e-29,"Cd72"
"ENSMUSG00000112148.2",286.546906296711,-10.3789752002309,0.818754500634376,-12.6765412491647,1.10759090375008e-30,2.39641136912626e-28,"Lilrb4a"
"ENSMUSG00000093938.3",34.978450695082,-9.82857997465291,0.77081224177055,-12.7509391289333,1.12781017305623e-30,2.41003287474447e-28,"Evi2b"
"ENSMUSG00000024300.18",138.180294983029,-9.56834651886264,0.751324317794844,-12.7353078986529,1.98926187040807e-30,4.1990406969382e-28,"Myo1f"
"ENSMUSG00000030793.5",56.2735757030404,-9.4129398406897,0.738220874123245,-12.7508448631571,2.18293080335404e-30,4.55233123798254e-28,"Pycard"
"ENSMUSG00000058818.14",75.8779715186884,-9.82958837601052,0.775564671294486,-12.6741053838928,2.49133723144115e-30,5.13363763559701e-28,"Pirb"
"ENSMUSG00000029919.6",85.8038080314629,-7.34119727818671,0.557253461847117,-13.173892637388,2.64883834530124e-30,5.39396975515519e-28,"Hpgds"
"ENSMUSG00000026712.4",175.670361907396,-6.15998434038726,0.453866204308308,-13.5722472436014,2.98490904030066e-30,5.93859661822577e-28,"Mrc1"
"ENSMUSG00000071637.6",557.013158893266,-4.34045145965651,0.293819077390824,-14.7725311038366,2.9807614813828e-30,5.93859661822577e-28,"Cebpd"
"ENSMUSG00000003882.6",59.3541818024098,-9.90863490574304,0.784291084143878,-12.6338742159222,3.35153597417701e-30,6.51817260416067e-28,"Il7r"
"ENSMUSG00000039062.16",239.743674307293,-6.88794165198513,0.518355362721508,-13.2880686635931,3.34951132278972e-30,6.51817260416067e-28,"Anpep"
"ENSMUSG00000024679.11",98.8032639967518,-8.89215322123704,0.695614511165324,-12.7831623384919,3.90016337347819e-30,7.50088087017044e-28,"Ms4a6d"
"ENSMUSG00000035004.4",39.905577365801,-9.0834685569216,0.716029428448937,-12.6858871940476,7.4109069201667e-30,1.40961964704577e-27,"Igsf6"
"ENSMUSG00000004730.16",202.810500333516,-9.39037346374584,0.744761541436435,-12.6085638708391,9.67355039944143e-30,1.81999438982534e-27,"Adgre1"
"ENSMUSG00000034641.3",72.1765749374155,-10.0744517816235,0.806418558919682,-12.4928322521741,1.12201003375062e-29,2.08826577141822e-27,"Cd300ld"
"ENSMUSG00000025877.15",92.019783308685,-9.26245350136472,0.736301198100113,-12.5797072247943,1.59777959409785e-29,2.94212414832336e-27,"Hk3"
"ENSMUSG00000020865.17",76.0610741419826,-8.7935015692775,0.696266675828712,-12.6295022791537,2.19950135304693e-29,4.00749146525151e-27,"Abcc3"
"ENSMUSG00000079419.5",85.3787757956295,-9.24468661809583,0.736763141257242,-12.5477050905673,2.27146598608195e-29,4.09550049511379e-27,"Ms4a6c"
"ENSMUSG00000059326.8",55.8271829120296,-9.71361733902692,0.779711636650561,-12.4579612287872,2.68928568816593e-29,4.7988501006664e-27,"Csf2ra"
"ENSMUSG00000030096.9",316.407669270411,-7.14526193918022,0.550259374985308,-12.9852616129821,2.92622350599446e-29,5.16836761890389e-27,"Slc6a6"
"ENSMUSG00000000682.8",147.501625095483,-9.40431760527351,0.754231244976158,-12.4687457168004,3.87793982419786e-29,6.78012731485259e-27,"Cd52"
"ENSMUSG00000069833.14",398.908364273478,-4.91462755971436,0.35140985091197,-13.9854575702987,4.0159868280804e-29,6.95127160072437e-27,"Ahnak"
"ENSMUSG00000021948.18",151.923656107213,-6.50730080308191,0.496078475299543,-13.1174826707663,6.15590019248899e-29,1.05497501417616e-26,"Prkcd"
"ENSMUSG00000024521.9",31.3938076216633,-8.81008974058938,0.705522058217339,-12.4873342200669,8.77550347880042e-29,1.4891685266133e-26,"Pmaip1"
"ENSMUSG00000058715.12",209.12263878778,-6.4654533666287,0.495055422692155,-13.0600596827503,1.22402333292036e-28,2.05695338539014e-26,"Fcer1g"
"ENSMUSG00000022831.15",98.408325540145,-7.03445495922148,0.547361843246308,-12.8515625376832,1.45375942808935e-28,2.41953095584602e-26,"Hcls1"
"ENSMUSG00000025993.11",128.281401678938,-7.74643082211977,0.613776409419587,-12.6209328075107,2.09537764605218e-28,3.45418015957306e-26,"Slc40a1"
