"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000046447.4",1987.45928007797,-7.19123904399622,0.323302069393692,-22.2430962396324,4.8380688148178e-82,8.37421331156814e-78,"Camk2n1"
"ENSMUSG00000024617.17",1419.96813973961,-11.4278860860075,0.652323173338228,-17.5187492229135,8.02894699798411e-58,6.94865217940535e-54,"Camk2a"
"ENSMUSG00000074657.6",2917.8426164699,-11.1078746000421,0.655296448612998,-16.9509153049021,5.56737193501347e-54,3.21218802743827e-50,"Kif5a"
"ENSMUSG00000058297.17",816.2813677145,-10.4727849808419,0.623480037466352,-16.7973060106309,1.95532147315299e-52,8.46116484470126e-49,"Spock2"
"ENSMUSG00000003469.10",360.397546704271,-9.67778935804729,0.572996063923515,-16.8898007636909,4.11342324239541e-52,1.42398485805244e-48,"Phyhip"
"ENSMUSG00000027221.6",199.405489417296,-9.70593100490333,0.582453579480681,-16.6638704728318,8.14681732598936e-51,2.35022101825916e-47,"Chst1"
"ENSMUSG00000059213.8",581.623026498964,-11.2280330833081,0.699234871163752,-16.0575988789304,9.38257806023542e-49,2.32004348063735e-45,"Ddn"
"ENSMUSG00000037754.14",189.154696477158,-8.90466884224717,0.542173735479299,-16.4240136685617,1.89402237590297e-48,4.09795416306306e-45,"Ppp1r16b"
"ENSMUSG00000025738.9",1301.65814076047,-5.37227825025593,0.300197744404766,-17.8957981876517,2.35659865043252e-48,4.53226289337073e-45,"Fbxl16"
"ENSMUSG00000049176.17",93.5623641880453,-8.47418576162394,0.515563636145211,-16.4367406223296,6.31741049270924e-48,1.09348058218304e-44,"Frmpd4"
"ENSMUSG00000028528.18",362.466565119828,-8.51202581134993,0.52635997022015,-16.1714915512853,1.64351664759176e-46,2.5861481502878e-43,"Dnajc6"
"ENSMUSG00000070570.6",602.521299609322,-8.808981856126,0.552308350282783,-15.9493910450852,1.09480549049e-45,1.57916568624095e-42,"Slc17a7"
"ENSMUSG00000026090.17",204.609261191575,-7.88945018801171,0.497145107035944,-15.8695118917087,5.6879354467132e-44,7.57326728055067e-41,"Cracdl"
"ENSMUSG00000030134.12",225.394851781945,-9.43638798159992,0.611584362776369,-15.4294134316355,1.37877911863375e-43,1.70466341174512e-40,"Rasgef1a"
"ENSMUSG00000024403.17",416.319480048997,-5.64457248278227,0.337483050755396,-16.7254991625443,2.14559301994587e-43,2.47587130548288e-40,"Atp6v1g2"
"ENSMUSG00000027438.15",783.677287304859,-5.14356996044579,0.303525769788039,-16.9460733565973,9.89367519076606e-43,1.07031014923106e-39,"Napb"
"ENSMUSG00000030774.14",831.641074791995,-6.34796247950285,0.393770042435663,-16.120988890464,2.58024677248115e-42,2.62714655205155e-39,"Pak1"
"ENSMUSG00000032936.14",233.650266958501,-8.81123580521542,0.575490729671539,-15.3108214449335,2.88826996999397e-42,2.77739249503476e-39,"Camkv"
"ENSMUSG00000026458.14",143.996255564052,-6.4667722049676,0.404599225873243,-15.9831551605429,6.68171124844062e-42,6.08703894732941e-39,"Ppfia4"
"ENSMUSG00000004267.17",848.684069807211,-6.69575875478236,0.423196506222319,-15.8218668073428,1.36477722935656e-41,1.18114645314663e-38,"Eno2"
"ENSMUSG00000023800.16",80.6391814045192,-7.89927187613893,0.521956308231884,-15.1339714676455,3.44912277978921e-40,2.84289839025578e-37,"Tiam2"
"ENSMUSG00000040907.16",2988.64945190464,-5.90469294225947,0.372649529056791,-15.8451641068882,7.2906019990608e-40,5.73604681826106e-37,"Atp1a3"
"ENSMUSG00000097431.5",64.970660107998,-7.41205670594601,0.489530460489025,-15.1411552583298,1.68177034734913e-39,1.26564186705505e-36,"Gm26782"
"ENSMUSG00000066129.18",204.692870200368,-6.91069216216217,0.451554875966373,-15.3042133525246,1.88688453465543e-39,1.36083685043129e-36,"Kndc1"
"ENSMUSG00000030235.18",95.5229949428131,-7.00405295544462,0.459129216451399,-15.2550800612926,2.22713862646919e-39,1.54198169942221e-36,"Slco1c1"
"ENSMUSG00000004187.12",333.120853828018,-5.96372527594797,0.380328874553131,-15.6804430979769,3.13019002146041e-39,2.08386381082531e-36,"Kifc2"
"ENSMUSG00000061981.15",105.980372668287,-7.93994452166899,0.541251349705886,-14.6696068767007,6.17079657960958e-38,3.95593770357268e-35,"Flot2"
"ENSMUSG00000027350.9",507.073463617851,-6.72065327853846,0.446912734510879,-15.0379543019597,8.15743992563874e-38,5.04275455974575e-35,"Chgb"
"ENSMUSG00000033192.6",125.012426059932,-6.63973052976122,0.441362124942541,-15.0437252191171,1.0877976895143e-37,6.49265179579414e-35,"Lpcat2"
"ENSMUSG00000026259.15",301.237546943806,-6.29545346527292,0.414978882455517,-15.1705393489457,1.35737720861528e-37,7.83161403464061e-35,"Ngef"
"ENSMUSG00000029120.11",707.396540722809,-8.02892979686556,0.550944242300532,-14.5730351284548,1.40721097093544e-37,7.85723054707148e-35,"Ppp2r2c"
"ENSMUSG00000078771.12",100.040187993418,-10.7967168861469,0.772113184588985,-13.983334440655,3.43792824475996e-37,1.85959687464219e-34,"Evi2a"
"ENSMUSG00000035864.15",1627.31521920199,-9.53406644744078,0.675735743935562,-14.109164023074,7.27877801513975e-37,3.81782935345618e-34,"Syt1"
"ENSMUSG00000044349.17",413.257266537949,-11.1549908549868,0.806163798667175,-13.8371269876286,1.10104297011099e-36,5.605280226368e-34,"Snhg11"
"ENSMUSG00000102543.6",278.482506666098,-6.18566560633893,0.412467416479699,-14.9967375826482,1.49928670736166e-36,7.4146153193494e-34,"Pcdhgc5"
