"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000029231.16",12587.4744683864,-6.2598262469381,0.187844687258753,-33.324478526855,7.91442484440097e-173,1.0820601647265e-168,"Pdgfra"
"ENSMUSG00000020122.17",35370.995335394,5.13980347497826,0.244314400311059,21.0376607700336,1.05528398460898e-64,7.213921318787e-61,"Egfr"
"ENSMUSG00000054976.15",378.848861212561,-6.83147583914502,0.389806462164723,-17.5253016617724,6.70875481960561e-51,2.2930523973412e-47,"Nyap2"
"ENSMUSG00000064125.15",233.473878040283,-4.7297864691506,0.249106331666734,-18.9870182644668,5.5392834571621e-51,2.2930523973412e-47,"Prr36"
"ENSMUSG00000036815.18",646.917397967967,-6.63461416817304,0.388585593355045,-17.0737522996924,6.02961095884861e-48,1.64873682058756e-44,"Dpp10"
"ENSMUSG00000037169.16",109.956811449552,-3.89736053489695,0.202534320760593,-19.2429634654555,1.01048062095349e-46,2.30254850827935e-43,"Mycn"
"ENSMUSG00000027514.15",142.850322908096,-6.37342912178796,0.377707851410579,-16.8739651505414,3.14097718402918e-46,6.13477715143528e-43,"Zbp1"
"ENSMUSG00000051379.13",300.011830549449,-4.98450884723884,0.281359190479353,-17.7158202607376,7.91234935098893e-46,1.35222050408401e-42,"Flrt3"
"ENSMUSG00000078922.10",275.783491536467,-8.00786509365331,0.501519661194872,-15.9672007166669,1.13495351770322e-44,1.72412049933761e-41,"Tgtp1"
"ENSMUSG00000048834.17",397.438620670625,-7.17772144424206,0.452850290047136,-15.8500979286001,1.12860369519114e-42,1.54302697206532e-39,"Vstm2a"
"ENSMUSG00000046338.5",207.272543582382,-4.53054396957379,0.266711045312279,-16.9867129584723,2.67046240241428e-40,3.31914199689164e-37,"Gpat2"
"ENSMUSG00000072923.7",225.563093132216,-6.9950259462885,0.453500345185454,-15.4245217683968,3.3877989143657e-40,3.85983222976732e-37,"Gm10439"
"ENSMUSG00000078921.4",1503.76630701187,-5.48681948688745,0.343775164090979,-15.960488307513,3.11091102548319e-39,3.27172119541586e-36,"Tgtp2"
"ENSMUSG00000045215.19",190.791035499093,-4.8949664987897,0.298944888817611,-16.3741434688859,4.18238550295685e-39,4.08439818545901e-36,"Asxl3"
"ENSMUSG00000051251.4",89.9213730044381,-5.24783018317771,0.32777994259382,-16.0102236325081,1.03938499450937e-38,9.47364776328806e-36,"Nhlh1"
"ENSMUSG00000023236.8",321.928970004745,-5.32736541495514,0.334866746631975,-15.9089114357778,1.67696284480501e-38,1.43296475088588e-35,"Scg5"
"ENSMUSG00000025592.18",224.035349217062,-4.53751713165266,0.27591189833799,-16.445529022073,6.23904465624387e-38,5.01765991412742e-35,"Dach2"
"ENSMUSG00000030111.10",2730.33209598953,4.92224672591875,0.311266914866166,15.8135879235194,1.04359719653279e-36,7.92670048388687e-34,"A2m"
"ENSMUSG00000045573.10",314.295716343406,-5.49689061728667,0.358762686322678,-15.3218013657715,2.41872626623275e-36,1.74046450062811e-33,"Penk"
"ENSMUSG00000025777.9",661.289771702107,-4.45106954236243,0.275711922075365,-16.1439139405287,3.01580407033465e-36,2.06160366248077e-33,"Gdap1"
"ENSMUSG00000027350.9",506.263090657125,-3.82418459249899,0.227803107124396,-16.7872363146071,1.34834862879481e-35,8.77839164422985e-33,"Chgb"
"ENSMUSG00000028270.13",1006.63022753288,-4.58993388356944,0.289952938379197,-15.8299271227484,1.65406276268226e-35,1.02792482233599e-32,"Gbp2"
"ENSMUSG00000075478.4",313.818108329688,-5.69457607361296,0.37999300792363,-14.986002254961,2.30664089996183e-35,1.37114758192514e-32,"Slitrk1"
"ENSMUSG00000036594.16",423.696884138047,-7.12575372659671,0.500974548851281,-14.2237839086553,1.10590146737667e-34,6.29995202582243e-32,"H2-Aa"
"ENSMUSG00000037872.6",90.2412606077684,-5.99040332411616,0.40829039506122,-14.671918312499,1.1759878922917e-34,6.43124258536487e-32,"Ackr1"
"ENSMUSG00000079363.8",663.039900571959,-4.66469168589437,0.301655069360235,-15.4636608487551,2.91723471322085e-34,1.53401665381367e-31,"Gbp4"
"ENSMUSG00000027834.16",573.601668190256,-4.04490249079197,0.252941848111136,-15.9914325011761,1.12225904120364e-33,5.68278726345783e-31,"Serpini1"
"ENSMUSG00000061911.16",595.135272745769,-5.26950148860382,0.355295320160249,-14.8313281644889,1.45048645953166e-33,7.08251816954174e-31,"Myt1l"
"ENSMUSG00000060586.12",324.272375550933,-6.00062819041344,0.417672192790589,-14.3668367058901,2.47227541452698e-33,1.16554998163493e-30,"H2-Eb1"
"ENSMUSG00000048852.14",63.2887834927668,-5.80247467937963,0.40311870623405,-14.3939603636521,5.04507253652938e-33,2.29920772398099e-30,"Gm12185"
"ENSMUSG00000095620.8",33.0780536268892,-4.13310731649404,0.264281350018471,-15.6390426952381,1.01124697629614e-32,4.459925374168e-30,"Csta2"
"ENSMUSG00000005338.15",949.091016320147,-5.35254631565342,0.36733454454094,-14.571312159989,1.088894875471e-32,4.65230335544984e-30,"Cadm3"
"ENSMUSG00000028399.19",1446.12426785188,-4.82870430444988,0.324509948008064,-14.8799885306749,1.98856945580339e-32,7.99638870580703e-30,"Ptprd"
"ENSMUSG00000054072.13",1226.84606423455,-4.78757773962555,0.321003957477088,-14.9143885242202,1.97108502970068e-32,7.99638870580703e-30,"Iigp1"
"ENSMUSG00000027525.19",850.737827060516,-4.40848990270517,0.292476922900917,-15.0729495475397,1.09626720868156e-31,4.28233293631264e-29,"Phactr3"
"ENSMUSG00000028137.10",267.037377305793,-5.06024198566377,0.348997240061065,-14.499375366918,1.38370014794751e-31,5.25498567298289e-29,"Celf3"
"ENSMUSG00000032024.11",176.366204758602,-4.36595468548895,0.293786992081893,-14.860953014121,1.08291028151686e-30,4.00149982943204e-28,"Clmp"
