"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000070570.6",598.438542275801,-9.17195524251606,0.378269079544312,-24.2471714938086,8.31632537780652e-104,1.13700800565371e-99,"Slc17a7"
"ENSMUSG00000030235.18",94.5860357562306,-7.83645857022404,0.318636879741414,-24.5936960485667,2.03617043340374e-102,1.39192610827479e-98,"Slco1c1"
"ENSMUSG00000027347.20",367.082270303802,-9.65927828116955,0.429639405959996,-22.4822913056279,1.22225361822141e-90,5.57021715610771e-87,"Rasgrp1"
"ENSMUSG00000024617.17",1405.92453022212,-8.78888649236969,0.436198986790114,-20.148800796272,1.29170507819414e-71,4.41504795726758e-68,"Camk2a"
"ENSMUSG00000026458.14",143.066324538633,-5.62427694152478,0.259942854907257,-21.6365898709985,4.25497664625764e-71,1.16348081415269e-67,"Ppfia4"
"ENSMUSG00000003469.10",356.934987400063,-7.42378523743507,0.361826202230628,-20.5175445881698,8.05573526781538e-71,1.8356335430262e-67,"Phyhip"
"ENSMUSG00000053025.14",361.710074682501,-8.34409785906861,0.440181282608427,-18.9560487661428,8.53070577421867e-63,1.66616870493025e-59,"Sv2b"
"ENSMUSG00000058297.17",809.2220933082,-9.23996566820012,0.499533873015507,-18.4971754015834,1.98262562463624e-61,3.38830719250333e-58,"Spock2"
"ENSMUSG00000019828.14",66.547517603501,-7.95469069770911,0.435419781906603,-18.2690153921748,9.95201089593635e-58,1.51182103299158e-54,"Grm1"
"ENSMUSG00000017740.18",416.899528007262,-6.07594094548945,0.321063452812258,-18.9244241045472,1.33208331487374e-56,1.82122430809537e-53,"Slc12a5"
"ENSMUSG00000037996.18",523.585399695611,-8.1232724038148,0.451239373312025,-18.0021356385443,1.9416980686702e-56,2.41335418135081e-53,"Slc24a2"
"ENSMUSG00000054942.14",121.683687825906,-5.66575510810986,0.302158470725728,-18.7509391826804,4.30925276055914e-54,4.90967531186371e-51,"Miga1"
"ENSMUSG00000040536.16",127.468869241198,-9.78065018308436,0.570027907578576,-17.1581953322805,7.70500850633591e-54,8.10329817681727e-51,"Necab1"
"ENSMUSG00000049176.17",92.7117897707924,-7.70544747755286,0.441135409158395,-17.4673066763184,1.75656328025734e-52,1.71540951197703e-49,"Frmpd4"
