"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000032011.6",2106.59353445063,8.73710837226602,0.51865691518702,16.8456413409923,1.26638589970162e-50,1.73190935643193e-46,"Thy1"
"ENSMUSG00000041836.11",1100.92369344165,-5.07714155622494,0.294768686294991,-17.2241550486267,8.20886036055379e-44,5.61321871454668e-40,"Ptpre"
"ENSMUSG00000040373.13",671.668624562266,-6.95875916973968,0.501273386279218,-13.8821636261047,6.89405975406753e-33,3.14277203988758e-29,"Cacng5"
"ENSMUSG00000014932.16",921.20039965587,-3.71207009931827,0.229087818628062,-16.2036991820374,1.23324361473391e-32,4.21645991877523e-29,"Yes1"
"ENSMUSG00000047497.11",1005.52393830403,4.18691880176391,0.275054876514156,15.2221216901363,2.41269534993975e-31,6.5992043211552e-28,"Adamts12"
"ENSMUSG00000079584.3",402.283215698964,-7.10770354881698,0.537386270393016,-13.2264330899611,3.10275202940063e-30,7.07220612568049e-27,"Tm9sf5"
"ENSMUSG00000046186.9",3284.27620148294,-3.6519709153661,0.238876975657417,-15.2880825174358,6.14525481531235e-29,1.20060721220303e-25,"Cd109"
"ENSMUSG00000095180.11",1035.98272457722,-5.94161478251463,0.451336025311022,-13.1645037163168,3.3644706268053e-28,5.75156253652366e-25,"Rhox5"
"ENSMUSG00000041594.19",231.161684913624,-3.78855931787296,0.255495805838007,-14.8282642270654,4.9239462767088e-28,7.48220992002995e-25,"Tmtc4"
"ENSMUSG00000026204.16",725.083383209547,-5.38572179867343,0.41430175551245,-12.9995147908843,1.73374676144964e-26,2.37107207095852e-23,"Ptprn"
"ENSMUSG00000021318.16",372.718400610276,6.34638165438659,0.506581468701952,12.527859873454,2.43802969517028e-26,3.03113582828625e-23,"Gli3"
"ENSMUSG00000063531.8",163.818695291377,-7.30602441783299,0.605059843132218,-12.0748790400828,9.82305552671787e-26,1.11950089486161e-22,"Sema3e"
"ENSMUSG00000068794.8",1270.68102190521,5.54996257948204,0.437557828172161,12.683952205052,1.25880492000249e-25,1.32426277584262e-22,"Col28a1"
"ENSMUSG00000035413.9",987.974096483615,2.53212708840167,0.152081149838099,16.6498418186428,3.58467192330377e-24,3.50171237307874e-21,"Tmem98"
"ENSMUSG00000024534.16",941.900399149099,3.88252643279373,0.296872634404262,13.0780879840436,1.37151984078718e-22,1.2504603561737e-19,"Sncaip"
"ENSMUSG00000017756.10",446.719645945526,6.53716619605663,0.570908089892254,11.450470420362,1.52420612562221e-22,1.30281518587558e-19,"Slc12a7"
"ENSMUSG00000029378.6",553.95842546061,-4.56052221849582,0.372195255032609,-12.2530369660308,5.54133658756533e-22,4.45784230420844e-19,"Areg"
"ENSMUSG00000050103.19",501.042583707641,3.30149936256019,0.241143473041938,13.6910168909528,6.86419144883096e-22,5.21526012523401e-19,"Agmo"
"ENSMUSG00000055737.13",225.411173785185,4.34939296603332,0.352513754355832,12.338222019113,1.03490613325731e-21,7.44914540969838e-19,"Ghr"
"ENSMUSG00000062393.15",147.215888980805,-6.41455814615229,0.573927234510688,-11.1766052566248,1.96949331650452e-21,1.34673952982579e-18,"Dgkk"
"ENSMUSG00000022091.7",306.77505294975,-3.65836493937256,0.282493404230639,-12.9502667481246,2.47217685400389e-21,1.6099757454932e-18,"Sorbs3"
"ENSMUSG00000030111.10",2730.33209598953,5.61711150661601,0.491003004517077,11.4400756307809,2.64068172177281e-21,1.64154378304386e-18,"A2m"
"ENSMUSG00000018800.15",1216.17398202188,-4.42042096757098,0.366579349435712,-12.0585651493339,5.26153757143367e-21,3.12855599247508e-18,"Abca5"
"ENSMUSG00000033826.11",75.6344484889043,5.47428020081999,0.481188489497223,11.3765817767999,7.1291446379912e-21,4.06242425288199e-18,"Dnah8"
"ENSMUSG00000025964.16",1162.67455596938,-5.62653373312658,0.500751567188247,-11.2361779808697,1.24197035648146e-20,6.79407463809618e-18,"Adam23"
"ENSMUSG00000002997.16",1228.54590663847,-3.6581113294253,0.290558166410003,-12.5899449828692,2.89200373231106e-20,1.52119396319562e-17,"Prkar2b"
"ENSMUSG00000038059.8",150.427282922122,4.61401368155068,0.411901515649871,11.2017399942581,8.62336178664712e-19,4.3678924368217e-16,"Smim3"
"ENSMUSG00000037428.15",534.314916815096,-6.08216077820114,0.582566714525794,-10.4402819909682,1.34579899553031e-18,6.57326680816874e-16,"Vgf"
"ENSMUSG00000037989.17",269.41740839852,-5.96956302877974,0.576541052693609,-10.3540988120271,3.35892297576603e-18,1.58402174539918e-15,"Wnk2"
"ENSMUSG00000024426.18",248.441923830968,-3.91675482362589,0.339278175862664,-11.5443759789942,4.09341431794247e-18,1.86605114040604e-15,"Atat1"
"ENSMUSG00000020000.8",61.6886472905098,-3.92499660677822,0.343503486413164,-11.4263661419065,8.31604595767175e-18,3.66871756506835e-15,"Moxd1"
"ENSMUSG00000026303.7",58.0617663357771,4.22420197217286,0.381086941699518,11.0846148475578,1.33069148572017e-17,5.68704273709657e-15,"Mlph"
"ENSMUSG00000031851.15",232.995195833005,5.31243220071744,0.515785371905462,10.2996953579582,3.11196257301904e-17,1.28967273177601e-14,"Ntpcr"
"ENSMUSG00000033910.14",731.715009347265,5.18604993808123,0.505293923368282,10.2634322287335,5.93599530495011e-17,2.38766681736758e-14,"Gucy1a1"
"ENSMUSG00000024261.7",714.250473814612,-6.2228150577057,0.644319967662045,-9.65795780050954,2.61709520103304e-16,1.02261125626651e-13,"Syt4"
"ENSMUSG00000020098.8",87.8197425034875,-5.96413168434198,0.621520526773743,-9.59603332057469,6.90884554285962e-16,2.6245936567819e-13,"Pcbd1"
"ENSMUSG00000051236.14",742.842322704057,2.7932805353827,0.225525588766268,12.3856479021439,9.20877521108696e-16,3.40376242667095e-13,"Msrb3"
"ENSMUSG00000028024.15",78.2047457087687,4.49689237305061,0.440153188302488,10.2166529575612,9.73175695298909e-16,3.50240810760734e-13,"Enpep"
"ENSMUSG00000022514.15",2937.97756067738,-2.11190770640378,0.140649304815742,-15.0154151786992,1.33394898737955e-15,4.67187421173168e-13,"Il1rap"
"ENSMUSG00000022899.11",594.312933362053,2.78938356490506,0.226431607809645,12.3188789404791,1.36644463636493e-15,4.67187421173168e-13,"Slc15a2"
"ENSMUSG00000036098.16",810.964579449956,-3.60535373479331,0.331605189668681,-10.8724285599859,1.9704476006115e-15,6.57264424047874e-13,"Myrf"
"ENSMUSG00000032262.14",1588.75417802071,-2.24465339513057,0.159249209810047,-14.0952246972402,2.7316475735574e-15,8.89476481332643e-13,"Elovl4"
"ENSMUSG00000022665.16",1198.44381253244,3.41910379649864,0.309651311048155,11.041786921312,2.80661622711431e-15,8.92634500511984e-13,"Ccdc80"
"ENSMUSG00000045930.4",393.920248013976,5.61774473231739,0.593689250195699,9.46243296550442,3.68254517691196e-15,1.14460199635109e-12,"Clec14a"
"ENSMUSG00000044626.14",92.995482247009,-4.2954982418288,0.425135685173774,-10.1038289459823,4.53570839160013e-15,1.37845217696719e-12,"Liph"
"ENSMUSG00000022790.15",242.330787200741,-5.61335889849505,0.598076310710707,-9.38569008330153,6.11286872612634e-15,1.81738244996747e-12,"Igsf11"
"ENSMUSG00000017897.19",69.367791548509,-5.40615531380581,0.57260649072287,-9.4413098723016,7.07969963716521e-15,2.0600419625079e-12,"Eya2"
"ENSMUSG00000062937.8",11310.4404231804,-2.13952845567122,0.148925473297079,-14.3664371736006,9.91935329378214e-15,2.82618907595343e-12,"Mtap"
"ENSMUSG00000007480.7",111.793609206798,3.73895689597809,0.359193483646174,10.4093116000433,1.21736841768358e-14,3.39770009800829e-12,"Mc5r"
"ENSMUSG00000024266.9",80.6019072117771,6.3094017316173,0.6966785123255,9.05640352040806,1.25838273274893e-14,3.44192845061488e-12,"Adad2"
"ENSMUSG00000043496.8",1628.85994081924,2.72333463727787,0.226434179017936,12.0270475468377,1.36251646575389e-14,3.65368140895102e-12,"Tril"
"ENSMUSG00000057315.15",221.181143671879,3.53731741530434,0.336189595718038,10.521793239167,2.22219158380167e-14,5.84436386539838e-12,"Arhgap24"
"ENSMUSG00000036949.17",156.985470222024,5.25789025811385,0.568347556545124,9.25118828710297,3.39931955922477e-14,8.77152722489772e-12,"Slc39a12"
"ENSMUSG00000030862.14",51.3452661487095,6.15125153114492,0.695977554502726,8.83829010195589,6.73465331294275e-14,1.7056133094038e-11,"Cpxm2"
"ENSMUSG00000090958.3",307.163407467651,3.89177768930774,0.394418011221264,9.86713988353969,1.13575902338647e-13,2.82411643706062e-11,"Lrrc32"
"ENSMUSG00000024172.11",1195.13053607335,6.91780401329516,0.809762679025753,8.54300178617537,1.35501224979306e-13,3.3091334871732e-11,"St6gal2"
"ENSMUSG00000035835.15",407.090680191754,-3.92518480348955,0.40225111551807,-9.75804578797551,1.7705390824159e-13,4.24805131423156e-11,"Plppr3"
"ENSMUSG00000041607.18",4781.02493179466,-5.58081785469287,0.633765713977388,-8.80580588632472,2.45195325646039e-13,5.78153667850901e-11,"Mbp"
"ENSMUSG00000033544.7",77.0315819790414,3.30534635978233,0.320842807439031,10.3020740473057,3.35340672238018e-13,7.77308310767311e-11,"Angptl1"
"ENSMUSG00000020027.19",1481.98221321705,3.4517473001339,0.341799522146837,10.0987481739399,3.66707704979162e-13,8.3584909554917e-11,"Socs2"
"ENSMUSG00000040310.13",91.3028426230944,7.20015987580695,0.873422586731699,8.24361538754061,6.29705507252399e-13,1.38900847051352e-10,"Alx4"
"ENSMUSG00000049721.15",67.7404705798453,-5.51926034409761,0.636472066825999,-8.67164582983417,6.21599278975035e-13,1.38900847051352e-10,"Gal3st1"
"ENSMUSG00000039114.17",814.07597996073,2.9528911575788,0.275723650758078,10.7096041614859,7.06432289984903e-13,1.53351872981485e-10,"Nrn1"
"ENSMUSG00000082226.5",165.611877593445,2.15428613456971,0.163705109913251,13.1595533927517,8.88127707378308e-13,1.89781789470402e-10,"Gm715"
"ENSMUSG00000024935.12",379.824653398108,-4.29371169342438,0.467279263812029,-9.18874862624249,9.02980371438075e-13,1.89987070150571e-10,"Slc1a1"
"ENSMUSG00000062591.6",2036.21829107644,-4.62153807354469,0.514970827802744,-8.97436869048229,1.01424566146415e-12,2.10163994942178e-10,"Tubb4a"
"ENSMUSG00000044393.16",42.8668316763276,-7.04309854409203,0.864288393429129,-8.14901437718956,1.3550403937734e-12,2.76590036197688e-10,"Dsg2"
"ENSMUSG00000039126.11",2074.5075601874,-2.96177756719672,0.282011017709417,-10.5023470049263,1.7455593864352e-12,3.51062796601292e-10,"Prune2"
"ENSMUSG00000001025.9",238.826975981124,-4.84042641194493,0.552718793010601,-8.75748477011182,1.84927196234587e-12,3.66531063145538e-10,"S100a6"
"ENSMUSG00000025592.18",224.035349217062,-4.44455387563245,0.497140714573716,-8.94023310772993,2.12317399900099e-12,4.14807537290537e-10,"Dach2"
"ENSMUSG00000092165.11",22.4225100968722,-5.6932021865123,0.679772127736821,-8.37516272617237,2.52646389017362e-12,4.86646762845273e-10,"Gm5624"
"ENSMUSG00000035456.10",76.9571343372485,5.56092680312516,0.661524807909856,8.40622564208194,2.70146467164216e-12,5.13128206241364e-10,"Prdm8"
"ENSMUSG00000028132.16",443.524428031613,-4.23240219637224,0.46900690929898,-9.02417877531564,2.75039745063532e-12,5.15266240203953e-10,"Tlcd4"
"ENSMUSG00000086596.3",343.126624901232,-4.17082257630848,0.46366059207824,-8.99542175368804,3.99654079049277e-12,7.38603943929448e-10,"Susd5"
"ENSMUSG00000042750.8",1302.84342826472,-3.04379192889578,0.301382325063651,-10.0994374114439,5.9511389770612e-12,1.05698411234142e-09,"Bex2"
"ENSMUSG00000050248.12",194.944299773537,-5.00307857821471,0.590091910509278,-8.47847341933023,5.85186938105261e-12,1.05698411234142e-09,"Evc2"
"ENSMUSG00000054150.13",105.11797895107,-3.18018701857685,0.321490477517029,-9.89201000022904,5.94680773714749e-12,1.05698411234142e-09,"Syne3"
"ENSMUSG00000054675.6",161.4849698463,3.85736977982342,0.421713958288858,9.14688666098472,6.19407476209832e-12,1.08602777495457e-09,"Tmem119"
"ENSMUSG00000048402.15",304.806530434931,3.24245223902319,0.333042297103379,9.73585717857545,8.29655459359283e-12,1.43624912179716e-09,"Gli2"
"ENSMUSG00000071679.5",18.6644657440972,-6.76688779968562,0.856859007977075,-7.89731768784376,8.46774482328399e-12,1.4475609775404e-09,"Rtl4"
"ENSMUSG00000022510.15",32.5069221245521,4.54729303496818,0.52829639475304,8.60746558206947,9.4298673606816e-12,1.59213414845286e-09,"Trp63"
"ENSMUSG00000021127.9",5939.09416975346,2.0722904763893,0.160130934478197,12.94122514892,1.06855314695013e-11,1.7821381509378e-09,"Zfp36l1"
"ENSMUSG00000057914.16",293.76032602438,2.71092998128183,0.256199646098075,10.581318212454,1.21019858879532e-11,1.99405733739335e-09,"Cacnb2"
"ENSMUSG00000045441.6",215.079922441922,3.84588309960747,0.426356162801293,9.02035301739,1.23703668525622e-11,2.01401353661477e-09,"Gprin3"
"ENSMUSG00000019894.15",424.407050348343,-6.00670023460194,0.75380286111996,-7.9685293654597,1.54808811001406e-11,2.48302356744093e-09,"Slc6a15"
"ENSMUSG00000027684.17",341.195759028567,3.02810861742729,0.305407746503509,9.91496991184702,1.56142166422872e-11,2.48302356744093e-09,"Mecom"
"ENSMUSG00000047495.16",107.879395112244,-5.45755329034575,0.671632287715775,-8.12580542979391,1.60179325348508e-11,2.51794534881171e-09,"Dlgap2"
"ENSMUSG00000048782.17",33.9267792714755,-5.68509966523088,0.707745566142407,-8.03268849315118,1.79901786362716e-11,2.79583730715512e-09,"Insc"
"ENSMUSG00000066258.14",86.9102121507274,4.45070095322565,0.522754026381815,8.51394868066476,2.04192494816652e-11,3.13768152709273e-09,"Trim12a"
"ENSMUSG00000041025.16",2150.44603263057,-1.90207505248895,0.137731753376776,-13.8099966482361,2.88637102736313e-11,4.38600113002424e-09,"Iffo2"
"ENSMUSG00000022537.19",2191.77781047911,1.90963471791621,0.1392845263696,13.7103149049656,3.27169736051505e-11,4.91689374751691e-09,"Tmem44"
"ENSMUSG00000036856.5",55.3537716911268,4.06524247001102,0.472803135809758,8.59817154775968,4.4920598021232e-11,6.6775445493301e-09,"Wnt4"
"ENSMUSG00000023873.14",22.367163970866,-3.01713910711834,0.311893103784761,-9.67363199283972,4.98499964599572e-11,7.33062958695027e-09,"1700010I14Rik"
"ENSMUSG00000041633.15",731.8298939095,2.16963446277181,0.181184957919047,11.974694189245,5.39409845496858e-11,7.7652305758053e-09,"Kctd12b"
"ENSMUSG00000051279.3",19.5705808700133,6.78690893978366,0.896345833276546,7.57175265151227,5.37136201211407e-11,7.7652305758053e-09,"Gdf6"
"ENSMUSG00000001773.15",50.50884427804,5.64535626430806,0.723412856642992,7.80378204847702,6.7493151872219e-11,9.61496192712987e-09,"Folh1"
"ENSMUSG00000036834.18",157.669257614549,-3.41342771526485,0.377066374159612,-9.05259113298695,7.7415125364541e-11,1.09147345823244e-08,"Plch1"
"ENSMUSG00000062980.16",443.904862258673,2.63028980695745,0.255373065345088,10.2997933764202,8.62866843514367e-11,1.20413948488801e-08,"Cped1"
"ENSMUSG00000004668.15",208.713003502473,3.34187391772025,0.367005879731157,9.10577759726431,8.79529420052289e-11,1.21499437865001e-08,"Abca13"
"ENSMUSG00000064225.7",131.021709805239,-3.87360074940959,0.450836418626076,-8.59203158700975,9.2121054528457e-11,1.25984754173118e-08,"Paqr9"
"ENSMUSG00000015354.9",89.1293059847018,-5.01045731701078,0.629590232766624,-7.9582831121652,9.45458825197504e-11,1.28020741518822e-08,"Pcolce2"
"ENSMUSG00000041828.17",177.889025049219,4.65364446194226,0.577110842332883,8.06369265760215,1.21849258599882e-10,1.63373574569803e-08,"Abca8a"
"ENSMUSG00000053279.9",429.968445665991,3.91953385742969,0.461463191677793,8.49370855165936,1.25239154935719e-10,1.66288415815621e-08,"Aldh1a1"
"ENSMUSG00000028927.7",625.646109897185,-3.75279394633967,0.436054114804309,-8.60625738625087,1.36870561398401e-10,1.79984788238897e-08,"Padi2"
"ENSMUSG00000041144.13",358.322136077789,3.34787190857429,0.373929992279759,8.95320508569839,1.70479957772652e-10,2.22046085952266e-08,"Dnah7b"
"ENSMUSG00000035694.16",20.7934071928862,4.91347545880754,0.623520512225496,7.88021462400677,1.73230821094616e-10,2.23500444272639e-08,"Caps2"
"ENSMUSG00000027368.7",65.3741625989909,-3.13481043177741,0.342456642970385,-9.15388997739051,2.2760924772094e-10,2.90914399236596e-08,"Dusp2"
"ENSMUSG00000036545.10",99.4835131268227,4.80957960182937,0.614127822974064,7.83156115373148,2.76569596550714e-10,3.5021905578033e-08,"Adamts2"
"ENSMUSG00000055415.9",18.7839895656868,-5.27328600251323,0.69213316826896,-7.61888931822446,3.32747825337234e-10,4.1749167516624e-08,"Atp10b"
"ENSMUSG00000033032.16",361.443330626567,-2.86484793320364,0.303573908453338,-9.43706904127433,4.04941746729632e-10,5.03453029843131e-08,"Afap1l1"
"ENSMUSG00000074892.10",271.105455185971,-4.45649193817903,0.563373916736183,-7.91036255990872,4.24879570065624e-10,5.23482252271844e-08,"B3galt5"
"ENSMUSG00000034687.9",8067.71841599735,3.03871027892583,0.332987147962297,9.12560829305608,4.60622777982576e-10,5.62453313543724e-08,"Fras1"
"ENSMUSG00000020218.12",69.5053324267815,5.4261821509757,0.726099069994983,7.47306032359083,5.44328817343276e-10,6.58782381060765e-08,"Wif1"
"ENSMUSG00000035407.9",328.72401907874,2.79308549373909,0.295294300530517,9.45865019650267,6.30855705279707e-10,7.56805493456603e-08,"Kank4"
"ENSMUSG00000064373.14",7238.0029234964,2.89369897975216,0.312106040889553,9.27152506085641,6.49640396347437e-10,7.72563657430222e-08,"Selenop"
"ENSMUSG00000029608.11",350.003008598377,6.62475002262895,0.927521263862612,7.14242387828452,6.62724350524221e-10,7.81329156704246e-08,"Rph3a"
"ENSMUSG00000048349.10",488.223367841699,-2.48206014747809,0.244801753775793,-10.1390619519472,7.05919595576834e-10,8.251415717187e-08,"Pou4f1"
"ENSMUSG00000057143.16",172.079282147617,3.71529482129239,0.448939706631214,8.2757100038477,7.32186255496308e-10,8.48591460183687e-08,"Trim12c"
"ENSMUSG00000021414.9",53.0186326764375,3.66515693780466,0.442085168973737,8.29061274847336,8.26903786215922e-10,9.50313964730164e-08,"Fam217a"
"ENSMUSG00000004698.12",1295.44296340373,-2.74623071738345,0.29043915228621,-9.45544254542242,9.14092534838761e-10,1.04176079220457e-07,"Hdac9"
"ENSMUSG00000031618.14",156.515463279411,3.89039392462219,0.482509235945715,8.06283825219851,1.04702001633592e-09,1.18339221019917e-07,"Nr3c2"
"ENSMUSG00000001985.10",914.385653496932,-5.2127931202276,0.705469089699242,-7.3891162580205,1.17454798692391e-09,1.31664903845667e-07,"Grik3"
"ENSMUSG00000025789.10",146.356464550317,3.67285682095379,0.44832171367662,8.19245802491526,1.24647931185777e-09,1.38449108130028e-07,"St8sia2"
"ENSMUSG00000034898.18",145.209740633414,-3.93945565595394,0.493350560120895,-7.98510425322834,1.27556212521084e-09,1.38449108130028e-07,"Filip1"
"ENSMUSG00000040037.14",2331.0340782579,-2.85169925832334,0.310716661684771,-9.17781248955504,1.26547010031976e-09,1.38449108130028e-07,"Negr1"
"ENSMUSG00000072720.10",122.44741646205,2.71310745668037,0.287486201007579,9.43734846114873,1.26954679075131e-09,1.38449108130028e-07,"Myo18b"
"ENSMUSG00000049420.10",353.143988010297,3.53271512116155,0.425940471328556,8.29391748133868,1.37243223554664e-09,1.47790419317605e-07,"Tmem200a"
"ENSMUSG00000031661.13",825.514913827831,2.5072115856222,0.254848422087547,9.83805026173913,1.66797722014294e-09,1.78212941114647e-07,"Nkd1"
"ENSMUSG00000021684.18",499.899960809902,-4.10501038822393,0.526906823748901,-7.79077097354158,1.89735493996115e-09,2.0114903999154e-07,"Pde8b"
"ENSMUSG00000037824.7",1841.05632406655,-1.64039827933854,0.108760649189338,-15.0826451622482,1.9527929823421e-09,2.05433821742389e-07,"Tspan14"
"ENSMUSG00000018166.9",408.737723890934,-4.09604033840005,0.526639203202425,-7.77769735616444,2.06545588656258e-09,2.15627287821601e-07,"Erbb3"
"ENSMUSG00000047735.15",1382.76764200887,2.59669085749957,0.27342681111111,9.49684066075137,2.61702434333606e-09,2.71139582723212e-07,"Samd9l"
"ENSMUSG00000031502.12",13260.3834753564,2.16579250601993,0.200224549098509,10.8168179964505,2.89998406951302e-09,2.98196858155339e-07,"Col4a1"
"ENSMUSG00000041797.8",663.503561580096,2.76400301390457,0.303394382426476,9.11026430944016,3.04578314421197e-09,3.10851718509276e-07,"Abca9"
"ENSMUSG00000051678.5",632.402615090077,2.76319818916946,0.303910701619813,9.092138494768,3.28233077936303e-09,3.3251226473014e-07,"Pcdhb6"
"ENSMUSG00000041272.12",168.04021478845,-5.55141495929726,0.791849410863851,-7.01069532051689,4.51983119193777e-09,4.54508907212801e-07,"Tox"
"ENSMUSG00000039683.17",461.287740733661,3.38959907639958,0.41683265764649,8.13179825097642,4.94064556073211e-09,4.93199041522426e-07,"Sdk1"
"ENSMUSG00000074968.12",506.799508375113,-3.10279899247501,0.368758856064258,-8.41416807067633,5.90769262797955e-09,5.85460901306147e-07,"Ano3"
"ENSMUSG00000029710.16",1011.5089744262,2.39836551868324,0.245839986012313,9.75579911789907,6.42255648457674e-09,6.31905629374615e-07,"Ephb4"
"ENSMUSG00000028391.17",27.0093049987252,-5.86445938896328,0.855660288217678,-6.85372392492214,6.53926271657668e-09,6.38792549370733e-07,"Wdr31"
"ENSMUSG00000037016.12",1186.02908871136,2.63515630963571,0.287774906407998,9.15700518341816,6.65382382692353e-09,6.45373720971675e-07,"Frem2"
"ENSMUSG00000021803.11",92.1222912727287,-3.48053277412918,0.438079222369397,-7.94498482558555,7.46818904783031e-09,7.19260235338925e-07,"Cdhr1"
"ENSMUSG00000062312.6",612.171882925005,2.18868562010376,0.212030421608345,10.3225075133162,1.03406594773704e-08,9.88943070017603e-07,"Erbb2"
"ENSMUSG00000026185.9",32188.7583446844,2.86199336161949,0.332656484926261,8.60344977869256,1.08829180172705e-08,1.03357490836244e-06,"Igfbp5"
"ENSMUSG00000001131.12",310.867808120649,-3.63731667700244,0.475137100842999,-7.65529921900232,1.42309956507731e-08,1.34222825186188e-06,"Timp1"
"ENSMUSG00000043629.13",38.4516510439307,-4.80587408307833,0.686370239281519,-7.00186839118934,1.47036934822053e-08,1.37731309631945e-06,"1700019D03Rik"
"ENSMUSG00000021951.8",210.674749193657,-3.5180404700209,0.455165547361854,-7.72914490213838,1.58171761449409e-08,1.47153538066811e-06,"Eef1akmt1"
