"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000070570.6",598.438542275801,-9.88755505215719,0.598154746459804,-16.5300954488399,3.07384328993718e-50,4.20378808331808e-46,"Slc17a7"
"ENSMUSG00000049176.17",92.7117897707924,-10.4306307123456,0.69702189237011,-14.9645668615629,5.2088506303616e-42,3.56181206104126e-38,"Frmpd4"
"ENSMUSG00000032936.14",231.235820901487,-9.25126614782318,0.622667932221402,-14.85746361599,2.21222056672548e-40,8.46025052319152e-37,"Camkv"
"ENSMUSG00000035864.15",1615.85667219773,-10.7426643923537,0.735680677055568,-14.6023468162156,2.47448099537628e-40,8.46025052319152e-37,"Syt1"
"ENSMUSG00000030235.18",94.5860357562306,-7.62340153915158,0.509586991869864,-14.9599610287902,6.31319004967204e-39,1.7267837423863e-35,"Slco1c1"
"ENSMUSG00000045967.12",209.606225571822,-8.06546939326942,0.54458189696979,-14.8103883697714,8.57807232920941e-39,1.95522861957113e-35,"Gpr158"
"ENSMUSG00000053025.14",361.710074682501,-10.190881954247,0.713910631899982,-14.274730615967,3.15272121332793e-38,6.15951647335325e-35,"Sv2b"
"ENSMUSG00000027350.9",506.263090657125,-7.16082345188882,0.481063543691145,-14.8854003713203,7.52240772705931e-38,1.28595560094079e-34,"Chgb"
"ENSMUSG00000003469.10",356.934987400063,-8.61803283862595,0.605619022252882,-14.2301224399576,1.3788824778805e-36,2.09528852972152e-33,"Phyhip"
"ENSMUSG00000027834.16",573.601668190256,-7.86095626231062,0.550199253861771,-14.2874716880033,5.44483250492761e-36,7.446352933739e-33,"Serpini1"
"ENSMUSG00000056296.18",169.050218507843,-9.72264622938023,0.700153437685456,-13.8864507493115,6.3099336922535e-36,7.84496847047807e-33,"Synpr"
"ENSMUSG00000027347.20",367.082270303802,-9.63997867106391,0.701943367155888,-13.7332712610746,4.06839769889332e-35,4.63661724417208e-32,"Rasgrp1"
"ENSMUSG00000074657.6",2893.73648390231,-9.67735957763273,0.707988839703919,-13.6688024371681,7.76695675775272e-35,8.17083850915586e-32,"Kif5a"
"ENSMUSG00000028528.18",359.887030338726,-7.75558960112127,0.557430606015208,-13.913103294708,4.18068516237976e-34,4.08393216290754e-31,"Dnajc6"
"ENSMUSG00000040907.16",2976.03910906327,-5.76265101995478,0.395232906247514,-14.5803927984324,9.66940736964542e-34,8.81592101248472e-31,"Atp1a3"
"ENSMUSG00000066129.18",204.005823373952,-6.71874237114003,0.482399574630001,-13.9277535149016,1.01624801283922e-32,8.68637988974327e-30,"Kndc1"
"ENSMUSG00000058297.17",809.2220933082,-8.72387564246338,0.653367079323192,-13.3521812141197,1.50853524875093e-32,1.21357223893634e-29,"Spock2"
"ENSMUSG00000026204.16",725.083383209547,-7.94596544904928,0.589362245291177,-13.4823116216471,2.31658885653728e-32,1.76009273344465e-29,"Ptprn"
"ENSMUSG00000021057.16",135.796734905763,-6.9223252493207,0.503322138353648,-13.7532699673482,2.90523973373869e-32,2.08239872018488e-29,"Akap5"
"ENSMUSG00000027438.15",781.594453162312,-4.81215294501415,0.324199112613392,-14.8432020872082,3.18621507139851e-32,2.08239872018488e-29,"Napb"
"ENSMUSG00000035033.16",68.6005011810349,-8.93003467773805,0.674415768337075,-13.2411415880104,3.19759967270273e-32,2.08239872018488e-29,"Tbr1"
"ENSMUSG00000036306.14",263.413500802436,-6.76532169555847,0.490850485666834,-13.7828562731635,3.72068596866012e-32,2.31291369579072e-29,"Lzts1"
"ENSMUSG00000059213.8",576.10987940815,-9.49077097846197,0.733531993022079,-12.9384554030983,2.75251131161804e-31,1.63666716076906e-28,"Ddn"
"ENSMUSG00000008658.18",436.12133944792,-7.04585640746497,0.522822638426558,-13.4765710005779,3.1404008601553e-31,1.78950509014516e-28,"Rbfox1"
"ENSMUSG00000017740.18",416.899528007262,-6.97102303614619,0.522316670917573,-13.346353705119,1.4500611733743e-30,7.93241464282679e-28,"Slc12a5"
"ENSMUSG00000026959.14",381.143039960514,-6.94512170194676,0.521897633802679,-13.3074404866388,2.30873860997981e-30,1.21439650884938e-27,"Grin1"
"ENSMUSG00000053310.12",519.026287129591,-11.8248230150053,0.956496780757915,-12.3626375466057,5.39583176658414e-30,2.73308871258536e-27,"Nrgn"
"ENSMUSG00000026163.18",223.704640403602,-12.0812558121223,0.996181269998431,-12.1275677188162,4.80804548299397e-29,2.34838678662234e-26,"Sphkap"
"ENSMUSG00000090071.5",270.967975889753,-5.39162257154053,0.396646820915861,-13.5930058864237,8.58877684463862e-29,4.05034869404406e-26,"Cdk5r2"
"ENSMUSG00000024617.17",1405.92453022212,-8.74359767190619,0.700002419899781,-12.4908106362804,9.5625780737844e-29,4.35926059123585e-26,"Camk2a"
"ENSMUSG00000045573.10",314.295716343406,-11.0141808793543,0.912044804404833,-12.0763594355891,2.38667696829056e-28,1.05290949091425e-25,"Penk"
"ENSMUSG00000044349.17",409.397694845162,-10.407327196928,0.863510057711901,-12.0523520299288,6.13613843555885e-28,2.62243216389696e-25,"Snhg11"
"ENSMUSG00000027500.11",415.100291017937,-11.4297545057465,0.958199084820824,-11.9283713445456,6.81383378919325e-28,2.82381790609112e-25,"Stmn2"
"ENSMUSG00000011751.18",127.297201423004,-5.87718863585517,0.44878756684166,-13.0957028894892,8.23459686327446e-28,3.22051553935535e-25,"Sptbn4"
"ENSMUSG00000038453.18",497.095133921269,-8.4444330230013,0.685024623026261,-12.3271963359448,8.2420330416377e-28,3.22051553935535e-25,"Srcin1"
"ENSMUSG00000037996.18",523.585399695611,-8.74517610574314,0.726242655267055,-12.0416723560906,7.44216570126033e-27,2.82719605917879e-24,"Slc24a2"
"ENSMUSG00000027273.14",1918.2483345258,-9.92554816487954,0.84187546688812,-11.7898056841685,1.45866212757408e-26,5.39153060991976e-24,"Snap25"
"ENSMUSG00000037362.9",89.5205064074888,-10.0786487733526,0.856658820306933,-11.7650674159188,1.52631485518181e-26,5.49312683143854e-24,"Ccn3"
"ENSMUSG00000019852.8",214.684547502031,-6.99961653303987,0.57095540899736,-12.2594802023712,3.96667231116943e-26,1.39097975711675e-23,"Arfgef3"
"ENSMUSG00000102543.6",277.997420585862,-5.55515527565041,0.438128650126912,-12.6792787324939,1.28140402461686e-25,4.38112036016503e-23,"Pcdhgc5"
"ENSMUSG00000020154.11",163.839503207096,-5.31892259553229,0.417085346725448,-12.7526000069083,1.98574228360119e-25,6.62366133427557e-23,"Ptprb"
"ENSMUSG00000030134.12",224.19728810642,-7.63197946755403,0.641281710996126,-11.9011338335207,2.28049319614293e-25,7.42572022629778e-23,"Rasgef1a"
"ENSMUSG00000026090.17",202.814917005973,-6.44184069039013,0.527623436415036,-12.2091632891813,3.04965922754033e-25,9.69933478973061e-23,"Cracdl"
"ENSMUSG00000025738.9",1296.1202684911,-4.27141014399202,0.318686512035611,-13.4031720285505,5.05073853233086e-25,1.56986136745811e-22,"Fbxl16"
"ENSMUSG00000027674.17",235.08662985096,-6.63505777073317,0.552042920067379,-12.0190976634993,9.16299885631755e-25,2.78473716353331e-22,"Pex5l"
"ENSMUSG00000034891.14",475.19793803681,-9.06429214396966,0.790646142588256,-11.4644107594035,9.95223736029077e-25,2.95884343781166e-22,"Sncb"
