"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000069516.9",5529.40593784562,-9.57907589786275,0.514646497514881,-18.6129235195772,1.08583562051946e-62,1.48498879462241e-58,"Lyz2"
"ENSMUSG00000029304.15",5320.28506571517,-8.49949440401443,0.453820417220869,-18.7287616014813,1.20724720662408e-61,8.25515639889546e-58,"Spp1"
"ENSMUSG00000015568.17",1987.85332437207,-10.8078262365843,0.611215608615571,-17.6825102046469,3.0275841946435e-58,1.38017471486482e-54,"Lpl"
"ENSMUSG00000018774.14",1065.54906559484,-6.66317644098369,0.370026310421155,-18.0073044897803,3.55132809806635e-53,9.71359261383109e-50,"Cd68"
"ENSMUSG00000021822.4",315.405648676065,-10.3452506106517,0.610400322005843,-16.9483046415442,3.27640695410091e-53,9.71359261383109e-50,"Plau"
"ENSMUSG00000028108.17",354.654581349801,-5.22150678819189,0.282264966888593,-18.4986002540399,7.13460221150486e-51,1.62621366407567e-47,"Ecm1"
"ENSMUSG00000020120.16",764.729537479798,-5.78513217186424,0.321734956342893,-17.9810494875125,2.47121919806103e-50,4.82805625038324e-47,"Plek"
"ENSMUSG00000046805.12",1767.76939038025,-10.2238132829459,0.629198059888509,-16.2489586899831,5.84506797425623e-49,9.99214370199102e-46,"Mpeg1"
"ENSMUSG00000002944.16",711.233439254425,-11.3766173910033,0.708604319693786,-16.0549647734571,7.38571647434418e-49,1.12230065003479e-45,"Cd36"
"ENSMUSG00000024030.8",496.925583957709,-8.09003204378941,0.49142443333885,-16.4624131299778,1.7369329593639e-47,2.37542951522606e-44,"Abcg1"
"ENSMUSG00000022488.10",306.841225269901,-8.80491247003571,0.551290510461284,-15.971456614895,8.38931782289206e-46,1.04302100496247e-42,"Nckap1l"
"ENSMUSG00000040747.10",310.980537279861,-10.2082078166986,0.666813938334377,-15.3089298675992,1.12059214162421e-43,1.27710151073773e-40,"Cd53"
"ENSMUSG00000021998.17",492.607891958179,-8.90810034817346,0.573001422070143,-15.5463843632189,1.2534350584541e-43,1.31861368149371e-40,"Lcp1"
"ENSMUSG00000040552.9",401.156173878114,-10.2185442906963,0.669381051267707,-15.2656611228297,1.88501191307199e-43,1.84138735165518e-40,"C3ar1"
"ENSMUSG00000028581.18",757.809000489139,-8.8861255163283,0.581808420989205,-15.2732844622975,3.72562335440822e-42,3.39677499965912e-39,"Laptm5"
"ENSMUSG00000029816.11",8856.28549823635,-7.08267935828995,0.450193178411381,-15.732533716488,6.70977333986068e-42,5.73517876224592e-39,"Gpnmb"
"ENSMUSG00000037820.16",241.724591136578,-5.60594522220003,0.342744847101376,-16.3560306438157,1.80049364172479e-41,1.44844417907225e-38,"Tgm2"
"ENSMUSG00000020053.19",346.264395124219,-11.6426315625481,0.795811559820273,-14.6298849506251,4.33021286494245e-41,3.28999950783072e-38,"Igf1"
"ENSMUSG00000050335.18",1132.81667436691,-8.94567811391387,0.605302680320236,-14.7788509860573,1.15634274251934e-39,8.32323334036553e-37,"Lgals3"
