"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSMUSG00000024617.17",1405.92453022212,-10.5562100894894,0.727258812047305,-14.5150665961305,9.70616823663885e-40,1.32741556804273e-35,"Camk2a"
"ENSMUSG00000070570.6",598.438542275801,-8.82473342836147,0.608069698273177,-14.5127005233484,3.40048652500216e-38,2.32525268579647e-34,"Slc17a7"
"ENSMUSG00000025738.9",1296.1202684911,-5.12411470681727,0.32750540668681,-15.6458934789966,1.16087528212465e-36,5.2920434527789e-33,"Fbxl16"
"ENSMUSG00000049176.17",92.7117897707924,-8.44408126408884,0.592985554951307,-14.2399442846162,1.9000988873353e-36,6.49643809579939e-33,"Frmpd4"
"ENSMUSG00000045967.12",209.606225571822,-8.01977432394456,0.561616352496571,-14.2798091406954,3.76869244649467e-36,1.03081275796522e-32,"Gpr158"
"ENSMUSG00000027350.9",506.263090657125,-7.11556864564753,0.495542243985766,-14.3591565240035,2.71817296686945e-35,6.19562224915111e-32,"Chgb"
"ENSMUSG00000027347.20",367.082270303802,-10.192554214035,0.752962746239245,-13.5365982778601,1.39982414195794e-34,2.73485642363097e-31,"Rasgrp1"
"ENSMUSG00000059213.8",576.10987940815,-10.1585974419562,0.764194274391319,-13.293213234354,2.13835063651194e-33,3.65551041311715e-30,"Ddn"
"ENSMUSG00000020154.11",163.839503207096,-6.19536375845455,0.434275410614578,-14.2659787015963,2.76619808711964e-33,4.2033916710498e-30,"Ptprb"
"ENSMUSG00000046447.4",1977.09651674641,-5.24856036080152,0.355581579264382,-14.7604956692627,3.31727280141187e-33,4.53670228321088e-30,"Camk2n1"
"ENSMUSG00000003469.10",356.934987400063,-8.33694236280524,0.62500478046525,-13.3390057538428,4.02073644959593e-32,4.99887197133399e-29,"Phyhip"
"ENSMUSG00000090071.5",270.967975889753,-5.6593820830873,0.408435365176674,-13.8562489089045,1.90959747239251e-30,2.17630458603666e-27,"Cdk5r2"
"ENSMUSG00000028528.18",359.887030338726,-7.40360107386147,0.571647209289758,-12.9513464835419,1.99279892678571e-29,2.09642447097857e-26,"Dnajc6"
"ENSMUSG00000032936.14",231.235820901487,-8.06715902318546,0.632227273297765,-12.759903540868,2.6070162388271e-29,2.54668243444281e-26,"Camkv"
"ENSMUSG00000071847.15",426.197890047347,-5.29416175557037,0.385562776768933,-13.730998100844,4.12524098204971e-29,3.76111971136745e-26,"Apcdd1"
"ENSMUSG00000030235.18",94.5860357562306,-6.74168078560515,0.515861598623506,-13.0687781443593,4.46803485107525e-29,3.81905278895657e-26,"Slco1c1"
"ENSMUSG00000026259.15",299.549080661725,-6.05995350686067,0.456665113363083,-13.2700163194699,7.82369277475004e-29,6.29393072867539e-26,"Ngef"
"ENSMUSG00000035864.15",1615.85667219773,-9.17710943902962,0.749252221020906,-12.2483580048988,4.95720192769448e-28,3.76637186461943e-25,"Syt1"
"ENSMUSG00000028785.14",386.482080312754,-7.63796885428523,0.618147709970122,-12.3562196075343,3.35691353511085e-27,2.41627102664084e-24,"Hpca"
"ENSMUSG00000046093.10",690.307201075478,-12.8847285704213,1.1144555167652,-11.5614561340414,7.48754449222755e-27,5.1199829237852e-24,"Hpcal4"
"ENSMUSG00000032589.15",639.044894713131,-5.67125280741474,0.438239875821038,-12.9409784921778,7.9040386574632e-27,5.14741107997461e-24,"Bsn"
"ENSMUSG00000027834.16",573.601668190256,-6.98279888197423,0.562483650522976,-12.4142255076781,1.00891933503548e-26,6.27180946633875e-24,"Serpini1"
"ENSMUSG00000031144.16",1491.35888484229,-6.11116599317427,0.484729577834818,-12.6073717648333,2.69677494005137e-26,1.60352582957141e-23,"Syp"
"ENSMUSG00000074657.6",2893.73648390231,-8.53724573542911,0.726231281632038,-11.7555466851326,1.55186804965871e-25,8.84306143630522e-23,"Kif5a"
"ENSMUSG00000053025.14",361.710074682501,-8.35731041272684,0.713778640614026,-11.7085465117554,3.2569726509435e-25,1.78169431897213e-22,"Sv2b"
"ENSMUSG00000026163.18",223.704640403602,-10.1601795363714,0.893445952355816,-11.3719016909543,5.75774054252744e-25,3.02857152536943e-22,"Sphkap"
